product_name,old_barcode,new_barcode,old_price,new_price
"Balaton kakaós tejbevonómasszával mártott, kakaós krémmel töltött ostya 27 g",8445291866980.0,8445290859440.0,199.0,189.0
"Balaton kakaós étbevonómasszával mártott, kakaós krémmel töltött ostya 27 g",8445291867543.0,8445290860668.0,199.0,189.0
"Borsodi világos sör 4,5% 0,5 l",5998817520567.0,59969921.0,414.0,469.0
"Bounty tejcsokoládé puha kókuszos töltelékkel 2 x 28,5 g (57 g)",5000159557771.0,5000159558020.0,399.0,419.0
CORNETTO Multipack Tölcséres Jégkrém Classico Vanília 6 x 90 ml,8711327616783.0,8711327318373.0,2499.0,2599.0
"DESPAR fehérborecet szőlőmust-sűrítménnyel 5,5% 500 ml",9100000052427.0,,1199.0,1284.0
"Dreher Gold minőségi világos sör 5% 0,5 l",5998817312063.0,5998817313015.0,424.0,500.0
Eleplant 79% zsírtartalmú margarin 200 g,5997003584789.0,5997003584697.0,603.0,603.0
Fejeskáposzta lédig,5999541220549.0,,898.2,39.4
"Finlandia vodka 40% 0,7 l",5995757003846.0,6440003100095.0,6849.0,7559.0
Gyömbér lédig,2003611170016.0,,559.8,561.8
"Gösser Natur Zitrone citromos alkoholmentes sörital 0,0% 6 x 500 ml",5998818174028.0,5998818175087.0,2459.0,2579.0
Hamé lazacos pástétom 100 g,8595139787448.0,8593837271887.0,579.0,690.0
Haribo Balla Stixx eperízű gumicukorka 80 g,4001686117194.0,8426617001438.0,489.0,584.0
Jaus szezámmagos hamburger zsemle 6 x 50 g (300 g),4003587070554.0,4058077763140.0,1049.0,1134.0
Jégsaláta db,5859012122553.0,,599.0,729.0
Karfiol db,5999886187842.0,,999.0,1559.0
Kelkáposzta lédig,4007508002389.0,,599.0,124.8
Kígyóuborka db,8436557064172.0,,349.0,519.0
"Lambertz Mozart Golyó csokoládés praliné pisztácia-marcipán, marcipán, mogyoró-nugát töltettel 200 g",4006894276800.0,4006894733709.0,2499.0,2624.0
Maggi klasszikus bolognai szósz 500 g,7613039380536.0,8445291410473.0,1339.0,1629.0
Maggi Marhahúsleves-kocka 120 g,8585002484918.0,8585002485670.0,839.0,884.0
Maggi zöldfűszeres bolognai szósz 500 g,7613039380994.0,8445291410428.0,1339.0,1629.0
Manner mogyorókrémmel töltött ropogós ostyaszeletek 75 g,9000331697024.0,9000331604275.0,449.0,545.0
Marlenka mézes torta dióval 100 g,8594071650353.0,8594071653132.0,1239.0,1404.0
Mini Shaker paradicsom 250 g,8586015391491.0,,799.0,1112.0
