store,product_name,barcode,unit_price,unit_step,unit_type,base_price,base_unit,reason,categories
Tesco,LEGO Editions 43020 A FIFA labdarúgó-világbajnokság hivatalos trófeája,05702018069608,72990.0,1.0,db,72990.0,db,too_high,Most ajánlott!|FIFA|Lego|Lego
Tesco,Tefal Intuition 10 darabos edénykészlet,03168430337886,64990.0,1.0,db,64990.0,db,too_high,Most ajánlott!|Prémium újdonságok|Prémium újdonságok|Háztartás
Tesco,LEGO Harry Potter 76466 A bölcsek köve - Gyűjtői kiadás,05702018063422,61990.0,1.0,db,61990.0,db,too_high,Most ajánlott!|Prémium újdonságok|Prémium újdonságok|Lego
Tesco,LEGO Disney 43300 Micimackó,05702018066881,57990.0,1.0,db,57990.0,db,too_high,Most ajánlott!|Prémium újdonságok|Prémium újdonságok|Lego
Tesco,LEGO Icons 11384 Golden retriever kutyus,05702018063651,53990.0,1.0,db,53990.0,db,too_high,Most ajánlott!|Prémium újdonságok|Prémium újdonságok|Lego
Spar,ÁRrésSTOP,,0.0,1.0,db,0.0,db,too_low,arresstop-338
Tesco,Deli tűzőgép kapocs 24/6 1000 db,06921734922717,229.0,1000.0,db,0.229,db,too_low,Otthon-hobbi|Iskolai és irodai kellékek|Irodaszerek|Irodai kiegészítők
Spar,"Gillette Fusion5 férfi borotva (1 db borotva, 2 db borotvabetét), 1 db",7702018866946,9239.0,1.0,g,9239000.0,kg,too_high,borotva-295
Prima,"Kotányi Real, Dried Saffron 0,12 g",5995863010080,699.0,0.12,g,5825000.0,kg,too_high,fuszer-123
Spar,"Gillette Mach3 férfi borotva (1 db borotva + 2 db borotvabetét), 1 db",7702018020676,5774.0,1.0,g,5774000.0,kg,too_high,borotva-295
Tesco,"Kotányi valódi sáfrány 0,12 g",05995863010080,669.0,0.12,g,5575000.0,kg,too_high,Alapvető élelmiszerek|Ételízesítés|Klasszikus fűszerek|Gyógynövény fűszerek
Spar,"Kotányi Real, Dried Saffron 0,12 g",5995863010080,649.0,0.12,g,5408333.333,kg,too_high,fuszerek-165
Tesco,"Sky Electric fehér 3-as asztali elosztó 2 db USB bemenettel, H05VV-F 3G 1,4 m kábellel szerelve",05997648334558,4729.0,3.0,g,1576333.333,kg,too_high,"Otthon-hobbi|Barkácsolás|Elektromos kiegészítők|Elosztók, hosszabbítók, kiegészítők"
Spar,"Gillette Mach3 Férfi Borotvabetétek, 5 Gillette 3 Pengés Borotvabetétek",7702018552313,6299.0,5.0,g,1259800.0,kg,too_high,borotva-295
