store,basis,key,count,names,barcodes,unit_steps
Spar,name,spar natur*pur bio zabpehely 500 g,2,SPAR Natur*pur Bio zabpehely 500 g,9100000441207 | 9100000441221,500.0 g
Spar,name,zott jogobella laktózmentes élőflórás joghurt 150 g,2,Zott Jogobella laktózmentes élőflórás joghurt 150 g,4014500517360 | 4014500518855,150.0 g
Spar,name,biopont bio gluténmentes sóspálcika 45 g,2,Biopont bio gluténmentes sóspálcika 45 g,5998858706562 | 5998858706579,45.0 g
Spar,name,spar natur*pur bio extrudált gluténmentes kukorica-snack 12 hónapos kortól 30 g,2,SPAR Natur*pur Bio extrudált gluténmentes kukorica-snack 12 hónapos kortól 30 g,9100000907901 | 9100000907925,30.0 g
Spar,name,alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l,2,Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l,5411188112709 | 5411188122661,1000.0 ml
Spar,name,spar tejberizs 200 g,3,SPAR tejberizs 200 g,,200.0 g
Spar,name,zott belriso tejberizs 200 g,2,Zott Belriso tejberizs 200 g,4014500512266 | 4014500519135,200.0 g
Spar,name,zott jogobella élőflórás joghurt 150 g,4,Zott Jogobella élőflórás joghurt 150 g,4014500512907 | 4014500512976 | 4014500512990 | 4014500513928,125.0 g | 150.0 g
Spar,name,zott jogobella élőflórás joghurt 400 g,3,Zott Jogobella élőflórás joghurt 400 g,4014500512914 | 4014500513010 | 4014500516363,400.0 g
Spar,name,zott jogobella joghurtos ital 250 g,2,Zott Jogobella joghurtos ital 250 g,4014500504520 | 4014500504537,250.0 g
Spar,name,pick szeletelt eredeti téliszalámi 70 g,2,PICK szeletelt eredeti téliszalámi 70 g,5998003124043 | 5998003124104,70.0 g
Spar,name,s-budget sertés darálthús 900 g,2,S-Budget sertés darálthús 900 g,5999033800402 | 5999033810241,900.0 g
Spar,name,gárdonyi teaház gyümölcstea válogatás 20 filter 40 g,2,Gárdonyi Teaház gyümölcstea válogatás 20 filter 40 g,5997505321400 | 5997505321608,40.0 g
Spar,name,akácméz 900 g,2,Akácméz 900 g,5998035100244 | 5998150510072,900.0 g
Spar,name,virágméz 900 g,2,Virágméz 900 g,5998035100046 | 5998150520071,900.0 g
Spar,name,akácméz 250 g,2,Akácméz 250 g,5998150510133 | 5998150512502,250.0 g
Spar,name,virágméz 250 g,2,Virágméz 250 g,5998150520132 | 5998150522501,250.0 g
Spar,name,sóland himalája étkezési kristálysó 1 kg,2,Sóland Himalája étkezési kristálysó 1 kg,5997973108725 | 5997973113613,1000.0 g
Spar,name,hey-ho almaital 1 l,2,Hey-Ho almaital 1 l,9008700179003 | 9008700179102,1000.0 ml
Spar,name,hey-ho őszibarackital 1 l,2,Hey-Ho őszibarackital 1 l,9008700179027 | 9008700179140,1000.0 ml
Spar,name,despar paradicsompüré 690 g,2,DESPAR paradicsompüré 690 g,8001300223016 | 8001300223078,690.0 g
Spar,name,"peroni nastro azzurro minőségi világos sör 5% 0,33 l",2,"Peroni Nastro Azzurro minőségi világos sör 5% 0,33 l",5901359154954 | 5998817300329,330.0 ml
Spar,name,juhász egri bikavér száraz vörösbor 13% 750 ml,2,Juhász Egri Bikavér száraz vörösbor 13% 750 ml,5999881815269 | 5999881815740,750.0 ml
