store,product_name,barcode,unit_price,unit_step,unit_type,expected_step_from_name,expected_unit_from_name,categories
Spar,Pöttyös Óriás Túró Rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g),5998200752285,1835.0,51.0,g,306.0,g,tejszeletek-turo-rudi-95
Spar,Giotto ropogós ostya lágy tejes-mogyorós töltelékkel 2 x 5 db 43 g,8000500319475,944.0,43.0,g,10.0,db,csokolade-175
Spar,Cornetto Max pisztácia ízű jégkrém 4 x 360 ml,8721274816150,2599.0,360.0,ml,1440.0,ml,jegkremek-197
Spar,Bonduelle Gold szuperédes morzsolt csemegekukorica 2 x 170 g (340 g),3083680996082,1154.0,280.0,g,340.0,g,zoldsegkonzerv-210
Spar,Rio Mare tonhaldarab olívaolajban 4 x 80 g,8004030383562,3149.0,208.0,g,320.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
Spar,Rio Mare tonhaldarab olívaolajban 3 x 80 g,8004030344938,3149.0,156.0,g,240.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
Spar,DESPAR tonhal törzsdarabok natúr lében 3 x 80 g,8001300285045,2099.0,168.0,g,240.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
Spar,Twist tonhal natúr lében 3 x 80 g (240 g),5999560674538,1994.0,168.0,g,240.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
Spar,Twist tonhal napraforgóolajban 3 x 80 g (240 g),5999560674514,1994.0,156.0,g,240.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
Spar,DESPAR tonhal törzsdarabok natúr lében 2 x 160 g,8001300285069,2364.0,224.0,g,320.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
Spar,Rio Mare tonhal natúr lében 3 x 80 g,8004030341562,3149.0,168.0,g,240.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
Spar,Twist tonhaltörzs napraforgóolajban 4 x 80 g (320 g),5999882933030,2309.0,208.0,g,320.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
Spar,Twist tonhaltörzs natúr lében 4 x 80 g (320 g),5999882933726,2309.0,224.0,g,320.0,g,halkonzerv-huskonzerv-melegszendvicskrem-212
