master_product_id,canonical_name,representative_name,primary_barcode,barcodes,barcode_norms,representative_image_url,image_keys,stores_count,stores,offers_count,match_methods,needs_review,review_reason,offer_names,offer_units
MP000374,Akácméz 250 g,Akácméz 250 g,5997508311194,5997508311194;5998150510133;5998150512502,5997508311194;5998150510133;5998150512502,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a538,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a538;https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a539;https://imageproxy.wolt.com/assets/69aebdb9f115f4a3251e8d4c,2,Prima;Spar,3,same_exact_name,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból,Akácméz 250 g | Akácméz 250 g | Akácméz 250 g,Spar: 250.0 g | Spar: 250.0 g | Prima: 250.0 g
MP000383,Albatross gyümölcssaláta cukrozott lében 230 g,Albatross gyümölcssaláta cukrozott lében 230 g,5999538341226,05999538341226;5999538341226,5999538341226,https://imageproxy.wolt.com/assets/689b972ef18c6aaa8030bb68,https://digitalcontent.api.tesco.com/v2/media/ghs/a683a96d-bd53-448b-a091-a7817e708e5c/df45150f-88c4-49d6-b103-bde379a01c4f_1281379550.jpeg;https://imageproxy.wolt.com/assets/689b972ef18c6aaa8030bb68,2,Spar;Tesco,2,same_barcode;same_exact_name,true,eltérő_kiszerelés_g,Albatross gyümölcssaláta cukrozott lében 230 g | Albatross gyümölcssaláta cukrozott lében 230 g,Spar: 140.0 g | Tesco: 230.0 g
MP000385,"Albatross hámozott, darabolt őszibarack 230 g","Albatross hámozott, darabolt őszibarack 230 g",5999538341219,05999538341219;5999538341219,5999538341219,https://imageproxy.wolt.com/assets/689b972ef18c6aaa8030bb67,https://digitalcontent.api.tesco.com/v2/media/ghs/376c963e-76fa-463a-a7d5-0eccc30a3c4c/99e069cb-ac06-4e24-b355-329e83845a0e_410519055.jpeg;https://imageproxy.wolt.com/assets/689b972ef18c6aaa8030bb67,2,Spar;Tesco,2,same_barcode;same_exact_name,true,eltérő_kiszerelés_g,"Albatross hámozott, darabolt őszibarack 230 g | Albatross hámozott, darabolt őszibarack 230 g",Spar: 140.0 g | Tesco: 230.0 g
MP000386,"Albatross hámozott, felezett őszibarack cukrozott lében 700 g","Albatross hámozott, felezett őszibarack cukrozott lében 700 g",3800016701055,03800016701055;05999538341233;3800016701055;5999538341028,3800016701055;5999538341028;5999538341233,https://imageproxy.wolt.com/assets/689b6adff18c6aaa803087f7,https://digitalcontent.api.tesco.com/v2/media/ghs/86084ddb-f05c-4aca-89c0-e5dc039a317d/2364dca0-7078-4f3b-8b66-7e560fe0feaf_1475964073.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/ca00990b-9ce8-45b5-9365-8779a68e1e07/56b7d358-48f0-4ac9-b479-2ee8589c1c8b_2006349630.jpeg;https://imageproxy.wolt.com/assets/689b6adff18c6aaa803087f7;https://imageproxy.wolt.com/assets/689b972b9bbcfa1dc39bcdf6,2,Spar;Tesco,4,same_barcode;same_exact_name;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból;eltérő_kiszerelés_g,"Albatross hámozott, felezett őszibarack cukrozott lében 700 g | Albatross hámozott, felezett őszibarack cukrozott lében 820 g | Albatross hámozott, felezett őszibarack cukrozott lében 415 g | Albatross hámozott, felezett őszibarack cukrozott lében 700 g",Spar: 385.0 g | Spar: 470.0 g | Tesco: 415.0 g | Tesco: 700.0 g
MP000428,Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l,Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l,5411188112709,05411188112709;05411188122661;5411188112709;5411188122661,5411188112709;5411188122661,https://imageproxy.wolt.com/assets/66793eed35e1b1789b04f210,https://digitalcontent.api.tesco.com/v2/media/ghs/1cdaabbb-08f3-4564-b16e-2202ca7b7d5b/7ccfbe9d-50d5-49aa-9f1b-c5043b40735d.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/c9757bbf-4107-47e1-a08a-7d6ef927f58d/19c57dc5-cf47-49ed-86c0-209bfedd459d.jpeg;https://imageproxy.wolt.com/assets/667936f3a1ccf454349972c0;https://imageproxy.wolt.com/assets/66793eed35e1b1789b04f210,3,Prima;Spar;Tesco,6,same_barcode;same_exact_name;same_image_key;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból;azonos_kép_eltérő_vonalkód,"Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l | Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l | Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l | Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l | Alpro cukormentes UHT mandulaital hozzáadott kalciummal, jóddal, B12-, D2- és E-vitaminnal 1 l | Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l",Spar: 1000.0 ml | Spar: 1000.0 ml | Prima: 1000.0 ml | Prima: 1000.0 ml | Tesco: 1000.0 ml | Tesco: 1000.0 ml
MP000435,"Alpro fermentált szójakészítmény kókusszal, hozzáadott kalciummal és vitaminokkal 400 g","Alpro fermentált szójakészítmény kókusszal, hozzáadott kalciummal és vitaminokkal 400 g",5411188138051,05411188138051;5411188138051,5411188138051,https://imageproxy.wolt.com/assets/667944c31ddf225f482bb6da,https://digitalcontent.api.tesco.com/v2/media/ghs/3ddef089-db05-42ad-8ebf-0dd15e8c376e/4c0122bd-821c-4657-b65a-3054dd0ed9bb_424542815.jpeg;https://imageproxy.wolt.com/assets/667944c31ddf225f482bb6da,2,Prima;Tesco,2,same_barcode,true,eltérő_kiszerelés_g,"Alpro fermentált szójakészítmény kókusszal, hozzáadott kalciummal és vitaminokkal 400 g | Alpro zsírszegény fermentált szójakészítmény kókusszal, hozzáadott kalciummal és vitaminokkal 40 g",Prima: 400.0 g | Tesco: 40.0 g
MP000453,"Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 1,8% 1 l","Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 1,8% 1 l",5411188134985,05411188134985;05411188135005;5411188134985;5411188135005,5411188134985;5411188135005,https://imageproxy.wolt.com/assets/6679366535e1b1789b042f0c,https://digitalcontent.api.tesco.com/v2/media/ghs/dc5129c3-c7fd-4f84-8601-0dcb8b1ef21b/ddd2a48e-8a9b-4754-b8b2-e34f055dd1b7.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/e531d20c-2db2-4c48-a0df-e8f882bfcfaf/4f5695ac-5091-4766-b8c4-0cb904c91c27_1439721167.jpeg;https://imageproxy.wolt.com/assets/6679366535e1b1789b042f0c;https://imageproxy.wolt.com/assets/689b776e87a8f04a4a7d825c,3,Prima;Spar;Tesco,6,same_barcode;same_exact_name;same_image_key;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból;azonos_kép_eltérő_vonalkód,"Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 1,8% 1 l | Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 3.5%, 1000 ml | Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 1,8% 1 l | Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 3.5%, 1000 ml | Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 3,5% 1 l | Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 1,8% 1 l",Spar: 1000.0 ml | Spar: 1000.0 ml | Prima: 1000.0 ml | Prima: 1000.0 ml | Tesco: 1000.0 ml | Tesco: 1000.0 ml
MP000515,Always Ultra Secure Night Egészségügyi Betét (4-es Méret) Szárnyas Betét x 12],Always Ultra Secure Night Egészségügyi Betét (4-es Méret) Szárnyas Betét x 12],4015400612469,04015400612469;08006540093764;4015400612469,4015400612469;8006540093764,https://imageproxy.wolt.com/assets/68eceab83ad8667942a223d1,https://digitalcontent.api.tesco.com/v2/media/ghs/479aa59d-f88a-4c9a-a1b5-e9f351fab19a/1a20ab4b-0aab-4621-a14f-f87838e13e4e_1691853710.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/cf67dc99-4d33-4dab-91de-6160beba1e6e/dba8e730-fd65-4698-b4de-39de3732bd67_568969670.jpeg;https://imageproxy.wolt.com/assets/68eceab83ad8667942a223d1,3,Prima;Spar;Tesco,4,same_barcode;same_exact_name;same_image_key;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból;azonos_kép_eltérő_vonalkód,Always Ultra Secure Night Egészségügyi Betét (4-es Méret) Szárnyas Betét x 12] | Always Ultra Secure Night Egészségügyi Betét (4-es Méret) Szárnyas Betét x 12] | Always Ultra Secure Night Egészségügyi Betét (4-es Méret) Szárnyas Betét x 12] | Always Ultra Secure Night Egészségügyi Betét (4-es Méret) Szárnyas Betét x 24],Spar: 1.0 db | Prima: 1.0 db | Tesco: 1.0 db | Tesco: 1.0 db
MP000517,Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 10],Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 10],8006540093849,08006540093849;08006540903766;8006540093849;8006540903766,8006540093849;8006540903766,https://imageproxy.wolt.com/assets/690c8e00e888050f319e557c,https://digitalcontent.api.tesco.com/v2/media/ghs/b4dbef8a-5cdb-4fe0-918c-46ba9d172a6e/9a3dd6de-d74b-4937-9a9c-db85af09b46d_1944890423.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/c43aa6f4-fb46-4961-b6c5-1e4812df9fa2/4ca67173-ed9e-46aa-befb-dbbd1bb4cc55_1774515991.jpeg;https://imageproxy.wolt.com/assets/68d13a8135cd665795fd0fb9;https://imageproxy.wolt.com/assets/690c8e00e888050f319e557c,3,Prima;Spar;Tesco,5,same_barcode;same_exact_name;same_image_key;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból;azonos_kép_eltérő_vonalkód,Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 10] | Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 20] | Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 10] | Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 10] | Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 20],Spar: 1.0 db | Spar: 1.0 db | Prima: 1.0 db | Tesco: 1.0 db | Tesco: 1.0 db
MP000550,Ambi Pur Légfrissítő Spray Gold Orchid 185 ml,Ambi Pur Légfrissítő Spray Gold Orchid 185 ml,8006530260541,08006530260541;08700216261623;8006530260541;8700216261623,8006530260541;8700216261623,https://imageproxy.wolt.com/assets/692450117a24b1c086711635,https://digitalcontent.api.tesco.com/v2/media/ghs/65c6e1be-517b-4860-a227-0ba2cdb72ea1/49fb44b0-8aff-4fad-9599-98dba83351c9_2135138112.jpeg;https://digitalcontent.api.tesco.com/v2/media/ghs/a23288c7-e655-4c5c-b9ad-d7b477e9bae9/a88cdac6-115a-471c-a985-c63b63461535_1665039087.jpeg;https://imageproxy.wolt.com/assets/692450117a24b1c086711635,3,Prima;Spar;Tesco,5,same_barcode;same_exact_name;same_image_key;same_name_core_compatible_pack,true,több_normalizált_vonalkód;több_ajánlat_azonos_boltból;eltérő_kiszerelés_ml;azonos_kép_eltérő_vonalkód,Ambi Pur Légfrissítő Spray Gold Orchid 185 ml | Ambi Pur Légfrissítő Spray Gold Orchid 370 ml | Ambi Pur Légfrissítő Spray Gold Orchid 185 ml | Ambi Pur Légfrissítő Spray Gold Orchid 185 ml | Ambi Pur Légfrissítő Spray Gold Orchid 370 ml,Spar: 185.0 ml | Spar: 370.0 ml | Prima: 185.0 ml | Tesco: 185.0 ml | Tesco: 370.0 ml
