product_name,barcode,unit_price,categories,image_urls
"1664 Blanc világos búzasör 5% 0,5 l",8600331002487,605.0,vilagos-sor-234,https://imageproxy.wolt.com/assets/68e7aafa76f0377a07cb985b
"1664 Blanc világos búzasör 5% 4 x 0,5 l (2 l)",8600331002968,2299.0,vilagos-sor-234,https://imageproxy.wolt.com/assets/69c57490e24f4a9d75093bd7
"1x1 Vitaday Magnézium + B6-vitamin étrend-kiegészítő filmtabletta 30 db 10,35 g",,1059.0,egyeb-etrendkiegeszitok-vitaminok-152,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/aa383b00-9ab4-11f0-abc8-5ab5c7d45ff3_sx339_1x1_magnezium_b6_vitamin_tabl.jpg
1x1 Vitamin C-vitamin 1000 mg narancsízű étrend-kiegészítő rágótabletta 60 x 1800 mg (108 g),5999883354667,3179.0,egyeb-etrendkiegeszitok-vitaminok-152,https://imageproxy.wolt.com/assets/692d8a756980ec1e3ff65756
1x1 Vitamin Multivitamin +cink & vas erdei gyümölcsös étrend-kiegészítő tabletta 60 db 60 g,5999883354933,1854.0,egyeb-etrendkiegeszitok-vitaminok-152,https://imageproxy.wolt.com/assets/692d8a736980ec1e3ff65752
1x1 Vitamin multivitamin narancs ízű étrend-kiegészítő rágótabletta 90 x 800 mg (72 g),5999561573236,1695.0,egyeb-etrendkiegeszitok-vitaminok-152,https://imageproxy.wolt.com/assets/692d8a756980ec1e3ff65758
7DAYS Bake Rolls bacon ízű kétszersült 80 g,5201360112265,539.0,ropi-perec-sos-kekszek-190,https://imageproxy.wolt.com/assets/689b73909bbcfa1dc39bb0cc
7DAYS Bake Rolls pizza ízű kétszersült 80 g,5201360671069,539.0,ropi-perec-sos-kekszek-190,https://imageproxy.wolt.com/assets/689b7393f18c6aaa8030949d
7DAYS Bake Rolls sós kétszersült 80 g,5201360639007,539.0,ropi-perec-sos-kekszek-190,https://imageproxy.wolt.com/assets/689b73909bbcfa1dc39bb0cd
7DAYS Family Pack croissant kakaós töltelékkel 5 x 37 g (185 g),7622201393564,1079.0,edes-pekaru-82,https://imageproxy.wolt.com/assets/69bbe5c8016902d4a7a17f1c
7DAYS Oreo vanília krémes és kekszes croissant 60 g,7622202267406,324.0,edes-pekaru-82,https://imageproxy.wolt.com/assets/69873077df12ec2860944f9c
7DAYS mogyoró croissant 80 g,7622202378867,379.0,edes-pekaru-82,https://imageproxy.wolt.com/assets/6995aa916ddfd847c2c6c44b
"7UP energiamentes citrom és lime aromákkal ízesített szénsavas üdítőital édesítőszerekkel 0,5 l",5997264103354,500.0,szensavas-uditoital-203,https://imageproxy.wolt.com/assets/689b82059bbcfa1dc39bc2d7
7UP energiamentes citrom és lime aromákkal ízesített szénsavas üdítőital édesítőszerekkel 2 l,5997264104658,849.0,szensavas-uditoital-203,https://imageproxy.wolt.com/assets/689b821487a8f04a4a7d9208
"AXE FIFA Dark Temptation 3 in 1 tusfürdő testre, arcra, hajra 250 ml",8710447276570,1364.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/695baeea5cd662af9f5c432c
"AXE Ice Chill 3 in 1 tusfürdő testre, arcra, hajra 250 ml",8717163648681,1364.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69e17a09609eafedc63bc67f
Absolut természetes málna ízesítésű vodka 38% 700 ml,5998829900371,8974.0,vodka-243,https://imageproxy.wolt.com/assets/689b8f04f18c6aaa8030b1a2
Absolute LifeStyle Amino Mix energiamentes ananász-mangó-papaya ízű szénsavmentes üdítőital 600 ml,5998835908019,554.0,sportital-206,https://imageproxy.wolt.com/assets/689b8f16f18c6aaa8030b1d1
Absolute LifeStyle Fat Burner grapefruit-papaya-kaktuszfüge ízű szénsavmentes üdítőital 600 ml,5998835908002,554.0,sportital-206,https://imageproxy.wolt.com/assets/689b8f16f18c6aaa8030b1d2
Adidas Chill Zone eau de parfum 50 ml,3616305447111,6299.0,parfum-testpermet-314,https://imageproxy.wolt.com/assets/689bb2f087a8f04a4a7dd88c
Adidas Get Comfy eau de parfum 50 ml,3616305447241,6299.0,parfum-testpermet-314,https://imageproxy.wolt.com/assets/689bb2f087a8f04a4a7dd889
Adrenalin Classic tutti-frutti ízű szénsavas energiaital 250 ml,5940540801529,364.0,energiaital-204,https://imageproxy.wolt.com/assets/6962467860a0749bb4ffc250;https://imageproxy.wolt.com/assets/6962467860a0749bb4ffc251
Adrenalin görögdinnye ízű szénsavas energiaital 250 ml,5940540801499,364.0,energiaital-204,https://imageproxy.wolt.com/assets/6962467760a0749bb4ffc24c;https://imageproxy.wolt.com/assets/6962467860a0749bb4ffc24d
Adrenalin kaktusz-guava ízű szénsavas energiaital 250 ml,5940540801505,364.0,energiaital-204,https://imageproxy.wolt.com/assets/6962467860a0749bb4ffc24f;https://imageproxy.wolt.com/assets/6962467860a0749bb4ffc24e
Adrenalin szeder-málna-sárkánygyümölcs ízű szénsavas energiaital 250 ml,5940540801482,364.0,energiaital-204,https://imageproxy.wolt.com/assets/6962467760a0749bb4ffc24a;https://imageproxy.wolt.com/assets/6962467760a0749bb4ffc24b
Agárdi Chameleon gin 43% 500 ml,5999545372114,10549.0,gin-244,https://imageproxy.wolt.com/assets/689b97689bbcfa1dc39bce58
Agárdi Miraculum Vilmoskörte pálinka 40% 500 ml,5999545372404,12754.0,palinka-242,https://imageproxy.wolt.com/assets/68e507f289477a351265c13f
Ajax Flower Fiesta Lagoon Flowers Türkiz általános tisztítószer 1000 ml,5900273472908,914.0,altalanos-tisztitoszer-273,https://imageproxy.wolt.com/assets/69eb4d81cbbf5c0b40d4d5aa
Ajax Flower Fiesta Orgona virág Lila általános tisztítószer 1000 ml,5900273462213,914.0,altalanos-tisztitoszer-273,https://imageproxy.wolt.com/assets/689bb4bb9bbcfa1dc39bed16
