barcode,product_name,unit_price,categories,image_urls
11210694002,"Tabasco édes, csípős szósz 315 g",2289.0,bebietelek-221,https://imageproxy.wolt.com/assets/689b78d487a8f04a4a7d87a9
15999033884638,SPAR tejberizs 200 g,294.0,rizs-koles-hajdina-arpa-94,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084e8
15999033884645,SPAR tejberizs 200 g,294.0,rizs-koles-hajdina-arpa-94,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084e9
15999033884652,SPAR tejberizs 200 g,294.0,rizs-koles-hajdina-arpa-94,https://imageproxy.wolt.com/assets/689b69e1f18c6aaa803084ea
15999033890455,SPAR PREMIUM norvég lazacfilé,2848.78,daralthus-124,https://imageproxy.wolt.com/assets/689b6c2987a8f04a4a7d775c;https://imageproxy.wolt.com/assets/689b6c2a87a8f04a4a7d7760
15999033890462,SPAR PREMIUM lazacpisztráng filé,2729.87,daralthus-124,https://imageproxy.wolt.com/assets/689b6c2987a8f04a4a7d775b;https://imageproxy.wolt.com/assets/689b6c2a87a8f04a4a7d775f
15999033890493,SPAR PREMIUM vörös tonhalfilé,5288.15,daralthus-124,https://imageproxy.wolt.com/assets/689b6c2887a8f04a4a7d7758;https://imageproxy.wolt.com/assets/689b6c2987a8f04a4a7d775d
2002269960024,Földimogyoró lédig,246.0,tejfol-52,https://imageproxy.wolt.com/assets/678e0e244b2b7137a212e3c4
2003138860018,"SPAR BBQ darabolt sertés oldalas, pikáns fűszerezésű olajos marinádban",2789.5,hal-123,https://imageproxy.wolt.com/assets/689b69fbf18c6aaa80308530;https://imageproxy.wolt.com/assets/689b69fcf18c6aaa80308533
3599741002093,Findus Wok Spicy Zanju gyorsfagyasztott csípős wok zöldségkeverék 325 g,1705.0,voros-bor-191,https://imageproxy.wolt.com/assets/6970c7c17e37809df6dec4ee
3800020491546,KitKat ropogós ostya mogyorós krémmel tej- és étcsokoládéban 99 g,1049.0,alkoholok-171,https://imageproxy.wolt.com/assets/6908a0bf5a64760b23662102
3800233070101,RiceUp! Eat Smart teljes kiőrlésű barna rizs chips barbecue ízesítéssel 60 g,539.0,tequila-184,https://imageproxy.wolt.com/assets/689b6ae4f18c6aaa80308808;https://imageproxy.wolt.com/assets/689b6ae5f18c6aaa8030880d
4000539396588,Lindt Mini Pralinés pralinéválogatás 100 g,4199.0,pezsgo-gyongyozo-bor-173,https://imageproxy.wolt.com/assets/689b6be587a8f04a4a7d7680;https://imageproxy.wolt.com/assets/689b6be587a8f04a4a7d7681
4000607854705,Schogetten joghurt és eper ízesítésű krémmel töltött tejcsokoládé 100 g,734.0,likor-172,https://imageproxy.wolt.com/assets/689b71d987a8f04a4a7d79b1;https://imageproxy.wolt.com/assets/689b71da87a8f04a4a7d79b5
4021700900021,Nippon tejcsokoládéba mártott puffasztott rizses csokiszelet 200 g,1784.0,alkoholok-171,https://imageproxy.wolt.com/assets/68cbfbeb96bcfcad1bd5c322
4770190035460,Vici füstölt lazacfilé 200 g,3149.0,daralthus-124,https://imageproxy.wolt.com/assets/689b6bf787a8f04a4a7d76be
4823077618901,Roshen étcsokoládés praliné rum ízű alkoholos töltelékkel 150 g,1784.0,alkoholok-171,https://imageproxy.wolt.com/assets/6900b79280e479e4ba4fb3a4;https://imageproxy.wolt.com/assets/6900b79280e479e4ba4fb3a3
5000159563345,Mars karamellás földimogyorós krémes szelet tejcsokoládéba mártva 3 x 45 g (135 g),1104.0,alkoholok-171,https://imageproxy.wolt.com/assets/689b70369bbcfa1dc39bad9a
5010029227451,"Oreo O's ropogós, kakaó ízű búzakarikák és vanília ízű rizskorongok, vitaminokkal 320 g",2649.0,fagyasztott-husok-129,https://imageproxy.wolt.com/assets/689b6e2df18c6aaa80308f57
5028905026166,International Collection sütőolaj spray kókuszolajjal 190 ml,1880.0,antipasti-159,https://imageproxy.wolt.com/assets/689b6c78f18c6aaa8030896f
5054563103321,Sensodyne Repair & Protect Whitening fluoridos fogkrém 75 ml,2049.0,pudingpor-294,https://imageproxy.wolt.com/assets/68f0e5cc0626145e31f0a9c2
