product_name,barcode,unit_price,categories,image_urls
"Alpro fermentált szójakészítmény eperrel, cseresznyével, datolyával 135 g",5411188136361,660.0,desszert-bonbon-107,https://imageproxy.wolt.com/assets/667948395bc89c3fb6bf3de6
Ananász,,1039.0,vaj-margarin-49,https://wolt-menu-images-cdn.wolt.com/menu-images/6654467e27f761196caa9ef7/831303b0-790e-11f0-834f-ce636a38a856_367210005.png
Anthon Berg Baileys marcipánnal töltött krémlikőr ízű tejcsokoládé 7 db 175 g,5709678425447,4199.0,alkoholok-171,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/927efa3a-f366-11ef-9f7e-660b70dfde84_wst__prefix_____baileys_csoki__1_.jpg
Anthon Berg csokoládé marcipánnal és Madeira likőrben lévő szilvával töltve 8 db 220 g,5774540984155,4199.0,pezsgo-gyongyozo-bor-173,https://imageproxy.wolt.com/assets/689b7a2c87a8f04a4a7d8bd5;https://imageproxy.wolt.com/assets/689b7a2d87a8f04a4a7d8bda
Avocado db,5998899710214,624.0,vaj-margarin-49,https://imageproxy.wolt.com/assets/689b8f74f18c6aaa8030b280
"Baba folyékony krémszappan utántöltő, antibakteriális összetevővel, teafaolaj, 500 ml",8710447423004,965.0,piskota-302,https://imageproxy.wolt.com/assets/689bacbd87a8f04a4a7dc486
"Baba folyékony szappan utántöltő antibakteriális összetevővel, teafaolaj, 750 ml",8720181227004,1164.0,piskota-302,https://imageproxy.wolt.com/assets/689bacc787a8f04a4a7dc4ad
Beauty Kiss ultra erős hajlakk B5-provitaminnal 300 ml,9100000039183,1029.0,fuszerkeverek-298,https://imageproxy.wolt.com/assets/689baa5487a8f04a4a7dbf81;https://imageproxy.wolt.com/assets/689baa5487a8f04a4a7dbf85
"Ben & Jerry's Cookie Dough vanília ízű jégkrém csokoládés sütemény darabokkal, 465 ml",8711327373105,4239.0,gyumolcsbor-193,https://imageproxy.wolt.com/assets/691c678c86ec9335bd492730
Boci tejcsokoládé földimogyoró-darabokkal 90 g,5998400314764,674.0,likor-172,https://imageproxy.wolt.com/assets/68f0e6570626145e31f0aaed
Bombajóó gyorsfagyasztott mogyorókrémes mini gombóc 600 g,5997853180568,1195.0,boralapu-italok-sherry-egyeb-szeszezett-bor-194,https://imageproxy.wolt.com/assets/689b863b87a8f04a4a7d9ad8
