barcode_norm,product_name_old,product_name_new,unit_price_old,unit_price_new,price_diff,price_pct,categories_old,categories_new,available_old,available_new,image_urls_old,image_urls_new
11210000018,Tabasco csípős chilipaprika szósz 60 ml,Tabasco csípős chilipaprika szósz 60 ml,1599.0,1695.0,96.0,6.0037523452157595,paprikakrem-gulyaskrem-165,szoszok-ontetek-6,True,False,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309185,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309185
11210009387,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,1599.0,1695.0,96.0,6.0037523452157595,etelszosz-martas-164,szoszok-ontetek-6,True,True,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309184,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309184
11210697003,Tabasco Sriracha csípős szósz 256 ml,Tabasco Sriracha csípős szósz 256 ml,2159.0,2289.0,130.0,6.021306160259379,etelszosz-martas-164,szoszok-ontetek-6,True,True,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309186,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309186
15999139403238,"SPAR Hazai Szeretem füstölt, nyers, gyorspácolt, kötözött bőrös csont nélküli sertéslapocka","SPAR Hazai Szeretem füstölt, nyers, gyorspácolt, kötözött bőrös csont nélküli sertéslapocka",2290.0,2405.0,115.0,5.021834061135371,sertes-121,sertes-126,False,False,https://imageproxy.wolt.com/assets/689b766e87a8f04a4a7d7fee;https://imageproxy.wolt.com/assets/689b766f87a8f04a4a7d7ff2,https://imageproxy.wolt.com/assets/689b766e87a8f04a4a7d7fee;https://imageproxy.wolt.com/assets/689b766f87a8f04a4a7d7ff2
16229000653,Aroy-D mangó szeletek cukrozott lében 425 g,Aroy-D mangó szeletek cukrozott lében 425 g,1499.0,1589.0,90.0,6.004002668445631,gyumolcskonzerv-befott-151,gyumolcskonzerv-befott-211,True,False,https://imageproxy.wolt.com/assets/689b786987a8f04a4a7d85ae,https://imageproxy.wolt.com/assets/689b786987a8f04a4a7d85ae
2002141120010,Gallicoop pulykanyak,Gallicoop pulykanyak,1052.22,1196.52,144.29999999999995,13.71386212008895,baromfi-119,baromfi-124,False,False,https://imageproxy.wolt.com/assets/6679412511daf54b0d99550a,https://imageproxy.wolt.com/assets/6679412511daf54b0d99550a
2003947950016,"SPAR BBQ szeletelt sertés tarja, csont nélkül, hagymás fűszerezésű olajos marinádban","SPAR BBQ szeletelt sertés tarja, csont nélkül, hagymás fűszerezésű olajos marinádban",2398.5,2590.25,191.75,7.994579945799458,sertes-121,hus-3,False,False,https://imageproxy.wolt.com/assets/689b6a0df18c6aaa80308567;https://imageproxy.wolt.com/assets/689b6a0ef18c6aaa8030856b,https://imageproxy.wolt.com/assets/689b6a0df18c6aaa80308567;https://imageproxy.wolt.com/assets/689b6a0ef18c6aaa8030856b
2004840540014,"Tolle zsíros, félkemény trappista sajt egész","Tolle zsíros, félkemény trappista sajt",648.0,490.0,-158.0,-24.382716049382715,kemeny-felkemeny-sajtok-35,kemeny-felkemeny-sajtok-87,True,True,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/11960068-954a-11f0-b421-f2163dc07fd5_484054001.jpg,https://imageproxy.wolt.com/assets/69bbd7cc94e8ba0fb797db70
3017760524797,Dörmi Tejes Krémmel Töltött Puha Piskóta 30 G,"Dörmi tejes krémmel töltött puha piskóta, 30 g",189.0,169.0,-20.0,-10.582010582010582,piskota-302,piskota-181,True,True,https://imageproxy.wolt.com/assets/68de711eb16814eaa0e5a294,https://imageproxy.wolt.com/assets/69d93ae260461b960942b825
3017760524896,Dörmi Csokoládés Krémmel Töltött Puha Piskóta 30 G,Dörmi csokoládés krémmel töltött puha piskóta 30 g,189.0,169.0,-20.0,-10.582010582010582,piskota-302,piskota-181,True,True,https://imageproxy.wolt.com/assets/68de711eb16814eaa0e5a295,https://imageproxy.wolt.com/assets/6925a1c84da254f4fa175e63
