barcode_norm,product_name_old,product_name_new,unit_price_old,unit_price_new,price_diff,price_pct,categories_old,categories_new,available_old,available_new,image_urls_old,image_urls_new
2004840540014,"Tolle zsíros, félkemény trappista sajt egész","Tolle zsíros, félkemény trappista sajt",648.0,490.0,-158.0,-24.382716049382715,kemeny-felkemeny-sajtok-35,kemeny-felkemeny-sajtok-87,True,True,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/11960068-954a-11f0-b421-f2163dc07fd5_484054001.jpg,https://imageproxy.wolt.com/assets/69bbd7cc94e8ba0fb797db70
3017760524797,Dörmi Tejes Krémmel Töltött Puha Piskóta 30 G,"Dörmi tejes krémmel töltött puha piskóta, 30 g",189.0,169.0,-20.0,-10.582010582010582,piskota-302,piskota-181,True,True,https://imageproxy.wolt.com/assets/68de711eb16814eaa0e5a294,https://imageproxy.wolt.com/assets/69d93ae260461b960942b825
3036810207589,Maille egészmagos mustár 210 g,Maille Whole Seed Mustard 210 g,1199.0,1274.0,75.0,6.255212677231025,ketchup-mustar-majonez-torma-163,ketchup-mustar-majonez-torma-224,True,True,https://wolt-menu-images-cdn.wolt.com/menu-images/6630bf2d2af684d052fdff63/2c446534-0bb8-11ef-bce8-6262a99dbf08_285217001.jpg,https://imageproxy.wolt.com/assets/689b70899bbcfa1dc39baec1
3046920028370,Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával 100 g,"Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával, 100 g",1699.0,2309.0,610.0,35.903472630959385,tablas-csokoladek-106,csokolade-175,True,True,https://imageproxy.wolt.com/assets/689b729f87a8f04a4a7d7b1e,https://imageproxy.wolt.com/assets/689b729f87a8f04a4a7d7b1e
3083680003629,Bonduelle Vapeur gőzben párolt csicseriborsó 310 g,Bonduelle gőzben párolt csicseriborsó 310 g,859.0,919.0,60.0,6.984866123399301,zoldsegkonzerv-150,zoldsegkonzerv-210,True,True,https://imageproxy.wolt.com/assets/689b70ca9bbcfa1dc39baf7e;https://imageproxy.wolt.com/assets/689b70cc9bbcfa1dc39baf83,https://imageproxy.wolt.com/assets/69930e17960776714feee478;https://imageproxy.wolt.com/assets/69930e17960776714feee477
3083680498012,Bonduelle csemegeuborka 5-8 cm 680 g,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,1779.0,1850.0,71.0,3.9910061832490165,savanyusag-161,savanyusag-222,True,True,https://imageproxy.wolt.com/assets/689b70ce87a8f04a4a7d77da;https://imageproxy.wolt.com/assets/689b70cf87a8f04a4a7d77df,https://imageproxy.wolt.com/assets/69ef4213126eb988a8919e54;https://imageproxy.wolt.com/assets/69ef4213126eb988a8919e55
3083680579698,Bonduelle csemegeuborka 3-6 cm 550g,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,1779.0,1850.0,71.0,3.9910061832490165,savanyusag-161,savanyusag-222,True,True,https://imageproxy.wolt.com/assets/689b70ce87a8f04a4a7d77db;https://imageproxy.wolt.com/assets/689b70cf87a8f04a4a7d77e0,https://imageproxy.wolt.com/assets/69ef4215126eb988a8919e64;https://imageproxy.wolt.com/assets/69ef4215126eb988a8919e61
3083681003963,Bonduelle Vapeur gőzben párolt lencse 310 g,Bonduelle gőzben párolt lencse 310 g,859.0,904.0,45.0,5.238649592549476,zoldsegkonzerv-150,zoldsegkonzerv-210,True,True,https://imageproxy.wolt.com/assets/68c2c2c9bd456827e99abcd2;https://imageproxy.wolt.com/assets/68c2c2c9bd456827e99abcd1,https://imageproxy.wolt.com/assets/69930e16960776714feee476;https://imageproxy.wolt.com/assets/69930e16960776714feee475
3083681021950,Bonduelle Gold morzsolt csemegekukorica 170 g,Bonduelle Gold szuperédes morzsolt csemegekukorica 170 g,589.0,619.0,30.0,5.093378607809847,zoldsegkonzerv-150,zoldsegkonzerv-210,True,True,https://imageproxy.wolt.com/assets/689b70d29bbcfa1dc39baf8a;https://imageproxy.wolt.com/assets/689b70d49bbcfa1dc39baf8f,https://imageproxy.wolt.com/assets/691f0a4706e04050fa7f598e;https://imageproxy.wolt.com/assets/691f0a4706e04050fa7f598d
3083681032413,Bonduelle Vapeur gőzben párolt egész zöldbab 295 g,Bonduelle gőzben párolt egész zöldbab 295 g,859.0,904.0,45.0,5.238649592549476,zoldsegkonzerv-150,zoldsegkonzerv-210,True,True,https://imageproxy.wolt.com/assets/68c2c2cebd456827e99abce0;https://imageproxy.wolt.com/assets/68c2c2cebd456827e99abcdf,https://imageproxy.wolt.com/assets/69a8263edbcc2d14e2cedc4f;https://imageproxy.wolt.com/assets/69a8263edbcc2d14e2cedc4e
