product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,barcode_status,unit_price_old,unit_price_new,price_diff,categories_old,categories_new
Adrenalin Classic tutti-frutti ízű szénsavas energiaital 250 ml,Adrenalin Classic tutti-frutti ízű szénsavas energiaital 250 ml,5999862309459,5940540801529,different,339.0,364.0,25.0,energiaital-142,energiaital-204
Adrenalin görögdinnye ízű szénsavas energiaital 250 ml,Adrenalin görögdinnye ízű szénsavas energiaital 250 ml,5999862309466,5940540801499,different,339.0,364.0,25.0,energiaital-142,energiaital-204
"Balaton kakaós tejbevonómasszával mártott, kakaós krémmel töltött ostya 27 g","Balaton kakaós tejbevonómasszával mártott, kakaós krémmel töltött ostya 27 g",8445291866980,8445290859440,different,199.0,189.0,-10.0,csokolade-105,csokolade-175
"Balaton kakaós étbevonómasszával mártott, kakaós krémmel töltött ostya 27 g","Balaton kakaós étbevonómasszával mártott, kakaós krémmel töltött ostya 27 g",8445291867543,8445290860668,different,199.0,189.0,-10.0,csokolade-105,csokolade-175
Bock Birtok Selection Villányi Merlot classicus száraz vörösbor 14% 750 ml,Bock Birtok Selection Villányi Merlot classicus száraz vörösbor 14% 750 ml,5999042100944,5999042102894,different,4249.0,4289.0,40.0,voros-bor-191,voros-bor-250
"Bock Villányi Cabernet Franc classicus száraz vörösbor 14,5% 750 ml","Bock Villányi Cabernet Franc classicus száraz vörösbor 14,5% 750 ml",5999042100968,5999042102917,different,4249.0,4289.0,40.0,voros-bor-191,voros-bor-250
Bonduelle bébirépa 400 g,Bonduelle bébirépa 400 g,3083681053418,3083680026154,different,759.0,814.0,55.0,zoldsegkonzerv-150,zoldsegkonzerv-210
"Borsodi világos sör 4,5% 0,5 l","Borsodi világos sör 4,5% 0,5 l",5998817520567,59969921,different,414.0,469.0,55.0,vilagos-sor-231,vilagos-sor-234
"Bounty tejcsokoládé puha kókuszos töltelékkel 2 x 28,5 g (57 g)","Bounty tejcsokoládé puha kókuszos töltelékkel 2 x 28,5 g (57 g)",5000159557771,5000159558020,different,399.0,419.0,20.0,csokolade-105,csokolade-175
CORNETTO Multipack Tölcséres Jégkrém Classico Vanília 6 x 90 ml,CORNETTO Multipack Tölcséres Jégkrém Classico Vanília 6 x 90 ml,8711327616783,8711327318373,different,2499.0,2599.0,100.0,palcikas-tolcseres-jegkremek-304,jegkremek-197
Corvus Tokaj Tokaji Hárslevelű félédes fehérbor 11% 750 ml,Corvus Tokaj Tokaji Hárslevelű félédes fehérbor 11% 750 ml,5999880514460,5999880514323,different,1299.0,1429.0,130.0,feher-bor-190,feher-bor-249
Dr. Oetker Vitalis almás-fahéjas rizskása alappor 54 g,Dr. Oetker Vitalis almás-fahéjas rizskása alappor 54 g,5997381373203,5997381378574,different,349.0,379.0,30.0,zabpehely-zabkasa-rizskasa-70,zabpehely-zabkasa-rizskasa-131
"Dr. Oetker friss, sütésre kész pizza tészta 400 g","Dr. Oetker friss, sütésre kész pizza tészta 400 g",5997381373838,5997381378123,different,999.0,1079.0,80.0,friss-leveles-teszta-retesteszta-pizzateszta-93,friss-leveles-teszta-retesteszta-pizzateszta-158
"Dreher Gold minőségi világos sör 5% 0,5 l","Dreher Gold minőségi világos sör 5% 0,5 l",5998817312063,5998817313015,different,424.0,500.0,76.0,vilagos-sor-231,vilagos-sor-234
Eleplant 79% zsírtartalmú margarin 200 g,Eleplant 79% zsírtartalmú margarin 200 g,5997003584789,5997003584697,different,603.0,603.0,0.0,vaj-margarin-49,vaj-margarin-100
"Finlandia vodka 40% 0,7 l","Finlandia vodka 40% 0,7 l",5995757003846,6440003100095,different,6849.0,7559.0,710.0,vodka-182,vodka-243
"Győri Édes Zabfalatok almás, zabpelyhes, omlós keksz 198 g","Győri Édes Zabfalatok almás, zabpelyhes, omlós keksz 198 g",7622202237638,7622202237652,different,679.0,714.0,35.0,keksz-109,keksz-183
"Győri Édes Zabfalatok almás, zabpelyhes, omlós keksz 44 g","Győri Édes Zabfalatok almás, zabpelyhes, omlós keksz 44 g",7622202394478,7622202394485,different,229.0,240.0,11.0,keksz-109,keksz-183
"Győri Édes Zabfalatok fahéjas, zabpelyhes, omlós keksz 188 g","Győri Édes Zabfalatok fahéjas, zabpelyhes, omlós keksz 188 g",7622202238000,7622202238024,different,679.0,714.0,35.0,keksz-109,keksz-183
"Győri Édes Zabfalatok zabpelyhes, omlós keksz 188 g","Győri Édes Zabfalatok zabpelyhes, omlós keksz 188 g",7622202237805,7622202237829,different,449.0,419.0,-30.0,keksz-109,keksz-183
"Gösser Natur Zitrone citromos alkoholmentes sörital 0,0% 6 x 500 ml","Gösser Natur Zitrone citromos alkoholmentes sörital 0,0% 6 x 500 ml",5998818174028,5998818175087,different,2459.0,2579.0,120.0,alkoholmentes-sor-234,alkoholmentes-sor-237
Gösser Spritz eperízű alkoholos sörital 4% 330 ml,Gösser Spritz eperízű alkoholos sörital 4% 330 ml,5998818174837,5998818174974,different,549.0,639.0,90.0,izesitett-sor-233,egyeb-alkoholos-italok-koktelok-247
Hamé lazacos pástétom 100 g,Hamé lazacos pástétom 100 g,8595139787448,8593837271887,different,579.0,690.0,111.0,pastetomok-majasok-66,pastetomok-majasok-120
Haribo Balla Stixx eperízű gumicukorka 80 g,Haribo Balla Stixx eperízű gumicukorka 80 g,4001686117194,8426617001438,different,489.0,584.0,95.0,gumicukor-110,gumicukor-184
"Hétszőlő Tokaji Furmint száraz, fehér bor 12,5% 750 ml","Hétszőlő Tokaji Furmint száraz, fehér bor 12,5% 750 ml",5998837543362,5998837543621,different,2549.0,2699.0,150.0,feher-bor-190,feher-bor-249
Jaus szezámmagos hamburger zsemle 6 x 50 g (300 g),Jaus szezámmagos hamburger zsemle 6 x 50 g (300 g),4003587070554,4058077763140,different,1049.0,1134.0,85.0,zsemle-kifli-bagel-baguette-32,pekaru-8
Knorr mexikói chilis bab alap 50 g,Knorr mexikói chilis bab alap 50 g,8712566157754,8721317755071,different,599.0,629.0,30.0,alapporok-170,alapporok-231
"Lambertz Mozart Golyó csokoládés praliné pisztácia-marcipán, marcipán, mogyoró-nugát töltettel 200 g","Lambertz Mozart Golyó csokoládés praliné pisztácia-marcipán, marcipán, mogyoró-nugát töltettel 200 g",4006894276800,4006894733709,different,2499.0,2624.0,125.0,desszert-bonbon-107,desszert-bonbon-177
Maggi Marhahúsleves-kocka 120 g,Maggi Marhahúsleves-kocka 120 g,8585002484918,8585002485670,different,839.0,884.0,45.0,etelizesito-leveskocka-102,etelizesito-leveskocka-171
Maggi klasszikus bolognai szósz 500 g,Maggi klasszikus bolognai szósz 500 g,7613039380536,8445291410473,different,1339.0,1629.0,290.0,etelszosz-martas-164,etelszosz-martas-225
Maggi zöldfűszeres bolognai szósz 500 g,Maggi zöldfűszeres bolognai szósz 500 g,7613039380994,8445291410428,different,1339.0,1629.0,290.0,etelszosz-martas-164,etelszosz-martas-225
Manner mogyorókrémmel töltött ropogós ostyaszeletek 75 g,Manner mogyorókrémmel töltött ropogós ostyaszeletek 75 g,9000331697024,9000331604275,different,449.0,545.0,96.0,csokolade-105,csokolade-175
Marlenka mézes torta dióval 100 g,Marlenka mézes torta dióval 100 g,8594071650353,8594071653132,different,1239.0,1404.0,165.0,desszert-bonbon-107,sutemeny-178
Monster Energy Full Throttle Zero Sugar szénsavas energiaital koffeinnel 500 ml,Monster Energy Full Throttle Zero Sugar szénsavas energiaital koffeinnel 500 ml,5061013945868,5056784916681,different,669.0,679.0,10.0,energiaital-142,energiaital-204
Monster Rio Punch szénsavas energiaital 500 ml,Monster Rio Punch szénsavas energiaital 500 ml,5056784901090,5056784917466,different,669.0,679.0,10.0,energiaital-142,energiaital-204
Nescafé Classic azonnal oldódó kávé 100 g,Nescafé Classic azonnal oldódó kávé 100 g,5998710981052,5998710980673,different,1799.0,2099.0,300.0,instant-kave-285,instant-kave-139
