barcode,product_name,unit_price,categories,image_urls
1230000131780,"Nerds szőlős-epres cukorka 46,7 g",1009.0,cukorkak-drazsek-182,https://imageproxy.wolt.com/assets/68f77d8f991b63c9b819116f;https://imageproxy.wolt.com/assets/68f77d8f991b63c9b819116e
3014260022082,"Oral-B Pro-Expert CrossAction All In One Medium kézi fogkefe, 2 db",1679.0,fogkefe-298,https://imageproxy.wolt.com/assets/68c413632c60b119670f0010
3014260022839,Oral-B 3 Effect Medium Manual Toothbrush x2,629.0,fogkefe-298,https://imageproxy.wolt.com/assets/66793cb134063d58fe45ff21
3014260101503,Oral-B – OM026 123 Ragyogó Tisztaság Fogkefe 40 Közepes Keménységű Sörte – db,839.0,fogkefe-298,https://imageproxy.wolt.com/assets/68c4139f2c60b119670f0088
3014260214692,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",1574.0,borotvahab-294,https://imageproxy.wolt.com/assets/6a051f6ba95d72fa52308705
3014260258313,Gillette Arctic Ice Borotválkozás Utáni Arcszesz 100 ml,4619.0,aftershave-296,https://imageproxy.wolt.com/assets/68c413952c60b119670f007b
3014260283254,"Gillette BlueII Plus Eldobható Férfi Borotva, 5 db",1469.0,borotva-295,https://imageproxy.wolt.com/assets/68dbcdefe4991e9d3ee08a5e
3045200700005,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,1049.0,altalanos-tisztitoszer-273,https://imageproxy.wolt.com/assets/689b791b87a8f04a4a7d88a2
3045206312066,Sanytol fertőtlenítő univerzális tisztítószer grapefruit illattal 500 ml,1049.0,altalanos-tisztitoszer-273,https://imageproxy.wolt.com/assets/689b74d287a8f04a4a7d7dca
3046920010047,Lindt Excellence extra keserű csokoládé 78% 100 g,2834.0,csokolade-175,https://imageproxy.wolt.com/assets/689b6aa9f18c6aaa80308753
3046920022125,Lindt Excellence étcsokoládé ropogós ostya darabokkal és karamell darabokkal 100 g,2309.0,csokolade-175,https://imageproxy.wolt.com/assets/689b6f979bbcfa1dc39bab83
3046920024105,Lindt Excellence 70% extra étcsokoládé 100 g,2309.0,csokolade-175,https://imageproxy.wolt.com/assets/68ecf1ab190712a29dd2f843
3046920024112,Lindt Excellence 85% extra étcsokoládé 100 g,2834.0,csokolade-175,https://imageproxy.wolt.com/assets/68ecf1ac190712a29dd2f844
3059943021693,Air Wick Pure Cseresznyevirág aeroszol spray 250 ml,1889.0,legfrissito-278,https://imageproxy.wolt.com/assets/689b6aacf18c6aaa8030875e;https://imageproxy.wolt.com/assets/689b6aadf18c6aaa80308763
3059943021709,Air Wick Pure Tavaszi Szellő aeroszol 250 ml,1889.0,legfrissito-278,https://imageproxy.wolt.com/assets/689b70379bbcfa1dc39bad9e;https://imageproxy.wolt.com/assets/689b70389bbcfa1dc39bada8
3065890154810,"Whiskas teljes értékű nedves eledel felnőtt macskáknak 12 x 85 g (1,02 kg)",3149.0,macskaeledel-323,https://imageproxy.wolt.com/assets/689b6cc8f18c6aaa80308a87;https://imageproxy.wolt.com/assets/689b6cc9f18c6aaa80308a8d
3073780979528,"Leerdammer Original zsíros félkemény, szeletelt sajt 100 g",989.0,laktozmentes-75,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/56ed6078-cc33-11f0-ae8e-86373cb2b075_376551007.jpg
3073780979542,"Leerdammer Lightlife félzsíros félkemény, szeletelt sajt 100 g",989.0,laktozmentes-75,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/56e19932-cc33-11f0-b394-060352802c42_376553001.jpg
3073781082869,"Leerdammer Finesse Original laktózmentes, félkemény, zsíros sajt 8 db 80 g",989.0,laktozmentes-75,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/6419870e-cc33-11f0-9c53-96bb15f1ca69_465606007.jpg
3083680026154,Bonduelle bébirépa 400 g,814.0,zoldsegkonzerv-210,https://imageproxy.wolt.com/assets/689b70cb9bbcfa1dc39baf80;https://imageproxy.wolt.com/assets/689b70cd9bbcfa1dc39baf85
3574660131888,Clean & Clear mitesszereltávolító tonik 200 ml,1994.0,arcapolas-293,https://imageproxy.wolt.com/assets/689bb22987a8f04a4a7dd5ec
3574660181425,Carefree Cotton Feel Flexiform tisztasági betét friss illattal 30 db,975.0,intim-higienia-306,https://imageproxy.wolt.com/assets/68d5371c35cd665795fd49b2
3574660412277,Neutrogena Norvég Formula gyorsan beszívódó kézkrém 75 ml,1574.0,kremek-292,https://imageproxy.wolt.com/assets/689bb2da87a8f04a4a7dd841
3574660464337,Carefree Cotton Feel Normal tisztasági betét friss illattal 76 db,1679.0,intim-higienia-306,https://imageproxy.wolt.com/assets/68d5371735cd665795fd49a6
3574660464368,Carefree Cotton Feel Normal tisztasági betét aloe vera illattal 76 db,1679.0,intim-higienia-306,https://imageproxy.wolt.com/assets/68d5371335cd665795fd499b
3574660549065,Neutrogena Norvég Formula Intense Repair CICA testápoló 400 ml,2099.0,testapolas-305,https://imageproxy.wolt.com/assets/689bb2da87a8f04a4a7dd842
3574660587524,Johnson's Bedtime babaolaj 200 ml,1784.0,babaapolas-318,https://imageproxy.wolt.com/assets/69e6077db5846925d430dd7e
3574660676273,Listerine Cool Mint szájvíz 1 l,3014.0,szajapolas-300,https://imageproxy.wolt.com/assets/68d5374835cd665795fd4a15
3574660709216,Carefree Plus Large tisztasági betét aloe vera illattal 48 db,1679.0,intim-higienia-306,https://imageproxy.wolt.com/assets/68d5370235cd665795fd4971
3574661021775,Listerine Cool Mint Mild Taste szájvíz 500 ml,1974.0,szajapolas-300,https://imageproxy.wolt.com/assets/68d536e235cd665795fd491d
3574661257044,Carefree Cotton Feel Flexiform tisztasági betét illatanyagmentes 30 db,975.0,intim-higienia-306,https://imageproxy.wolt.com/assets/68d536ef35cd665795fd493f
3574661329833,o.b. ProComfort Mini Tampons 16 pcs,1574.0,intim-higienia-306,https://imageproxy.wolt.com/assets/66793d1bad16d3049c1bc8da
