product_name,barcode,unit_price,categories,image_urls
"1664 Blanc világos búzasör 5% 0,5 l",8600331002487,605.0,vilagos-sor-234,https://imageproxy.wolt.com/assets/68e7aafa76f0377a07cb985b
"1664 Blanc világos búzasör 5% 4 x 0,5 l (2 l)",8600331002968,2299.0,vilagos-sor-234,https://imageproxy.wolt.com/assets/69c57490e24f4a9d75093bd7
7DAYS Double Max croissant vaníliaízű töltelékekkel és meggyes töltelékekkel 80 g,7622202010019,379.0,edes-pekaru-82,https://imageproxy.wolt.com/assets/69ca6662882f03cf986b61d0
7DAYS Family Pack croissant kakaós töltelékkel 5 x 37 g (185 g),7622201393564,1079.0,edes-pekaru-82,https://imageproxy.wolt.com/assets/69bbe5c8016902d4a7a17f1c
7DAYS KAKAÓS CROISSANT 200 g,7622202340314,1079.0,desszert-bonbon-177,https://imageproxy.wolt.com/assets/69b8454ea9921ccd8a6f2524
7DAYS Oreo vanília krémes és kekszes croissant 60 g,7622202267406,324.0,edes-pekaru-82,https://imageproxy.wolt.com/assets/69873077df12ec2860944f9c
7DAYS mogyoró croissant 80 g,7622202378867,379.0,edes-pekaru-82,https://imageproxy.wolt.com/assets/6995aa916ddfd847c2c6c44b
AXE Africa aeroszol 150 ml,8717644013045,1784.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/69e17a36609eafedc63bc69c
"AXE Black 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8710447284117,1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69ca58b222b147f1899f29df
AXE Black dezodor 150 ml,8712561614122,1784.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/69c57461e24f4a9d75093baf
AXE Dark Temptation dezodor 150 ml,8717644277379,1784.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/689bae5e9bbcfa1dc39be711
AXE Dark Temptation dezodor 250 ml,8720181047749,2204.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/689bae6087a8f04a4a7dc9b0
"AXE Epic Fresh 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8720181204111,1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69e17a10609eafedc63bc683
"AXE Excite 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8711600359659,1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/6821f3a44ed80914f45cbf5f
AXE Excite dezodor 150 ml,8718114650708,1784.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/69c2d161e24f4a9d75093aa9
"AXE FIFA Dark Temptation 3 in 1 tusfürdő testre, arcra, hajra 250 ml",8710447276570,1364.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/695baeea5cd662af9f5c432c
"AXE FIFA Dark Temptation 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8710447284094,1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/6821f3a44ed80914f45cbf5e
"AXE Ice Chill 3 in 1 tusfürdő testre, arcra, hajra 250 ml",8717163648681,1364.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69e17a09609eafedc63bc67f
AXE Ice Chill dezodor 150 ml,8710447497357,1784.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/69e17a3b609eafedc63bc6a0
AXE Sunset Fresh dezodor 150 ml,8720181590863,1784.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/69e17a1f609eafedc63bc68b
Adidas Chill Zone eau de parfum 50 ml,3616305447111,6299.0,parfum-testpermet-314,https://imageproxy.wolt.com/assets/689bb2f087a8f04a4a7dd88c
Adidas Get Comfy eau de parfum 50 ml,3616305447241,6299.0,parfum-testpermet-314,https://imageproxy.wolt.com/assets/689bb2f087a8f04a4a7dd889
Adrenalin kaktusz-guava ízű szénsavas energiaital 250 ml,5940540801505,364.0,energiaital-204,https://imageproxy.wolt.com/assets/6962467860a0749bb4ffc24f;https://imageproxy.wolt.com/assets/6962467860a0749bb4ffc24e
Adrenalin szeder-málna-sárkánygyümölcs ízű szénsavas energiaital 250 ml,5940540801482,364.0,energiaital-204,https://imageproxy.wolt.com/assets/6962467760a0749bb4ffc24a;https://imageproxy.wolt.com/assets/6962467760a0749bb4ffc24b
Agárdi Miraculum Vilmoskörte pálinka 40% 500 ml,5999545372404,12754.0,palinka-242,https://imageproxy.wolt.com/assets/68e507f289477a351265c13f
Air Wick Cseresznyevirág és Málna elektromos utántöltő légfrissítő készülékhez 19 ml,5999109545893,1889.0,legfrissito-278,https://imageproxy.wolt.com/assets/68e8fc819a94eea72b354906;https://imageproxy.wolt.com/assets/68e8fc819a94eea72b354907
Air Wick Essential Oils Nyári Hangulat elektromos utántöltő légfrissítő készülékhez 19 ml,5999109542304,1889.0,legfrissito-278,https://imageproxy.wolt.com/assets/69ca58d222b147f1899f2a02;https://imageproxy.wolt.com/assets/69ca58d222b147f1899f2a01
Air Wick Freshmatic Magnólia és Cseresznyevirág automata légfrissítő spray utántöltő 250 ml,5011417541807,2309.0,legfrissito-278,https://imageproxy.wolt.com/assets/69ca58cf22b147f1899f29fd;https://imageproxy.wolt.com/assets/69ca58d022b147f1899f29fe
Air Wick Freshmatic Nyári Hangulatok automata légfrissítő spray utántöltő 250 ml,8592326013755,2309.0,legfrissito-278,https://imageproxy.wolt.com/assets/69ca58d122b147f1899f29ff;https://imageproxy.wolt.com/assets/69ca58d122b147f1899f2a00
Air Wick Pure Cseresznyevirág aeroszol spray 250 ml,3059943021693,1889.0,legfrissito-278,https://imageproxy.wolt.com/assets/689b6aacf18c6aaa8030875e;https://imageproxy.wolt.com/assets/689b6aadf18c6aaa80308763
Air Wick Pure Tavaszi Szellő aeroszol 250 ml,3059943021709,1889.0,legfrissito-278,https://imageproxy.wolt.com/assets/689b70379bbcfa1dc39bad9e;https://imageproxy.wolt.com/assets/689b70389bbcfa1dc39bada8
