product_name,barcode,unit_price,categories,image_urls
"1664 Blanc búzasör 5,0% 0,5 l",8600331002487,549.0,vilagos-sor-231,https://imageproxy.wolt.com/assets/689bb72587a8f04a4a7de48d
24 Ice Mojito jégkoktél 5% 5 x 65 ml (325 ml),8718868983008,3499.0,palcikas-tolcseres-jegkremek-304,https://imageproxy.wolt.com/assets/689bb1c3f18c6aaa8030d44e;https://imageproxy.wolt.com/assets/689bb1c3f18c6aaa8030d454
24 Ice epres Daiquiri alkoholmentes jégkoktél 0% 5 x 65 ml (325 ml),8718868983329,3499.0,palcikas-tolcseres-jegkremek-304,https://imageproxy.wolt.com/assets/689bb1c3f18c6aaa8030d450;https://imageproxy.wolt.com/assets/689bb1c3f18c6aaa8030d453
24 Ice jégkoktél 5% 5 x 65 ml (325 ml),8721082201056,3499.0,palcikas-tolcseres-jegkremek-304,https://imageproxy.wolt.com/assets/689bb1c487a8f04a4a7dd486;https://imageproxy.wolt.com/assets/689bb1c587a8f04a4a7dd487
3bit Tejcsokoládéval Bevont Keksz Szelet Mogyoróízű Töltelékkel 46 G,7622201692568,399.0,csokolade-105,https://imageproxy.wolt.com/assets/68de7171b16814eaa0e5a319
7001 jódozott párolt finom só 200 g,9001880931676,869.0,so-fuszerso-295,https://imageproxy.wolt.com/assets/689ba89c9bbcfa1dc39bdf14
7DAYS Bake Rolls fokhagymás kétszersült 80 g,5201360639205,499.0,ropi-perec-sos-kekszek-116,https://imageproxy.wolt.com/assets/689b7393f18c6aaa8030949b
7DAYS Bake Rolls hagymás és tejföl ízű kétszersült 80 g,5201360674503,499.0,ropi-perec-sos-kekszek-116,https://imageproxy.wolt.com/assets/689b7393f18c6aaa8030949c
7DAYS Double Max croissant vanília ízű és meggyes töltelékkel 80 g,5201360501571,369.0,edes-pekaru-29,https://imageproxy.wolt.com/assets/667947048cf5dc22349d7ced
7days Max Croissant Karamellízű Töltelékkel 80 G,7622202039713,369.0,edes-pekaru-29,https://imageproxy.wolt.com/assets/68de715ab16814eaa0e5a2ff
