name_norm,product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,unit_price_old,unit_step_old,unit_type_old,base_price_old,unit_price_new,unit_step_new,unit_type_new,base_price_new,base_unit_old,base_price_diff,base_price_pct
"dr. chen patika máriatövis forte étrend-kiegészítő kapszula 60 db 27,6 g","Dr. Chen Patika Máriatövis Forte étrend-kiegészítő kapszula 60 db 27,6 g","Dr. Chen Patika Máriatövis Forte étrend-kiegészítő kapszula 60 db 27,6 g",5999561420578,5999561420578,3849.0,27.6,g,139456.52173913043,3499.0,27.6,g,126775.36231884058,Ft/kg,-12681.159420289856,-9.09327097947519
1x1 vitamin multivitamin +cink & vas erdei gyümölcsös étrend-kiegészítő tabletta 60 db 60 g,1x1 Vitamin Multivitamin +cink & vas erdei gyümölcsös étrend-kiegészítő tabletta 60 db 60 g,1x1 Vitamin Multivitamin +cink & vas erdei gyümölcsös étrend-kiegészítő tabletta 60 db 60 g,5999883354933,5999883354933,2299.0,60.0,g,38316.66666666667,1854.0,60.0,g,30900.0,Ft/kg,-7416.6666666666715,-19.35624184428013
"canderel stevia növényből származó szteviol glikozid alapú asztali édesítőszer 120 db 10,2 g","Canderel stevia növényből származó szteviol glikozid alapú asztali édesítőszer 120 db 10,2 g","Canderel stevia növényből származó szteviol glikozid alapú asztali édesítőszer 120 db 10,2 g",7630486400662,7630486400662,1349.0,10.2,g,132254.9019607843,1284.0,10.2,g,125882.35294117648,Ft/kg,-6372.549019607832,-4.818383988139354
rio mare paté tonhal pástétom 100 g,Rio Mare Paté tonhal pástétom 100 g,Rio Mare Paté tonhal pástétom 100 g,8004030069008,8004030069008,1799.0,100.0,g,17990.0,1284.0,100.0,g,12840.0,Ft/kg,-5150.0,-28.627015008337963
spar szárított petrezselyemlevél 7 g,SPAR szárított petrezselyemlevél 7 g,SPAR szárított petrezselyemlevél 7 g,5999033889674,5999033889674,109.0,7.0,g,15571.42857142857,75.0,7.0,g,10714.285714285714,Ft/kg,-4857.142857142857,-31.19266055045872
"torras étcsokoládé hozzáadott cukor nélkül, édesítőszerrel 75 g","Torras étcsokoládé hozzáadott cukor nélkül, édesítőszerrel 75 g","Torras étcsokoládé hozzáadott cukor nélkül, édesítőszerrel 75 g",8410342005601,8410342005601,1199.0,75.0,g,15986.666666666666,839.0,75.0,g,11186.666666666668,Ft/kg,-4799.999999999998,-30.025020850708913
"torras tejcsokoládé hozzáadott cukor nélkül, édesítőszerrel 75 g","Torras tejcsokoládé hozzáadott cukor nélkül, édesítőszerrel 75 g","Torras tejcsokoládé hozzáadott cukor nélkül, édesítőszerrel 75 g",8410342005595,8410342005595,1199.0,75.0,g,15986.666666666666,839.0,75.0,g,11186.666666666668,Ft/kg,-4799.999999999998,-30.025020850708913
spar tablettázott édesítőszer 39 g,SPAR tablettázott édesítőszer 39 g,SPAR tablettázott édesítőszer 39 g,5999033894159,5999033894159,489.0,39.0,g,12538.461538461539,345.0,39.0,g,8846.153846153848,Ft/kg,-3692.3076923076915,-29.447852760736186
sertésmájkrém 50 g,Sertésmájkrém 50 g,Sertésmájkrém 50 g,5998304064949,5998304064949,299.0,50.0,g,5980.0,125.0,50.0,g,2500.0,Ft/kg,-3480.0,-58.19397993311036
douwe egberts omnia classic őrölt-pörkölt kávé 250 g,Douwe Egberts Omnia Classic őrölt-pörkölt kávé 250 g,Douwe Egberts Omnia Classic őrölt-pörkölt kávé 250 g,5997100012123,5997100012123,2699.0,250.0,g,10796.0,1910.0,250.0,g,7640.0,Ft/kg,-3156.0,-29.233049277510187
