name_norm,product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,unit_price_old,unit_price_new,price_diff,price_pct
"tolle zsíros, félkemény trappista sajt","Tolle zsíros, félkemény trappista sajt","Tolle zsíros, félkemény trappista sajt",,2004840540014,3731.0,490.0,-3241.0,-86.86679174484053
"tchibo variazione szemes, pörkölt kávé 1000 g","Tchibo Variazione szemes, pörkölt kávé 1000 g","Tchibo Variazione szemes, pörkölt kávé 1000 g",4061445305750,4061445305750,9999.0,8189.0,-1810.0,-18.101810181018102
douwe egberts omnia silk szemes pörkölt kávé 1000 g,Douwe Egberts Omnia Silk szemes pörkölt kávé 1000 g,Douwe Egberts Omnia Silk szemes pörkölt kávé 1000 g,5997100070093,5997100070093,8999.0,7559.0,-1440.0,-16.00177797533059
"bravos classic őrölt, pörkölt kávé 1000 g","Bravos Classic őrölt, pörkölt kávé 1000 g","Bravos Classic őrölt, pörkölt kávé 1000 g",5997349300975,5997349300975,7599.0,6299.0,-1300.0,-17.107514146598238
regnum marha bélszín steak csont nélkül,REGNUM marha bélszín steak csont nélkül,REGNUM marha bélszín steak csont nélkül,2004266090025,,9745.0,8474.5,-1270.5,-13.037455105182143
s-budget kakaós étbevonó tábla 400 g,S-Budget kakaós étbevonó tábla 400 g,S-Budget kakaós étbevonó tábla 400 g,9100000048017,9100000048017,2999.0,1789.0,-1210.0,-40.346782260753585
"tchibo espresso milano szemes, pörkölt kávé 1 kg","Tchibo Espresso Milano szemes, pörkölt kávé 1 kg","Tchibo Espresso Milano szemes, pörkölt kávé 1 kg",4061445008279,4061445008279,9999.0,8924.0,-1075.0,-10.75107510751075
"connemara ír whiskey 40% 0,7 l","Connemara ír whiskey 40% 0,7 l","Connemara ír whiskey 40% 0,7 l",5999139001079,5999139001079,20049.0,19054.0,-995.0,-4.962841039453339
bravos classic pörkölt szemes kávé 1000 g,Bravos Classic pörkölt szemes kávé 1000 g,Bravos Classic pörkölt szemes kávé 1000 g,5997349300128,5997349300128,7699.0,6814.0,-885.0,-11.494999350565008
douwe egberts omnia classic őrölt-pörkölt kávé 250 g,Douwe Egberts Omnia Classic őrölt-pörkölt kávé 250 g,Douwe Egberts Omnia Classic őrölt-pörkölt kávé 250 g,5997100012123,5997100012123,2699.0,1910.0,-789.0,-29.233049277510187
