product_name,barcode,unit_price,categories,image_urls
3Bit tejcsokoládéval bevont keksz szelet tejes töltelékkel 46 g,7622210416407,314.0,csokolade-175,https://imageproxy.wolt.com/assets/692845033c7e8f4c5cace635
7DAYS KAKAÓS CROISSANT 200 g,7622202340314,1079.0,desszert-bonbon-177,https://imageproxy.wolt.com/assets/69b8454ea9921ccd8a6f2524
"7UP energiamentes citrom és lime aromákkal ízesített szénsavas üdítőital édesítőszerekkel 0,5 l",5997264103354,500.0,szensavas-uditoital-203,https://imageproxy.wolt.com/assets/689b82059bbcfa1dc39bc2d7
7UP energiamentes citrom és lime aromákkal ízesített szénsavas üdítőital édesítőszerekkel 2 l,5997264104658,849.0,szensavas-uditoital-203,https://imageproxy.wolt.com/assets/689b821487a8f04a4a7d9208
"AXE Black 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8710447284117,1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69ca58b222b147f1899f29df
"AXE Epic Fresh 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8720181204111,1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69e17a10609eafedc63bc683
"AXE Excite 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8711600359659,1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/6821f3a44ed80914f45cbf5f
"AXE FIFA Dark Temptation 3 in 1 tusfürdő testre, arcra, hajra 250 ml",8710447276570,1364.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/695baeea5cd662af9f5c432c
"AXE FIFA Dark Temptation 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8710447284094,1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/6821f3a44ed80914f45cbf5e
"AXE Ice Chill 3 in 1 tusfürdő testre, arcra, hajra 250 ml",8717163648681,1364.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69e17a09609eafedc63bc67f
Abonett gluténmentes extrudált kenyér quinoával 100 g,5997148703601,379.0,glutenmentes-76,https://imageproxy.wolt.com/assets/66793d3a1e3f1c4c3a014c12
Abonett gluténmentes kukoricás extrudált kenyér 100 g,5997148702352,379.0,glutenmentes-76,https://imageproxy.wolt.com/assets/667935e91e3f1c4c3a00a5f7
Absolut természetes málna ízesítésű vodka 38% 700 ml,5998829900371,8974.0,vodka-243,https://imageproxy.wolt.com/assets/689b8f04f18c6aaa8030b1a2
Absolut vodka 40% 700 ml,5998829900425,8974.0,vodka-243,https://imageproxy.wolt.com/assets/689b8f04f18c6aaa8030b1a5
Absolute LifeStyle Amino Mix energiamentes ananász-mangó-papaya ízű szénsavmentes üdítőital 600 ml,5998835908019,554.0,sportital-206,https://imageproxy.wolt.com/assets/689b8f16f18c6aaa8030b1d1
Absolute LifeStyle Fat Burner grapefruit-papaya-kaktuszfüge ízű szénsavmentes üdítőital 600 ml,5998835908002,554.0,sportital-206,https://imageproxy.wolt.com/assets/689b8f16f18c6aaa8030b1d2
Adidas Chill Zone eau de parfum 50 ml,3616305447111,6299.0,parfum-testpermet-314,https://imageproxy.wolt.com/assets/689bb2f087a8f04a4a7dd88c
Adidas Get Comfy eau de parfum 50 ml,3616305447241,6299.0,parfum-testpermet-314,https://imageproxy.wolt.com/assets/689bb2f087a8f04a4a7dd889
