barcode_norm,product_name_old,product_name_new,category_norm_old,category_norm_new,category_base_old,category_base_new,unit_price_old,unit_price_new
9312631142105,Dilmah Earl Grey aromás filteres fekete tea 20 filter 30 g,Dilmah Earl Grey aromás filteres fekete tea 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,1059.0,1059.0
9312631142167,Dilmah Mango & Strawberry filteres fekete tea mangó és eper aromával 20 filter 30 g,Dilmah Mango & Strawberry filteres fekete tea mangó és eper aromával 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,1069.0,1069.0
5900396000910,Just a Minute fekete tea 100 filter 140 g,Just a Minute fekete tea 100 filter 140 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,529.0,529.0
8720608016259,Lipton Earl Grey Lemon ízesített fekete tea 25 teafilter 50 g,Lipton Earl Grey Lemon ízesített fekete tea 25 teafilter 50 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,954.0,954.0
8720608016242,"Lipton Earl Grey ízesített fekete tea 25 teafilter 37,5 g","Lipton Earl Grey ízesített fekete tea 25 teafilter 37,5 g",100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,954.0,954.0
8720608011803,Lipton Earl Grey ízesített fekete tea 50 teafilter 75 g,Lipton Earl Grey ízesített fekete tea 50 teafilter 75 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,1749.0,1749.0
8717163825976,Lipton Yellow Label ízesített fekete tea 25 filter 50 g,Lipton Yellow Label ízesített fekete tea 25 filter 50 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,954.0,954.0
8711200461646,Lipton Yellow Label ízesített fekete tea 50 filter 100 g,Lipton Yellow Label ízesített fekete tea 50 filter 100 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,1749.0,1749.0
5900396001221,Loyd Earl Grey filteres fekete tea 80 filter 120 g,Loyd Earl Grey filteres fekete tea 80 filter 120 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,1114.0,1114.0
5900396016171,Loyd fekete áfonya és szeder ízű filteres gyümölcstea 20 filter 40 g,Loyd fekete áfonya és szeder ízű filteres gyümölcstea 20 filter 40 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,794.0,794.0
8711000493717,Pickwick Variaton Box variációk 4-féle gyümölcsízű fekete tea 20 filter 30 g,Pickwick Variaton Box variációk 4-féle gyümölcsízű fekete tea 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,919.0,919.0
5997100023303,Pickwick Variaton Box variációk gyümölcsízű fekete teák gyümölcsdarabokkal 20 filter 30 g,Pickwick Variaton Box variációk gyümölcsízű fekete teák gyümölcsdarabokkal 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,919.0,919.0
8711000278321,Pickwick Variációk 4 féle gyümölcsízű fekete tea 20 filter 30 g,Pickwick Variációk 4 féle gyümölcsízű fekete tea 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,919.0,919.0
8711000278666,Pickwick citromízű fekete tea citromhéjjal 20 filter 30 g,Pickwick citromízű fekete tea citromhéjjal 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,919.0,919.0
8711000278703,Pickwick eperízű fekete tea 20 filter 30 g,Pickwick eperízű fekete tea 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,919.0,919.0
8711000278468,Pickwick erdeigyümölcsízű fekete tea 20 filter 30 g,Pickwick erdeigyümölcsízű fekete tea 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,919.0,919.0
5997100024614,Pickwick őszibarackízű fekete tea 20 filter 30 g,Pickwick őszibarackízű fekete tea 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,919.0,919.0
5999033882729,S-Budget Earl Grey ízesített filteres fekete tea 20 filter 30 g,S-Budget Earl Grey ízesített filteres fekete tea 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,299.0,299.0
5997100029053,Sir Morton Earl Grey fekete tea keverék bergamott ízesítéssel 20 filter 30 g,Sir Morton Earl Grey fekete tea keverék bergamott ízesítéssel 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,529.0,529.0
5997100029091,Sir Morton Garzon fekete tea keverék 20 filter 30 g,Sir Morton Garzon fekete tea keverék 20 filter 30 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,529.0,529.0
5901086200153,Teekanne Earl Grey bergamott ízesítésű fekete teakeverék 20 filter 33 g,Teekanne Earl Grey bergamott ízesítésű fekete teakeverék 20 filter 33 g,100-os-gyumolcs-es-zoldseglevek-137,szensavmentes-uditoitalok-140,100-os-gyumolcs-es-zoldseglevek,szensavmentes-uditoitalok,954.0,954.0
