barcode_norm,product_name_old,product_name_new,unit_price_old,unit_price_new,price_diff,price_pct,categories_old,categories_new,available_old,available_new,image_urls_old,image_urls_new
11210009387,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,1695.0,1695.0,0.0,0.0,bebietelek-221,gyumolcs-6,True,True,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309184,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309184
11210697003,Tabasco Sriracha csípős szósz 256 ml,Tabasco Sriracha csípős szósz 256 ml,2289.0,2289.0,0.0,0.0,bebietelek-221,gyumolcs-6,True,True,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309186,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309186
15999139403238,"SPAR Hazai Szeretem füstölt, nyers, gyorspácolt, kötözött bőrös csont nélküli sertéslapocka","SPAR Hazai Szeretem füstölt, nyers, gyorspácolt, kötözött bőrös csont nélküli sertéslapocka",1670.0,2405.0,735.0,44.01197604790419,hal-123,belsosegek-126,True,False,https://imageproxy.wolt.com/assets/689b766e87a8f04a4a7d7fee;https://imageproxy.wolt.com/assets/689b766f87a8f04a4a7d7ff2,https://imageproxy.wolt.com/assets/689b766e87a8f04a4a7d7fee;https://imageproxy.wolt.com/assets/689b766f87a8f04a4a7d7ff2
2002141120010,Gallicoop pulykanyak,Gallicoop pulykanyak,1153.62,1196.52,42.90000000000009,3.7187288708586967,sertes-121,daralthus-124,False,False,https://imageproxy.wolt.com/assets/6679412511daf54b0d99550a,https://imageproxy.wolt.com/assets/6679412511daf54b0d99550a
2004840540014,"Tolle zsíros, félkemény trappista sajt","Tolle zsíros, félkemény trappista sajt",584.0,490.0,-94.0,-16.095890410958905,laktozmentes-84,etrendkiegeszitok-87,True,True,https://imageproxy.wolt.com/assets/69bbd7cc94e8ba0fb797db70,https://imageproxy.wolt.com/assets/69bbd7cc94e8ba0fb797db70
3014260022082,"Oral-B Pro-Expert CrossAction All In One Medium kézi fogkefe, 2 db","Oral-B Pro-Expert CrossAction All In One Medium kézi fogkefe, 2 db",1529.0,1679.0,150.0,9.810333551340745,azsiai-tesztafelek-293,fuszerkeverek-298,True,True,https://imageproxy.wolt.com/assets/6938169cd04962baa1b138f0,https://imageproxy.wolt.com/assets/68c413632c60b119670f0010
3014260022839,Oral-B 3 Effect Medium Manual Toothbrush x2,Oral-B 3 Effect Medium Manual Toothbrush x2,609.0,629.0,20.0,3.284072249589491,azsiai-tesztafelek-293,fuszerkeverek-298,True,True,https://imageproxy.wolt.com/assets/66793cb134063d58fe45ff21,https://imageproxy.wolt.com/assets/66793cb134063d58fe45ff21
3014260101503,Oral-B – OM026 123 Ragyogó Tisztaság Fogkefe 40 Közepes Keménységű Sörte – db,Oral-B – OM026 123 Ragyogó Tisztaság Fogkefe 40 Közepes Keménységű Sörte – db,744.0,839.0,95.0,12.768817204301076,azsiai-tesztafelek-293,fuszerkeverek-298,True,True,https://imageproxy.wolt.com/assets/68c4139f2c60b119670f0088,https://imageproxy.wolt.com/assets/68c4139f2c60b119670f0088
3014260214692,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml","Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",1385.0,1574.0,189.0,13.646209386281589,gyogyteak-289,pudingpor-294,True,True,https://imageproxy.wolt.com/assets/68e5095489477a351265c358,https://imageproxy.wolt.com/assets/6a051f6ba95d72fa52308705
3014260258313,Gillette Arctic Ice Borotválkozás Utáni Arcszesz 100 ml,Gillette Arctic Ice Borotválkozás Utáni Arcszesz 100 ml,4409.0,4619.0,210.0,4.7629848038103875,durum-teszta-291,bors-296,True,True,https://imageproxy.wolt.com/assets/68c413952c60b119670f007b,https://imageproxy.wolt.com/assets/68c413952c60b119670f007b
3014260283254,"Gillette BlueII Plus Eldobható Férfi Borotva, 5 db","Gillette BlueII Plus Eldobható Férfi Borotva, 5 db",1324.0,1469.0,145.0,10.95166163141994,c-vitamin-290,so-fuszerso-295,True,True,https://imageproxy.wolt.com/assets/68dbcdefe4991e9d3ee08a5e,https://imageproxy.wolt.com/assets/68dbcdefe4991e9d3ee08a5e
3059943021693,Air Wick Pure Cseresznyevirág aeroszol spray 250 ml,Air Wick Pure Cseresznyevirág aeroszol spray 250 ml,1889.0,1889.0,0.0,0.0,cukrasz-termekek-274,magvak-278,True,True,https://imageproxy.wolt.com/assets/689b6aacf18c6aaa8030875e;https://imageproxy.wolt.com/assets/689b6aadf18c6aaa80308763,https://imageproxy.wolt.com/assets/689b6aacf18c6aaa8030875e;https://imageproxy.wolt.com/assets/689b6aadf18c6aaa80308763
3059943021709,Air Wick Pure Tavaszi Szellő aeroszol 250 ml,Air Wick Pure Tavaszi Szellő aeroszol 250 ml,1889.0,1889.0,0.0,0.0,cukrasz-termekek-274,magvak-278,True,True,https://imageproxy.wolt.com/assets/689b70379bbcfa1dc39bad9e;https://imageproxy.wolt.com/assets/689b70389bbcfa1dc39bada8,https://imageproxy.wolt.com/assets/689b70379bbcfa1dc39bad9e;https://imageproxy.wolt.com/assets/689b70389bbcfa1dc39bada8
3073780979528,"Leerdammer Original zsíros félkemény, szeletelt sajt 100 g","Leerdammer Original zsíros félkemény, szeletelt sajt 100 g",989.0,989.0,0.0,0.0,zabpehely-zabkasa-rizskasa-70,kave-75,True,True,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/56ed6078-cc33-11f0-ae8e-86373cb2b075_376551007.jpg,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/56ed6078-cc33-11f0-ae8e-86373cb2b075_376551007.jpg
3073780979542,"Leerdammer Lightlife félzsíros félkemény, szeletelt sajt 100 g","Leerdammer Lightlife félzsíros félkemény, szeletelt sajt 100 g",989.0,989.0,0.0,0.0,zabpehely-zabkasa-rizskasa-70,kave-75,True,True,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/56e19932-cc33-11f0-b394-060352802c42_376553001.jpg,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/56e19932-cc33-11f0-b394-060352802c42_376553001.jpg
3073781082869,"Leerdammer Finesse Original laktózmentes, félkemény, zsíros sajt 8 db 80 g","Leerdammer Finesse Original laktózmentes, félkemény, zsíros sajt 8 db 80 g",989.0,989.0,0.0,0.0,zabpehely-zabkasa-rizskasa-70,kave-75,True,True,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/6419870e-cc33-11f0-9c53-96bb15f1ca69_465606007.jpg,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/6419870e-cc33-11f0-9c53-96bb15f1ca69_465606007.jpg
3073781179712,Babybel Mini Original zsíros félkemény sajt viaszbevonatban 3 x 20 g (60 g),Babybel Mini Original zsíros félkemény sajt viaszbevonatban 3 x 20 g (60 g),724.0,724.0,0.0,0.0,laktozmentes-84,etrendkiegeszitok-87,True,True,https://imageproxy.wolt.com/assets/689b71d7f18c6aaa80309215,https://imageproxy.wolt.com/assets/689b71d7f18c6aaa80309215
3083681007657,Bonduelle Prémium szeletelt csiperkegomba 280 g,Bonduelle Prémium szeletelt csiperkegomba 280 g,1049.0,1049.0,0.0,0.0,csemegepult-61,pastetomok-majasok-66,True,True,https://imageproxy.wolt.com/assets/689b6ab5f18c6aaa80308776;https://imageproxy.wolt.com/assets/689b6ab6f18c6aaa8030877b,https://imageproxy.wolt.com/assets/689b6ab5f18c6aaa80308776;https://imageproxy.wolt.com/assets/689b6ab6f18c6aaa8030877b
3083681009835,Bonduelle szeletelt csiperkegomba 390 g,Bonduelle szeletelt csiperkegomba 390 g,1049.0,1049.0,0.0,0.0,csemegepult-61,pastetomok-majasok-66,True,True,https://imageproxy.wolt.com/assets/689b70d29bbcfa1dc39baf89;https://imageproxy.wolt.com/assets/689b70d39bbcfa1dc39baf8e,https://imageproxy.wolt.com/assets/689b70d29bbcfa1dc39baf89;https://imageproxy.wolt.com/assets/689b70d39bbcfa1dc39baf8e
3088542500285,Maple Joe juharszirup 250 g,Maple Joe juharszirup 250 g,3604.0,3604.0,0.0,0.0,sportital-145,konzerv-befott-149,True,True,https://imageproxy.wolt.com/assets/689b70a99bbcfa1dc39baf38,https://imageproxy.wolt.com/assets/689b70a99bbcfa1dc39baf38
3176580025478,"Brie Des Ducs zsíros, fehér nemespenésszel érő lágy sajt 175 g","Brie Des Ducs zsíros, fehér nemespenésszel érő lágy sajt 175 g",864.0,864.0,0.0,0.0,glutenmentes-85,pezsgotabletta-88,True,True,https://imageproxy.wolt.com/assets/689b75c3f18c6aaa8030977d,https://imageproxy.wolt.com/assets/689b75c3f18c6aaa8030977d
3176586371005,"Saint Benoit camembert zsíros, fehér nemespenésszel érő lágy sajt 240 g","Saint Benoit camembert zsíros, fehér nemespenésszel érő lágy sajt 240 g",1879.0,1879.0,0.0,0.0,glutenmentes-85,pezsgotabletta-88,True,True,https://imageproxy.wolt.com/assets/689b7782f18c6aaa80309acd,https://imageproxy.wolt.com/assets/689b7782f18c6aaa80309acd
