product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,barcode_status,unit_price_old,unit_price_new,price_diff,categories_old,categories_new
Dr. Oetker Vitalis almás-fahéjas rizskása alappor 54 g,Dr. Oetker Vitalis almás-fahéjas rizskása alappor 54 g,5997381373203,5997381378574,different,379.0,379.0,0.0,fagyasztott-elelmiszerek-128,pizzak-131
"Dr. Oetker friss, sütésre kész pizza tészta 400 g","Dr. Oetker friss, sütésre kész pizza tészta 400 g",5997381373838,5997381378123,different,1079.0,1079.0,0.0,paradicsompure-pesto-egyeb-olasz-szoszok-154,salatak-es-hidegtalak-158
NIVEA Pearl & Beauty izzadásgátló 50 ml,NIVEA Pearl & Beauty izzadásgátló 50 ml,9005800352299,9005800398990,different,1255.0,1364.0,109.0,fekete-tea-286,durum-teszta-291
Nescafé Classic azonnal oldódó kávé 100 g,Nescafé Classic azonnal oldódó kávé 100 g,5998710981052,5998710980673,different,2099.0,2099.0,0.0,vizek-uditok-136,izesitett-viz-139
Nescafé Classic azonnal oldódó kávé 150 g,Nescafé Classic azonnal oldódó kávé 150 g,5998710965052,8445290784315,different,2624.0,2624.0,0.0,vizek-uditok-136,izesitett-viz-139
Philadelphia Original sajtos szendvicskrém 200 g,Philadelphia Original sajtos szendvicskrém 200 g,7622210582799,4000339035229,different,1579.0,1579.0,0.0,kemenyito-zselatin-98,edesitoszerek-101
Sensodyne Repair & Protect Whitening fluoridos fogkrém 75 ml,Sensodyne Repair & Protect Whitening fluoridos fogkrém 75 ml,5054563103321,5054563233431,different,2049.0,2414.0,365.0,pudingpor-294,sutemeny-299
Cukkini salátának való lédig,Cukkini salátának való lédig,8412276010560,,lost_barcode,312.25,259.75,-52.5,novenyi-termekek-58,parizsi-63
Cékla lédig,Cékla lédig,5999562010655,,lost_barcode,46.9,46.9,0.0,virsli-62,szalonna-bacon-67
DESPAR Premium extra szűz olívaolaj 750 ml,DESPAR Premium extra szűz olívaolaj 750 ml,8001300091899,,lost_barcode,7139.0,7139.0,0.0,antipasti-159,savanyusag-161
DESPAR extra szűz olívaolaj 500 ml,DESPAR extra szűz olívaolaj 500 ml,8001300242147,,lost_barcode,3149.0,3149.0,0.0,antipasti-159,savanyusag-161
Fahéjas csiga,Fahéjas csiga,5998704372460,,lost_barcode,189.0,189.0,0.0,kakao-77,mentes-termekek-82
Kovászos cipó,Kovászos cipó,5907377308249,,lost_barcode,594.0,594.0,0.0,kave-75,mez-80
Kovászos spanyol bagett,Kovászos spanyol bagett,5907377307907,,lost_barcode,324.0,405.0,81.0,mez-80,laktozmentes-84
Mangó db,Mangó db,5998899710191,,lost_barcode,624.0,624.0,0.0,vaj-margarin-49,kefir-aludttej-54
Mézdinnye db,Mézdinnye db,5998470509190,,lost_barcode,1354.0,1354.0,0.0,tej-48,turo-cottage-cheese-53
Olívás paillasse 300 g,Olívás paillasse 300 g,5998377300012,,lost_barcode,594.0,594.0,0.0,kave-75,mez-80
Padlizsán lédig,Padlizsán lédig,5999562011041,,lost_barcode,467.7,311.7,-156.0,novenyi-termekek-58,parizsi-63
Piknik csomag 1 kg,Piknik csomag 1 kg,5999559683008,,lost_barcode,1947.0,1439.0,-508.0,izesitett-tejitalok-jegeskave-57,virsli-62
PurPur zsemle,PurPur zsemle,5998704373061,,lost_barcode,164.0,164.0,0.0,mez-80,laktozmentes-84
REGNUM darált sertéshús 400 g,REGNUM darált sertéshús 400 g,5999033800365,,lost_barcode,1404.0,1404.0,0.0,hal-123,belsosegek-126
"REGNUM füstölt, főtt darabolt sertés császárszalonna","REGNUM füstölt, főtt darabolt sertés császárszalonna",92002511910077,,lost_barcode,1414.8,1414.8,0.0,husok-118,sertes-121
Retro kifli 85 g,Retro kifli 85 g,5999028637693,,lost_barcode,150.0,149.0,-1.0,mez-80,laktozmentes-84
Rozsos-magvas buci,Rozsos-magvas buci,5998704372262,,lost_barcode,139.0,139.0,0.0,mez-80,laktozmentes-84
S-Budget Sülve-Főve Csirke friss csirkemáj 500 g,S-Budget Sülve-Főve Csirke friss csirkemáj 500 g,5999033893534,,lost_barcode,744.0,744.0,0.0,sertes-121,daralthus-124
S-Budget Sülve-Főve Csirke szeletelt friss csirkemellfilé 500 g,S-Budget Sülve-Főve Csirke szeletelt friss csirkemellfilé 500 g,5999033893572,,lost_barcode,1294.0,1362.0,68.0,sertes-121,daralthus-124
S-Budget baromfi párizsi 500 g,S-Budget baromfi párizsi 500 g,5999033898904,,lost_barcode,403.0,403.0,0.0,ragogumik-leheletfrissitok-112,tortilla-chips-es-szoszok-115
S-Budget kockázott bacon 500 g,S-Budget kockázott bacon 500 g,5999033874403,,lost_barcode,1364.0,1280.0,-84.0,husok-118,sertes-121
"SPAR BBQ darabolt sertés oldalas, pikáns fűszerezésű olajos marinádban","SPAR BBQ darabolt sertés oldalas, pikáns fűszerezésű olajos marinádban",2003138860018,,lost_barcode,2789.5,2789.5,0.0,hal-123,belsosegek-126
SPAR Hazai Szeretem friss tojás M 10 db,SPAR Hazai Szeretem friss tojás M 10 db,5999033892070,,lost_barcode,1019.0,1019.0,0.0,keksz-109,ragogumik-leheletfrissitok-112
SPAR Natur*pur Bio tojás L 6 db,SPAR Natur*pur Bio tojás L 6 db,5999033890151,,lost_barcode,755.0,755.0,0.0,keksz-109,ragogumik-leheletfrissitok-112
SPAR Natur*pur Bio tojás M 10 db,SPAR Natur*pur Bio tojás M 10 db,5999033890144,,lost_barcode,1219.0,1219.0,0.0,keksz-109,ragogumik-leheletfrissitok-112
SPAR PREMIUM lazacpisztráng filé,SPAR PREMIUM lazacpisztráng filé,15999033890462,,lost_barcode,2729.87,2605.67,-124.19999999999982,daralthus-124,fustolt-hal-egyeb-halkeszitmenyek-127
SPAR PREMIUM vörös tonhalfilé,SPAR PREMIUM vörös tonhalfilé,15999033890493,,lost_barcode,5288.15,5288.15,0.0,daralthus-124,fustolt-hal-egyeb-halkeszitmenyek-127
SPAR császárzsemle,SPAR császárzsemle,5998704370954,,lost_barcode,75.0,75.0,0.0,mez-80,laktozmentes-84
