barcode,product_name,unit_price,categories,image_urls
11210000018,Tabasco csípős chilipaprika szósz 60 ml,1695.0,gyumolcs-6,https://imageproxy.wolt.com/assets/689b7180f18c6aaa80309185
1230000131780,"Nerds szőlős-epres cukorka 46,7 g",1009.0,vodka-182,https://imageproxy.wolt.com/assets/68f77d8f991b63c9b819116f;https://imageproxy.wolt.com/assets/68f77d8f991b63c9b819116e
3017760524797,"Dörmi tejes krémmel töltött puha piskóta, 30 g",169.0,egyeb-alkoholos-italok-koktelok-181,https://imageproxy.wolt.com/assets/69d93ae260461b960942b825
3017760524896,Dörmi csokoládés krémmel töltött puha piskóta 30 g,169.0,egyeb-alkoholos-italok-koktelok-181,https://imageproxy.wolt.com/assets/6925a1c84da254f4fa175e63
3036810201280,Maille Dijon Mustard 215 g,1274.0,tapszerek-224,https://imageproxy.wolt.com/assets/667936bd1e3f1c4c3a00b873
3036810204014,Maille Mustard with Honey 230 g,1379.0,tapszerek-224,https://imageproxy.wolt.com/assets/6679451d8353ae60784d9f35
3036810207589,Maille Whole Seed Mustard 210 g,1274.0,tapszerek-224,https://imageproxy.wolt.com/assets/689b70899bbcfa1dc39baec1
3045200700005,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,1049.0,friss-gyumolcslevek-273,https://imageproxy.wolt.com/assets/689b791b87a8f04a4a7d88a2
3045206312066,Sanytol fertőtlenítő univerzális tisztítószer grapefruit illattal 500 ml,1049.0,friss-gyumolcslevek-273,https://imageproxy.wolt.com/assets/689b74d287a8f04a4a7d7dca
3563490017882,Reine de Dijon Dijoni mustár 200 g,1009.0,tapszerek-224,https://imageproxy.wolt.com/assets/689bb4e7f18c6aaa8030d55e
3563490017899,Reine de Dijon Magos mustár 190 g,1009.0,tapszerek-224,https://imageproxy.wolt.com/assets/689bb4e7f18c6aaa8030d560
3574660412277,Neutrogena Norvég Formula gyorsan beszívódó kézkrém 75 ml,1574.0,levesbetet-292,https://imageproxy.wolt.com/assets/689bb2da87a8f04a4a7dd841
3574660709216,Carefree Plus Large tisztasági betét aloe vera illattal 48 db,1679.0,dobozos-gyumolcsle-306,https://imageproxy.wolt.com/assets/68d5370235cd665795fd4971
3574661491967,Listerine Advanced White Mild Taste szájvíz 1 l,4440.0,napolyi-ostya-300,https://imageproxy.wolt.com/assets/68d536e735cd665795fd492c
3574661626062,o.b. ExtraProtect Super tampon 16 db,1784.0,dobozos-gyumolcsle-306,https://imageproxy.wolt.com/assets/682b5808d3cf585540f711cb
