product_name,barcode,unit_price,categories,image_urls
"1664 Blanc világos búzasör 5% 0,5 l",8600331002487,605.0,alkoholmentes-sor-234,https://imageproxy.wolt.com/assets/68e7aafa76f0377a07cb985b
"1664 Blanc világos búzasör 5% 4 x 0,5 l (2 l)",8600331002968,2299.0,alkoholmentes-sor-234,https://imageproxy.wolt.com/assets/69c57490e24f4a9d75093bd7
"1x1 Vitaday Magnézium + B6-vitamin étrend-kiegészítő filmtabletta 30 db 10,35 g",,1059.0,halkonzerv-huskonzerv-melegszendvicskrem-152,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/aa383b00-9ab4-11f0-abc8-5ab5c7d45ff3_sx339_1x1_magnezium_b6_vitamin_tabl.jpg
1x1 Vitamin C-vitamin 1000 mg narancsízű étrend-kiegészítő rágótabletta 60 x 1800 mg (108 g),5999883354667,3179.0,halkonzerv-huskonzerv-melegszendvicskrem-152,https://imageproxy.wolt.com/assets/692d8a756980ec1e3ff65756
1x1 Vitamin Multivitamin +cink & vas erdei gyümölcsös étrend-kiegészítő tabletta 60 db 60 g,5999883354933,1854.0,halkonzerv-huskonzerv-melegszendvicskrem-152,https://imageproxy.wolt.com/assets/692d8a736980ec1e3ff65752
1x1 Vitamin multivitamin narancs ízű étrend-kiegészítő rágótabletta 90 x 800 mg (72 g),5999561573236,1695.0,halkonzerv-huskonzerv-melegszendvicskrem-152,https://imageproxy.wolt.com/assets/692d8a756980ec1e3ff65758
7DAYS Bake Rolls bacon ízű kétszersült 80 g,5201360112265,539.0,feher-bor-190,https://imageproxy.wolt.com/assets/689b73909bbcfa1dc39bb0cc
7DAYS Bake Rolls pizza ízű kétszersült 80 g,5201360671069,539.0,feher-bor-190,https://imageproxy.wolt.com/assets/689b7393f18c6aaa8030949d
7DAYS Bake Rolls sós kétszersült 80 g,5201360639007,539.0,feher-bor-190,https://imageproxy.wolt.com/assets/689b73909bbcfa1dc39bb0cd
7DAYS Family Pack croissant kakaós töltelékkel 5 x 37 g (185 g),7622201393564,1079.0,mentes-termekek-82,https://imageproxy.wolt.com/assets/69bbe5c8016902d4a7a17f1c
7DAYS Oreo vanília krémes és kekszes croissant 60 g,7622202267406,324.0,mentes-termekek-82,https://imageproxy.wolt.com/assets/69873077df12ec2860944f9c
7DAYS mogyoró croissant 80 g,7622202378867,379.0,mentes-termekek-82,https://imageproxy.wolt.com/assets/6995aa916ddfd847c2c6c44b
Agárdi Miraculum Vilmoskörte pálinka 40% 500 ml,5999545372404,12754.0,szalami-242,https://imageproxy.wolt.com/assets/68e507f289477a351265c13f
Ajax Flower Fiesta Lagoon Flowers Türkiz általános tisztítószer 1000 ml,5900273472908,914.0,friss-gyumolcslevek-273,https://imageproxy.wolt.com/assets/69eb4d81cbbf5c0b40d4d5aa
Ajax Flower Fiesta Orgona virág Lila általános tisztítószer 1000 ml,5900273462213,914.0,friss-gyumolcslevek-273,https://imageproxy.wolt.com/assets/689bb4bb9bbcfa1dc39bed16
Ajax Flower Fiesta Pipacs Piros általános tisztítószer 1000 ml,5900273472984,914.0,friss-gyumolcslevek-273,https://imageproxy.wolt.com/assets/689bb4bdf18c6aaa8030d526
Ajax Flower Fiesta Tavaszi virágok Zöld általános tisztítószer 1000 ml,5900273472939,914.0,friss-gyumolcslevek-273,https://imageproxy.wolt.com/assets/689bb4bcf18c6aaa8030d524
Alkoholmentes bordó ajándékkosár,5998574302093,22049.0,cukormentes-257,https://imageproxy.wolt.com/assets/689bb1e987a8f04a4a7dd506;https://imageproxy.wolt.com/assets/689bb1e987a8f04a4a7dd509
"Alpro kókusz- és szójaital matcha teával, hozzáadott kalciummal, jóddal, B2-, B9- és D2-vitaminn 1 l",5411188142522,1354.0,kakao-77,https://imageproxy.wolt.com/assets/69e9fbd328419a6b3196cabd
"Alpro zsírszegény fermentált szójakészítmény datolyával, cseresznyével, eperrel 135 g",5411188136361,660.0,gumicukor-110,https://imageproxy.wolt.com/assets/667948395bc89c3fb6bf3de6
Alufix alufólia 20 m,5949509000058,1259.0,glutenmentes-276,https://imageproxy.wolt.com/assets/689b7daa9bbcfa1dc39bbbff
Alufix alufólia 30 m,5949509000072,1784.0,glutenmentes-276,https://imageproxy.wolt.com/assets/689b7daa9bbcfa1dc39bbc00
"Alufix sütőpapír lapokban, 20 lap",5949509002755,894.0,glutenmentes-276,https://imageproxy.wolt.com/assets/69775eb3abd519155b89285d
"Ambi Pur 3Volution Gold Orchid Elektromos Illatpárologtató-utántöltő, 20ml",8001841922690,2519.0,magvak-278,https://imageproxy.wolt.com/assets/68d14200bd5756f4002af3e3
Ambi Pur Fürdőszobai Légfrissítő - Folyamatos Szagsemlegesítés És Szagmegelőzés Cotton Fresh 1 X,8700216014434,2099.0,magvak-278,https://imageproxy.wolt.com/assets/68c2c185bd456827e99aba8f
Ambi Pur Légfrissítő Spray Gold Orchid 370 ml,8006530260541,2939.0,magvak-278,https://imageproxy.wolt.com/assets/692450117a24b1c086711635
Ambi Pur Légfrissítő Spray Japanese Blossom 185 ml,8006530394567,1889.0,natur-gorog-joghurt-279,https://imageproxy.wolt.com/assets/69b934537c28665a5e592562
Amodent Eredeti fogkrém 100 ml,8717644554555,474.0,sutemeny-299,https://imageproxy.wolt.com/assets/66793c2934063d58fe45f491;https://imageproxy.wolt.com/assets/66793d0e35e1b1789b04c5f8
Ananász db,,1039.0,kefir-aludttej-54,https://wolt-menu-images-cdn.wolt.com/menu-images/6654467e27f761196caa9ef7/831303b0-790e-11f0-834f-ce636a38a856_367210005.png
Aquafresh Big Teeth Mild Mint fluoridos fogkrém 50 ml,3830029291687,734.0,sutemeny-299,https://wolt-menu-images-cdn.wolt.com/menu-images/66544565d6a91b4d1392d750/64352a98-f36e-11ef-983f-f2bde3e3e3f6_wst_534627001.jpg
Arany körkosár,5998574302307,16324.0,cukormentes-257,https://imageproxy.wolt.com/assets/689bb1ea87a8f04a4a7dd50d;https://imageproxy.wolt.com/assets/689bb1eb87a8f04a4a7dd511
Atrix kézvédő kézkrém kamillával 100 ml,9005800374819,1524.0,levesbetet-292,https://imageproxy.wolt.com/assets/697b53d1088b76a80bd49b99;https://imageproxy.wolt.com/assets/697b53d1088b76a80bd49b98
