product_name,barcode,unit_price,categories,image_urls
3Bit tejcsokoládéval bevont keksz szelet tejes töltelékkel 46 g,7622210416407,314.0,alkoholok-171,https://imageproxy.wolt.com/assets/692845033c7e8f4c5cace635
7DAYS KAKAÓS CROISSANT 200 g,7622202340314,1079.0,pezsgo-gyongyozo-bor-173,https://imageproxy.wolt.com/assets/69b8454ea9921ccd8a6f2524
"AXE Black 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8710447284117,1769.0,palcikas-tolcseres-jegkremek-304,https://imageproxy.wolt.com/assets/69ca58b222b147f1899f29df
"AXE Epic Fresh 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8720181204111,1564.0,palcikas-tolcseres-jegkremek-304,https://imageproxy.wolt.com/assets/689ba6bd87a8f04a4a7db966
"AXE Excite 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8711600359659,1769.0,palcikas-tolcseres-jegkremek-304,https://imageproxy.wolt.com/assets/6821f3a44ed80914f45cbf5f
"AXE FIFA Dark Temptation 3 in 1 tusfürdő testre, arcra, hajra 400 ml",8710447284094,1769.0,palcikas-tolcseres-jegkremek-304,https://imageproxy.wolt.com/assets/6821f3a44ed80914f45cbf5e
Abonett gluténmentes extrudált kenyér quinoával 100 g,5997148703601,379.0,gabonapehely-71,https://imageproxy.wolt.com/assets/66793d3a1e3f1c4c3a014c12
Abonett gluténmentes kukoricás extrudált kenyér 100 g,5997148702352,379.0,gabonapehely-71,https://imageproxy.wolt.com/assets/667935e91e3f1c4c3a00a5f7
Absolut vodka 40% 700 ml,5998829900425,8974.0,csonthejas-gyumolcsok-239,https://imageproxy.wolt.com/assets/689b8f04f18c6aaa8030b1a5
After Eight étcsokoládéval mártott mentolízű fondant lapocskák 200 g,7613032596668,2099.0,pezsgo-gyongyozo-bor-173,https://imageproxy.wolt.com/assets/689b9e07f18c6aaa8030c69b
Akácméz 150 g,5998150510065,1049.0,gyumolcslevek-144,https://imageproxy.wolt.com/assets/689b888b87a8f04a4a7d9eb6
Akácméz 250 g,5998150512502,1994.0,gyumolcslevek-144,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a538
Akácméz 500 g,5998150510027,3149.0,gyumolcslevek-144,https://imageproxy.wolt.com/assets/689b888b87a8f04a4a7d9eb8
Akácméz 900 g,5998150510072,5039.0,gyumolcslevek-144,https://imageproxy.wolt.com/assets/689b888df18c6aaa8030a537
"Alaska vodka 37,5% 0,1 l",5995267101124,1209.0,csonthejas-gyumolcsok-239,https://imageproxy.wolt.com/assets/689b7e5bf18c6aaa80309e25
Algida Smile Jégkrém Sós karamell 900 ml,8711327625600,1804.0,gyumolcsbor-193,https://imageproxy.wolt.com/assets/69147e4143a2bd3cfbf4615b
Alpesi tej felhasználásával készült tejcsokoládé karamellizált kekszdarabkákkal 90g,7622202295133,734.0,likor-172,https://imageproxy.wolt.com/assets/6936c54db0f2d0c0d8d5a0d6
