barcode_norm,spar_names,prima_names
3800020493939,KitKat Chunky ropogós töltött ostya fehér masszában 40 g,KitKat Chunky ropogós ostya fehér csokoládéban 40 g
3858887585670,"Somersby körte cider körtelé alapú szénsavas alkoholos ital 4,5% 330 ml",Somersby cider körte 4.5% DRS 0.33l
3858887585830,"Somersby Elderflower & Lime alkoholmentes szénsavas ital bodzavirág és lime ízesítéssel 0,0% 330 ml",Somersby cider bodzavirág&lime alkoholmentes 0.0% DRS 0.33l
4000436509081,Ammerländer szeletelt maasdamer sajt 125 g,Ammerländer szeletelt sajt maasdamer 125g
4001686705315,Haribo Berries zselés cukordrazsé 100 g,Haribo Berries zselécukorka dekorációs cukorkával 100 g
4023600002812,Dr. Oetker Paula csokoládéízű puding vaníliaízű foltokkal 2 x 100 g (200 g),Dr. Oetker Paula csokoládéízű puding vaníliaízű folt. 2*100g
40858029,Müller Riso tejberizs desszert csokoládé ízű készítménnyel 200 g,Müller tejberizs csokoládés 200g
40858227,Müller Riso tejberizs desszert eper készítménnyel 200 g,Müller tejberizs epres 200g
4823077636837,Roshen étcsokoládé szelet brandy ízű töltelékkel 33 g,Roshen étcsokoládé szelet csok.krémes 33g
4823077636851,Roshen tejcsokoládé szelet földimogyorós töltelékkel 29 g,Roshen tejcsokoládé szelet földimogyorós 29g
4823077636875,Roshen tejcsokoládé szelet karamell töltelékkel 30 g,Roshen tejcsokoládé szelet karamellás 30g
4823077638923,Marika kakaós tej tortabevonó 90 g,Marika milk 90g
4823077638930,Marika kakaós ét tortabevonó 90 g,Marika dark 90g
4823077639432,Roshen tejcsokoládé szelet mandulával és kókuszos töltelékkel 29 g,Roshen tejcsokoládé szelet kókusz és mandulás 29g
5000159558020,"Bounty tejcsokoládé puha kókuszos töltelékkel 2 x 28,5 g (57 g)","Bounty Coconut Bar with Milk Chocolate Coating 2 x 28,5 g (57 g)"
5000159561402,Twix kekszes szeletek karamellával tejcsokoládéba mártva 2 x 25 g (50 g),"Twix kekszes szeletek karamellával, tejcsokoládéba mártva 2 x 25 g (50 g)"
5011013100156,"Baileys eredeti ír krémlikőr 17%, 700 ml","Baileys eredeti ír krémlikőr 17% 0,7l"
5410041435702,Tuc Original sós keksz 100 g,Tuc snack keksz sózott 100g
5410438036048,Milli UHT jegeskávé 300 ml,Milli jegeskávé 300ml
5411188110835,Alpro mandulaital hozzáadott kalciummal és vitaminokkal 1 l,Alpro mandulaital original 1l
5411188116592,ALPRO kókuszital 1 l,Alpro kókuszital 1l
5711953190148,Milka UHT tejital Milka csokoládéval és zsírszegény kakaóporral 250 ml,Milka UHT tejital 250ml
5740900400849,Lurpak enyhén sózott kenhető keverék készítmény 200 g,Lurpak vajkészítmény növényi kenhető 200g
5740900401402,Lurpak kenhető keverék készítmény vajjal és növényi olajjal 200 g,Lurpak vaj kenhető sótlan 200g
5760466736664,"Apetina félzsíros, lágy krémfehér sajt 200 g","Arla Apetina félzsíros, lágy krémfehér sajt 200 g"
5900020011886,"Nestlé Cookie Crisp süti formájú, csokiízű, ropogós gabonapehely 375 g",Nestlé Cookie Crisp csokiízű ropogós gabonapehely 375g
5900020013668,"Nestlé Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal, 375 g","Nestlé Nesquik kakaós ízű, ropogós gabonapehely 375g"
5900020013927,"Chocapic csokiízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 375 g","Nestlé Chocapic csokiízű, ropogós gabonapehely 375g"
5900020016065,"Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 225 g",Nestlé nesquik gabonapehely 225g
5900020019530,Lion karamellás és csokoládés ropogós gabonapehely vitaminokkal és ásványi anyagokkal 400 g,Nestlé Lion karamellás és csokoládés rop. gabonapehely 400g
5900020022745,"Nestlé Cheerios mézes, ropogós gabonakarika vitaminokkal és ásványi anyagokkal 375 g","Nestlé Cheerios mézes, ropogós gabonakarika 375g"
5900020022769,"Nestlé Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal, 375 g","Nestlé Cini Minis ropogós, fahéjas gabonapehely 375g"
5900020042163,"Strawberry Minis ropogós, epres ízű gabonapehely teljes kiőrlésű búzával, vitaminokkal 375 g",Nestlé Strawberry Minis ropogós epres gabonapehely 375g
5900020042514,Chocapic brownie ízű ropogós gabonapehely vitaminokkal és ásványi anyagokkal 300 g,Nestlé Chocapic brownie ízű ropogós gabonapehely 300g
5900259128843,Lay's kemencében sütött joghurtos-zöldfűszeres ízesítésű burgonyachips 110 g,Lay's kemencében sütött burg.chips jogh.-zöldfűsz. ízű 110g
5900437005157,Dr. Oetker Guseppe gyorsfagyasztott pizza szalámival 380 g,Dr. Oetker Guseppe Pizza szalámis 380g
