barcode_norm,name_norm,store_product_id_spar,product_name_spar,available_spar,unit_price_num_spar,unit_type_norm_spar,unit_step_num_spar,base_unit_spar,base_price_spar,is_discounted_spar,original_unit_price_spar,categories_spar,image_urls_spar,store_product_id_prima,product_name_prima,available_prima,unit_price_num_prima,unit_type_norm_prima,unit_step_num_prima,base_unit_prima,base_price_prima,is_discounted_prima,original_unit_price_prima,categories_prima,image_urls_prima,price_diff_prima_minus_spar,price_pct_prima_vs_spar,same_package_unit,same_base_unit,base_price_diff_prima_minus_spar,base_price_pct_prima_vs_spar
5995863010080,"kotányi real, dried saffron 0,12 g",70e95a519a699d6b3daaecb9,"Kotányi Real, Dried Saffron 0,12 g",True,649.0,g,0.12,Ft/kg,5408333.333333334,False,,fuszerek-165,https://imageproxy.wolt.com/assets/66793d1f35e1b1789b04c766,ad0d12a89cd42ce97f730e42,"Kotányi Real, Dried Saffron 0,12 g",True,699.0,g,0.12,Ft/kg,5825000.0,False,,fuszer-123,https://imageproxy.wolt.com/assets/66793d1f35e1b1789b04c766,50.0,7.704160246533127,True,True,416666.66666666605,7.704160246533115
5997378742135,protect combi plus hangyairtó csalétek 3 x 2 g,58fea0fec562289d158f0670,Protect Combi Plus hangyairtó csalétek 3 x 2 g,True,1274.0,g,6.0,Ft/kg,212333.33333333334,False,,rovarirtok-279,https://imageproxy.wolt.com/assets/689bb218f18c6aaa8030d4ab;https://imageproxy.wolt.com/assets/689bb219f18c6aaa8030d4ae,d9f161792cd37342a8686367,Protect Combi Plus hangyairtó csalétek 3 x 2 g,True,1599.0,g,6.0,Ft/kg,266500.0,False,,rovarirto-szer-226,https://imageproxy.wolt.com/assets/689bb218f18c6aaa8030d4ab;https://imageproxy.wolt.com/assets/689bb219f18c6aaa8030d4ae,325.0,25.510204081632654,True,True,54166.66666666666,25.510204081632647
9005800362861,"labello original ajakápoló 4,8 g",3fee2c626424dac96effd301,"Labello Original ajakápoló 4,8 g",False,1469.0,g,4.8,Ft/kg,306041.6666666667,False,,ajakapolok-297,https://imageproxy.wolt.com/assets/697b53fd088b76a80bd49c86;https://imageproxy.wolt.com/assets/697b53fd088b76a80bd49c85,8a94ddf3d738d9a7aafb430f,"Labello Original ajakápoló 4,8 g",True,1599.0,g,4.8,Ft/kg,333125.0,False,,borapolas-204,https://imageproxy.wolt.com/assets/697b53fd088b76a80bd49c86;https://imageproxy.wolt.com/assets/697b53fd088b76a80bd49c85,130.0,8.849557522123893,True,True,27083.333333333314,8.849557522123886
8000070053465,lavazza qualità oro őrölt pörkölt kávé kapszula 10 db 55 g,11acb75ef1f6e44b0a79abbb,Lavazza Qualità Oro őrölt pörkölt kávé kapszula 10 db 55 g,True,2414.0,g,55.0,Ft/kg,43890.90909090909,False,,kapszulas-kave-137,https://imageproxy.wolt.com/assets/689b9ef887a8f04a4a7db094,b2480c861687a7fbbe134709,Lavazza Qualità Oro őrölt pörkölt kávé kapszula 10 db 55 g,True,3199.0,g,55.0,Ft/kg,58163.63636363637,False,,kavekapszula-167,https://imageproxy.wolt.com/assets/689b9ef887a8f04a4a7db094,785.0,32.51864125932063,True,True,14272.72727272728,32.518641259320646
7613037931136,nescafé dolce gusto espresso kávékapszula 16db/ 16 csésze 88 g,5f3ebdc680686a119f162437,NESCAFÉ Dolce Gusto Espresso kávékapszula 16db/ 16 csésze 88 g,True,2519.0,g,88.0,Ft/kg,28625.0,False,,kapszulas-kave-137,https://imageproxy.wolt.com/assets/6a1a003fc0d38481fa689481;https://imageproxy.wolt.com/assets/6968de5b6a75fe7e17cf9f9c,24802c56ce1d13f07dc8fbc0,NESCAFÉ Dolce Gusto Espresso kávékapszula 16db/ 16 csésze 88 g,True,3449.0,g,88.0,Ft/kg,39193.18181818182,False,,kavekapszula-167,https://imageproxy.wolt.com/assets/6a1a003fc0d38481fa689481;https://imageproxy.wolt.com/assets/6968de5b6a75fe7e17cf9f9c,930.0,36.919412465263996,True,True,10568.181818181823,36.91941246526401
8712100867507,knorr cup a soup instant tyúkhúsleves tésztával 12 g,592769f8b84d3039322a3411,Knorr Cup a Soup instant tyúkhúsleves tésztával 12 g,True,314.0,g,12.0,Ft/kg,26166.666666666668,False,,levesek-tesztak-230,https://imageproxy.wolt.com/assets/69e1795a609eafedc63bc618,7b37ba1ea7a9563cd0b78830,Knorr Cup a Soup instant tyúkhúsleves tésztával 12 g,False,435.0,g,12.0,Ft/kg,36250.0,False,,instant-teszta-es-leves-117,https://imageproxy.wolt.com/assets/69e1795a609eafedc63bc618,121.0,38.53503184713376,True,True,10083.333333333332,38.53503184713375
7613032827014,"nescafé dolce gusto cortado espresso macchiato tejes kávékapszula 16 db 100,8 g",ad406d85c8d738840fe5a7c3,"NESCAFÉ Dolce Gusto Cortado Espresso Macchiato tejes kávékapszula 16 db 100,8 g",True,2519.0,g,100.8,Ft/kg,24990.079365079368,False,,kapszulas-kave-137,https://imageproxy.wolt.com/assets/6a1619d93ad065b846d8294b;https://imageproxy.wolt.com/assets/695fa3e417906cb1450ae9ca,3540f1d3e34ab552179f3e16,"NESCAFÉ Dolce Gusto Cortado Espresso Macchiato tejes kávékapszula 16 db 100,8 g",True,3449.0,g,100.8,Ft/kg,34216.269841269845,False,,kavekapszula-167,https://imageproxy.wolt.com/assets/6a1619d93ad065b846d8294b;https://imageproxy.wolt.com/assets/695fa3e417906cb1450ae9ca,930.0,36.919412465263996,True,True,9226.190476190477,36.919412465263996
9000100219877,fa men izzadásgátló roll-on sport 50 ml,090462530590c3910ebe1d72,Fa Men izzadásgátló roll-on Sport 50 ml,True,839.0,ml,50.0,Ft/l,16780.0,False,,golyos-stift-dezodor-291,https://imageproxy.wolt.com/assets/68d1458596bcfcad1bd5db70,72c08f23e868046dfb2afa53,Fa Men izzadásgátló roll-on Sport 50 ml,True,1299.0,ml,50.0,Ft/l,25980.0,False,,noi-kozmetikum-higienia-205,https://imageproxy.wolt.com/assets/68d1458596bcfcad1bd5db70,460.0,54.82717520858165,True,True,9200.0,54.82717520858165
8445290869531,nescafé dolce gusto ristretto barista kávékapszula 16 db/ 16 csésze 104 g,570ad78c42f8732830513ab1,NESCAFÉ Dolce Gusto Ristretto Barista kávékapszula 16 db/ 16 csésze 104 g,True,2519.0,g,104.0,Ft/kg,24221.153846153848,False,,kapszulas-kave-137,https://imageproxy.wolt.com/assets/69fe0aecc229ef417992bd6a;https://imageproxy.wolt.com/assets/69fe0aecc229ef417992bd6b,8450079d88290fe61a0eaac2,NESCAFÉ Dolce Gusto Ristretto Barista kávékapszula 16 db/ 16 csésze 104 g,True,3449.0,g,104.0,Ft/kg,33163.46153846154,False,,kavekapszula-167,https://imageproxy.wolt.com/assets/69fe0aecc229ef417992bd6a;https://imageproxy.wolt.com/assets/69fe0aecc229ef417992bd6b,930.0,36.919412465263996,True,True,8942.307692307691,36.91941246526399
8712100867569,knorr cup a soup instant gombakrémleves zsemlekockával 15 g,c084f37aeafd1712908a52e0,Knorr Cup a Soup instant gombakrémleves zsemlekockával 15 g,True,314.0,g,15.0,Ft/kg,20933.333333333332,False,,levesek-tesztak-230,https://imageproxy.wolt.com/assets/69e17960609eafedc63bc61b,b16a564fe676bd8e21c91a79,Knorr Cup a Soup instant gombakrémleves zsemlekockával 15 g,True,435.0,g,15.0,Ft/kg,29000.0,False,,instant-teszta-es-leves-117,https://imageproxy.wolt.com/assets/69e17960609eafedc63bc61b,121.0,38.53503184713376,True,True,8066.666666666668,38.535031847133766
