barcode_norm,name_norm,store_product_id_spar,product_name_spar,available_spar,unit_price_num_spar,unit_type_norm_spar,unit_step_num_spar,base_unit_spar,base_price_spar,is_discounted_spar,original_unit_price_spar,categories_spar,image_urls_spar,store_product_id_prima,product_name_prima,available_prima,unit_price_num_prima,unit_type_norm_prima,unit_step_num_prima,base_unit_prima,base_price_prima,is_discounted_prima,original_unit_price_prima,categories_prima,image_urls_prima,price_diff_prima_minus_spar,price_pct_prima_vs_spar,same_package_unit,same_base_unit,base_price_diff_prima_minus_spar,base_price_pct_prima_vs_spar
5998829902276,"chivas regal 12yo skót whisky 40% 0,7 l",1f7297392f815c990afdd4e2,"Chivas Regal 12YO skót whisky 40% 0,7 l",True,12544.0,ml,700.0,Ft/l,17920.0,False,,whiskey-241,https://imageproxy.wolt.com/assets/689b8f0df18c6aaa8030b1bc,cde5ad42f01bd367cb717376,"Chivas Regal 12YO skót whisky 40% 0,7 l",True,15549.0,ml,700.0,Ft/l,22212.85714285714,False,,whiskey-188,https://imageproxy.wolt.com/assets/689b8f0df18c6aaa8030b1bc,3005.0,23.955676020408163,True,True,4292.857142857141,23.955676020408152
5998829901743,jameson irish whiskey 40% 700 ml,e84ae88064f3e5e25e89cc18,Jameson Irish whiskey 40% 700 ml,True,10549.0,ml,700.0,Ft/l,15070.0,False,,whiskey-241,https://imageproxy.wolt.com/assets/689b8f09f18c6aaa8030b1af,bdb20ad96392696692317d86,Jameson Irish whiskey 40% 700 ml,True,13049.0,ml,700.0,Ft/l,18641.42857142857,False,,whiskey-188,https://imageproxy.wolt.com/assets/689b8f09f18c6aaa8030b1af,2500.0,23.69892880841786,True,True,3571.428571428569,23.698928808417843
5010327200132,"grant's kevert skót whisky 40% 0,7 l",1a85069ceaa0dcc1f6843596,"Grant's kevert skót whisky 40% 0,7 l",False,7745.0,ml,700.0,Ft/l,11064.285714285716,False,,whiskey-241,https://imageproxy.wolt.com/assets/689b779187a8f04a4a7d82b9,76383eabcf9f38509ed14f4f,"Grant's kevert skót whisky 40% 0,7 l",True,10049.0,ml,700.0,Ft/l,14355.714285714284,False,,whiskey-188,https://imageproxy.wolt.com/assets/689b779187a8f04a4a7d82b9,2304.0,29.74822466107166,True,True,3291.428571428569,29.74822466107163
5999139000478,"roku japán gin 43% 0,7 l",9346b027667ecad3bf1bb909,"Roku japán gin 43% 0,7 l",True,16849.0,ml,700.0,Ft/l,24070.0,False,,gin-244,https://imageproxy.wolt.com/assets/68dd1f92e4991e9d3ee0b03b,6262a17b057e3ae43d691841,"Roku japán gin 43% 0,7 l",True,19049.0,ml,700.0,Ft/l,27212.85714285714,False,,egyeb-szeszes-ital-192,https://imageproxy.wolt.com/assets/68dd1f92e4991e9d3ee0b03b,2200.0,13.057154727283518,True,True,3142.8571428571413,13.057154727283512
5998829901729,"beefeater gin 40% 0,7 l",ab15a5abcd09145e03fd6925,"Beefeater gin 40% 0,7 l",True,8764.0,ml,700.0,Ft/l,12520.0,False,,gin-244,https://imageproxy.wolt.com/assets/689b8f09f18c6aaa8030b1b0,68fc6afdf8147df2bb70ebbe,"Beefeater gin 40% 0,7 l",True,10949.0,ml,700.0,Ft/l,15641.42857142857,False,,egyeb-szeszes-ital-192,https://imageproxy.wolt.com/assets/689b8f09f18c6aaa8030b1b0,2185.0,24.931538110451847,True,True,3121.4285714285706,24.931538110451843
5997338170732,"eduscho family őrölt, pörkölt kávé, 1000 g",7d127c45122990bdf17cc9f6,"Eduscho Family őrölt, pörkölt kávé, 1000 g",True,6089.0,g,1000.0,Ft/kg,6089.0,False,,orolt-kave-136,https://imageproxy.wolt.com/assets/6926f31c6980ec1e3ff5d261;https://imageproxy.wolt.com/assets/6926f31c6980ec1e3ff5d260,edcfb0c5b0b264a90bdd4fce,"Eduscho Family őrölt, pörkölt kávé, 1000 g",True,7799.0,g,1000.0,Ft/kg,7799.0,False,,orolt-szemes-kave-165,https://imageproxy.wolt.com/assets/6926f31c6980ec1e3ff5d261;https://imageproxy.wolt.com/assets/6926f31c6980ec1e3ff5d260,1710.0,28.083429134504843,True,True,1710.0,28.083429134504843
5997100070062,douwe egberts omnia classic szemes pörkölt kávé 1000 g,7c5e15cf47964dd9b2eb02b4,Douwe Egberts Omnia Classic szemes pörkölt kávé 1000 g,True,10499.0,g,1000.0,Ft/kg,10499.0,False,,szemes-kave-138,https://imageproxy.wolt.com/assets/689b81009bbcfa1dc39bc200,65b785a03388f454770ee165,Douwe Egberts Omnia Classic szemes pörkölt kávé 1000 g,True,12199.0,g,1000.0,Ft/kg,12199.0,False,,orolt-szemes-kave-165,https://imageproxy.wolt.com/assets/689b81009bbcfa1dc39bc200,1700.0,16.192018287455948,True,True,1700.0,16.192018287455948
9000101599701,"tomi color mosógél, 55 mosás, 2475 ml",b181876b05d6ffddc7e0d8fc,"Tomi Color mosógél, 55 mosás, 2475 ml",True,4745.0,ml,2475.0,Ft/l,1917.171717171717,False,,mosogel-263,https://imageproxy.wolt.com/assets/6985df449b8bf67599530531,5028ab796ce1e83865696ca4,"Tomi Color mosógél, 55 mosás, 2475 ml",True,6399.0,ml,2475.0,Ft/l,2585.4545454545455,False,,mososzer-216,https://imageproxy.wolt.com/assets/6985df449b8bf67599530531,1654.0,34.85774499473129,True,True,668.2828282828284,34.857744994731306
5995757004331,bacardi spiced rum alapú szeszes ital 35% 700 ml,f7c3ad3fd08f465d4180355d,Bacardi Spiced rum alapú szeszes ital 35% 700 ml,True,9289.0,ml,700.0,Ft/l,13270.0,False,,rum-246,https://imageproxy.wolt.com/assets/6a2302f46daab3e35af0662e,bc33fe46df68c712c4e39056,Bacardi Spiced rum alapú szeszes ital 35% 700 ml,True,10749.0,ml,700.0,Ft/l,15355.714285714284,False,,egyeb-szeszes-ital-192,https://imageproxy.wolt.com/assets/6a2302f46daab3e35af0662e,1460.0,15.71751534072559,True,True,2085.7142857142844,15.71751534072558
7610113016190,"bacardi carta blanca rum 37,5% 700 ml",ca72f89770cedb13a2ed882c,"Bacardi Carta Blanca rum 37,5% 700 ml",True,9289.0,ml,700.0,Ft/l,13270.0,False,,rum-246,https://imageproxy.wolt.com/assets/6a2302f36daab3e35af0662d,c2f94ab7b2fa55d04874d83e,"Bacardi Carta Blanca rum 37,5% 700 ml",True,10749.0,ml,700.0,Ft/l,15355.714285714284,False,,egyeb-szeszes-ital-192,https://imageproxy.wolt.com/assets/6a2302f36daab3e35af0662d,1460.0,15.71751534072559,True,True,2085.7142857142844,15.71751534072558
