key,base_unit,Spar_product_name,Spar_barcode,Spar_unit_price,Spar_unit_step,Spar_unit_type,Spar_base_price,Spar_categories,Prima_product_name,Prima_barcode,Prima_unit_price,Prima_unit_step,Prima_unit_type,Prima_base_price,Prima_categories,Tesco_product_name,Tesco_barcode,Tesco_unit_price,Tesco_unit_step,Tesco_unit_type,Tesco_base_price,Tesco_categories,min_store,max_store,pct_spread
pöttyös óriás túró rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g),kg,Pöttyös Óriás Túró Rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g),5998200752285,1835.0,51.0,g,35980.392,tejszeletek-turo-rudi-95,Pöttyös Óriás Túró Rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g),5998200752285,1999.0,51.0,g,39196.078,turodesszert-60,Pöttyös Óriás Túró Rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g),05998200752285,1699.0,306.0,g,5552.288,Tejtermék-tojás|Tejdesszertek|Túródesszertek|Túródesszertek,Tesco,Prima,605.945
bonduelle ecetes csemegeuborka 5-8 cm 680 g,kg,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,3083680498012,1850.0,370.0,g,5000.0,savanyusag-222,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,3083680498012,1999.0,370.0,g,5402.703,savanyusag-100,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,03083680498012,1190.0,680.0,g,1750.0,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka,Tesco,Prima,208.726
bonduelle ecetes csemegeuborka 3-6 cm 550 g,kg,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,3083680579698,1850.0,300.0,g,6166.667,savanyusag-222,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,3083680579698,1999.0,300.0,g,6663.333,savanyusag-100,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,03083680579698,1190.0,550.0,g,2163.636,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka,Tesco,Prima,207.969
hajdú krémfehér sajt 185 g,kg,Hajdú krémfehér sajt 185 g,5998067318341,974.0,185.0,g,5264.865,lagy-sajtok-88,Hajdú krémfehér sajt 185 g,5998067318341,1149.0,185.0,g,6210.811,friss-sajt-66,Hajdú krémfehér sajt 185 g,05998067318341,391.0,185.0,g,2113.514,"Tejtermék-tojás|Sajtok és túró|Saláta, friss sajtok|Saláta, friss sajtok",Tesco,Prima,193.862
eva heringfilé paradicsommártásban 170 g,kg,Eva heringfilé paradicsommártásban 170 g,3850104042232,999.0,85.0,g,11752.941,halkonzerv-huskonzerv-melegszendvicskrem-212,Eva heringfilé paradicsommártásban 170 g,3850104042232,1099.0,85.0,g,12929.412,hal-konzerv-102,Eva heringfilé paradicsommártásban 170 g,03850104042232,789.0,170.0,g,4641.176,"Alapvető élelmiszerek|Konzervek, olívabogyók|Halkonzervek, haltermékek|Hering",Tesco,Prima,178.58
barilla fusilli apró durum száraztészta 1 kg,kg,Barilla Fusilli apró durum száraztészta 1 kg,8076800105988,1499.0,1000.0,g,1499.0,durum-teszta-155,Barilla Fusilli apró durum száraztészta 1 kg,8076800105988,2499.0,1000.0,g,2499.0,koret-teszta-82,Barilla Fusilli apró durum száraztészta 1 kg,08076800105988,949.0,1000.0,g,949.0,"Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek|Durumtészták|Durumtészták",Tesco,Prima,163.33
barilla spaghetti szálas durum száraztészta 1000 g,kg,Barilla Spaghetti szálas durum száraztészta 1000 g,8076800105056,1499.0,1000.0,g,1499.0,durum-teszta-155,Barilla Spaghetti szálas durum száraztészta 1000 g,8076800105056,2499.0,1000.0,g,2499.0,koret-teszta-82,Barilla Spaghetti szálas durum száraztészta 1000 g,08076800105056,949.0,1000.0,g,949.0,"Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek|Durumtészták|Durumtészták",Tesco,Prima,163.33
bonduelle szeletelt ecetes cékla 540 g,kg,Bonduelle szeletelt ecetes cékla 540 g,3083680719025,1185.0,300.0,g,3950.0,savanyusag-222,Bonduelle szeletelt ecetes cékla 540 g,3083680719025,1299.0,300.0,g,4330.0,savanyusag-100,Bonduelle szeletelt ecetes cékla 540 g,03083680719025,890.0,540.0,g,1648.148,Zöldség és gyümölcs|Zöldségek|Savanyúság|Egyéb savanyúság,Tesco,Prima,162.719
bonduelle zöldborsó 800 g,kg,Bonduelle zöldborsó 800 g,3083680004275,1419.0,530.0,g,2677.358,zoldsegkonzerv-210,Bonduelle zöldborsó 800 g,3083680004275,1499.0,530.0,g,2828.302,zoldseg-konzerv-99,Bonduelle zöldborsó 800 g,03083680004275,949.0,800.0,g,1186.25,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Borsó",Tesco,Prima,138.424
magyar tejföl 20%-os tejföl 140 g,kg,Magyar Tejföl 20%-os tejföl 140 g,5998200558276,199.0,140.0,g,1421.429,tejfol-103,Magyar Tejföl 20%-os tejföl 140 g,5998200558276,283.0,140.0,g,2021.429,tejfol-51,Magyar Tejföl 20%-os tejföl 140 g,05998200558276,469.0,140.0,g,3350.0,"Tejtermék-tojás|Tejföl, kefír, tejszín|Tejföl|20% - 25% zsírtartalmú tejföl",Spar,Tesco,135.678
