key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Prima_product_name,Spar_barcode,Prima_barcode,Spar_unit_price,Prima_unit_price,Spar_unit_type,Prima_unit_type,Spar_unit_step,Prima_unit_step,Spar_base_price,Prima_base_price,Spar_categories,Prima_categories
3014260022839|oral-b 3 effect medium manual toothbrush x2,db,670.0,106.518,Oral-B 3 Effect Medium Manual Toothbrush x2,Oral-B 3 Effect Medium Manual Toothbrush x2,3014260022839,3014260022839,629.0,1299.0,db,db,1.0,1.0,629.0,1299.0,fogkefe-298,szajapolas-203
"3014260214692|gillette series nyugtató hatású borotvazselé aloe verával, 200ml",l,7125.0,90.534,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml","Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",3014260214692,3014260214692,1574.0,2999.0,ml,ml,200.0,200.0,7870.0,14995.0,borotvahab-294,ferfi-kozmetikum-206
"3017760524797|dörmi tejes krémmel töltött puha piskóta, 30 g",kg,1666.667,29.586,"Dörmi tejes krémmel töltött puha piskóta, 30 g","Dörmi tejes krémmel töltött puha piskóta, 30 g",3017760524797,3017760524797,169.0,219.0,g,g,30.0,30.0,5633.333,7300.0,piskota-181,piskota-croissant-162
3017760524896|dörmi csokoládés krémmel töltött puha piskóta 30 g,kg,1666.667,29.586,Dörmi csokoládés krémmel töltött puha piskóta 30 g,Dörmi csokoládés krémmel töltött puha piskóta 30 g,3017760524896,3017760524896,169.0,219.0,g,g,30.0,30.0,5633.333,7300.0,piskota-181,piskota-croissant-162
3036810201280|maille dijon mustard 215 g,kg,581.395,9.812,Maille Dijon Mustard 215 g,Maille Dijon Mustard 215 g,3036810201280,3036810201280,1274.0,1399.0,g,g,215.0,215.0,5925.581,6506.977,ketchup-mustar-majonez-torma-224,mustar-110
3045200700005|sanytol eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,l,700.0,33.365,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,3045200700005,3045200700005,1049.0,1399.0,ml,ml,500.0,500.0,2098.0,2798.0,altalanos-tisztitoszer-273,tisztitoszer-223
3046920010047|lindt excellence extra keserű csokoládé 78% 100 g,kg,2650.0,9.351,Lindt Excellence extra keserű csokoládé 78% 100 g,Lindt Excellence extra keserű csokoládé 78% 100 g,3046920010047,3046920010047,2834.0,3099.0,g,g,100.0,100.0,28340.0,30990.0,csokolade-175,csokolade-158
3046920020640|lindt excellence extra étcsokoládé málnával 100 g,kg,1900.0,8.229,Lindt Excellence extra étcsokoládé málnával 100 g,Lindt Excellence extra étcsokoládé málnával 100 g,3046920020640,3046920020640,2309.0,2499.0,g,g,100.0,100.0,23090.0,24990.0,csokolade-175,csokolade-158
"3046920028370|lindt excellence intense orange étcsokoládé narancslével és mandulával, 100 g",kg,1900.0,8.229,"Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával, 100 g","Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával, 100 g",3046920028370,3046920028370,2309.0,2499.0,g,g,100.0,100.0,23090.0,24990.0,csokolade-175,csokolade-158
3046920029759|lindt excellence finom keserű csokoládé 90% 100 g,kg,2650.0,9.351,Lindt Excellence finom keserű csokoládé 90% 100 g,Lindt Excellence finom keserű csokoládé 90% 100 g,3046920029759,3046920029759,2834.0,3099.0,g,g,100.0,100.0,28340.0,30990.0,csokolade-175,csokolade-158
3073781179712|babybel mini original zsíros félkemény sajt viaszbevonatban 3 x 20 g (60 g),kg,750.0,6.215,Babybel Mini Original zsíros félkemény sajt viaszbevonatban 3 x 20 g (60 g),Babybel Mini Original zsíros félkemény sajt viaszbevonatban 3 x 20 g (60 g),3073781179712,3073781179712,724.0,769.0,g,g,60.0,60.0,12066.667,12816.667,kemeny-felkemeny-sajtok-87,felkemeny-sajt-64
