key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Tesco_product_name,Spar_barcode,Tesco_barcode,Spar_unit_price,Tesco_unit_price,Spar_unit_type,Tesco_unit_type,Spar_unit_step,Tesco_unit_step,Spar_base_price,Tesco_base_price,Spar_categories,Tesco_categories
11210000018|tabasco csípős chilipaprika szósz 60 ml,l,66.667,0.236,Tabasco csípős chilipaprika szósz 60 ml,Tabasco csípős chilipaprika szósz 60 ml,11210000018,00011210000018,1695.0,1699.0,ml,ml,60.0,60.0,28250.0,28316.667,szoszok-ontetek-6,Alapvető élelmiszerek|Nemzetközi konyha|Mexikói és amerikai konyha|Mexikói és amerikai konyha
11210009387|tabasco mérsékelten csípős jalapeno zöldpaprikás szósz 60 ml,l,66.667,0.236,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,11210009387,00011210009387,1695.0,1699.0,ml,ml,60.0,60.0,28250.0,28316.667,szoszok-ontetek-6,Alapvető élelmiszerek|Nemzetközi konyha|Mexikói és amerikai konyha|Mexikói és amerikai konyha
"1230000131780|nerds szőlős-epres cukorka 46,7 g",kg,-4068.522,-18.831,"Nerds szőlős-epres cukorka 46,7 g","Nerds szőlős-epres cukorka 46,7 g",1230000131780,01230000131780,1009.0,819.0,g,g,46.7,46.7,21605.996,17537.473,cukorkak-drazsek-182,"Alapvető élelmiszerek|Cukorkák, rágógumik és egyéb édességek|Cukorkák, rágógumik|Egyéb cukorkák"
3014260101503|oral-b – om026 123 ragyogó tisztaság fogkefe 40 közepes keménységű sörte – db,db,20.0,2.384,Oral-B – OM026 123 Ragyogó Tisztaság Fogkefe 40 Közepes Keménységű Sörte – db,Oral-B – OM026 123 Ragyogó Tisztaság Fogkefe 40 Közepes Keménységű Sörte – db,3014260101503,03014260101503,839.0,859.0,db,db,1.0,1.0,839.0,859.0,fogkefe-298,Drogéria|Szájápolás|Fogkefék|Fogkefék
"3014260214692|gillette series nyugtató hatású borotvazselé aloe verával, 200ml",l,-1375.0,-17.471,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml","Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",3014260214692,03014260214692,1574.0,1299.0,ml,ml,200.0,200.0,7870.0,6495.0,borotvahab-294,"Drogéria|Férfi borotválkozás|Borotvahabok, borotvazselék|Borotvahabok, borotvazselék"
3014260258313|gillette arctic ice borotválkozás utáni arcszesz 100 ml,l,-5400.0,-11.691,Gillette Arctic Ice Borotválkozás Utáni Arcszesz 100 ml,Gillette Arctic Ice Borotválkozás Utáni Arcszesz 100 ml,3014260258313,03014260258313,4619.0,4079.0,ml,ml,100.0,100.0,46190.0,40790.0,aftershave-296,Drogéria|Férfi borotválkozás|Borotválkozás utáni arcápolók|Borotválkozás utáni arcápolók
3017760524896|dörmi csokoládés krémmel töltött puha piskóta 30 g,kg,-333.333,-5.917,Dörmi csokoládés krémmel töltött puha piskóta 30 g,Dörmi csokoládés krémmel töltött puha piskóta 30 g,3017760524896,03017760524896,169.0,159.0,g,g,30.0,30.0,5633.333,5300.0,piskota-181,"Alapvető élelmiszerek|Kekszek, piskóták, nápolyik|Édes kekszek|Kekszek gyerekeknek"
3045200700005|sanytol eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,l,-200.0,-9.533,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,3045200700005,03045200700005,1049.0,949.0,ml,ml,500.0,500.0,2098.0,1898.0,altalanos-tisztitoszer-273,"Háztartás|Tisztítószerek, takarítóeszközök|Fertőtlenítés|Fertőtlenítés"
3045206312066|sanytol fertőtlenítő univerzális tisztítószer grapefruit illattal 500 ml,l,-200.0,-9.533,Sanytol fertőtlenítő univerzális tisztítószer grapefruit illattal 500 ml,Sanytol fertőtlenítő univerzális tisztítószer grapefruit illattal 500 ml,3045206312066,03045206312066,1049.0,949.0,ml,ml,500.0,500.0,2098.0,1898.0,altalanos-tisztitoszer-273,"Háztartás|Tisztítószerek, takarítóeszközök|Fertőtlenítés|Fertőtlenítés"
3046920010047|lindt excellence extra keserű csokoládé 78% 100 g,kg,650.0,2.294,Lindt Excellence extra keserű csokoládé 78% 100 g,Lindt Excellence extra keserű csokoládé 78% 100 g,3046920010047,03046920010047,2834.0,2899.0,g,g,100.0,100.0,28340.0,28990.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
3046920011013|lindt excellence extra finom tejcsokoládé 100 g,kg,-1100.0,-4.764,Lindt Excellence extra finom tejcsokoládé 100 g,Lindt Excellence extra finom tejcsokoládé 100 g,3046920011013,03046920011013,2309.0,2199.0,g,g,100.0,100.0,23090.0,21990.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
3046920020640|lindt excellence extra étcsokoládé málnával 100 g,kg,-1100.0,-4.764,Lindt Excellence extra étcsokoládé málnával 100 g,Lindt Excellence extra étcsokoládé málnával 100 g,3046920020640,03046920020640,2309.0,2199.0,g,g,100.0,100.0,23090.0,21990.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
3046920022125|lindt excellence étcsokoládé ropogós ostya darabokkal és karamell darabokkal 100 g,kg,-1100.0,-4.764,Lindt Excellence étcsokoládé ropogós ostya darabokkal és karamell darabokkal 100 g,Lindt Excellence étcsokoládé ropogós ostya darabokkal és karamell darabokkal 100 g,3046920022125,03046920022125,2309.0,2199.0,g,g,100.0,100.0,23090.0,21990.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
3046920024105|lindt excellence 70% extra étcsokoládé 100 g,kg,-1100.0,-4.764,Lindt Excellence 70% extra étcsokoládé 100 g,Lindt Excellence 70% extra étcsokoládé 100 g,3046920024105,03046920024105,2309.0,2199.0,g,g,100.0,100.0,23090.0,21990.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Táblás étcsokoládék|Prémium táblás étcsokoládék
3046920024112|lindt excellence 85% extra étcsokoládé 100 g,kg,650.0,2.294,Lindt Excellence 85% extra étcsokoládé 100 g,Lindt Excellence 85% extra étcsokoládé 100 g,3046920024112,03046920024112,2834.0,2899.0,g,g,100.0,100.0,28340.0,28990.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Táblás étcsokoládék|Prémium táblás étcsokoládék
3046920024136|lindt excellence étcsokoládé karamellizált pisztáciával és tengeri sóval 100 g,kg,-1100.0,-4.764,Lindt Excellence étcsokoládé karamellizált pisztáciával és tengeri sóval 100 g,Lindt Excellence étcsokoládé karamellizált pisztáciával és tengeri sóval 100 g,3046920024136,03046920024136,2309.0,2199.0,g,g,100.0,100.0,23090.0,21990.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
3046920029759|lindt excellence finom keserű csokoládé 90% 100 g,kg,650.0,2.294,Lindt Excellence finom keserű csokoládé 90% 100 g,Lindt Excellence finom keserű csokoládé 90% 100 g,3046920029759,03046920029759,2834.0,2899.0,g,g,100.0,100.0,28340.0,28990.0,csokolade-175,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
