key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Prima_product_name,Tesco_product_name,Prima_barcode,Tesco_barcode,Prima_unit_price,Tesco_unit_price,Prima_unit_type,Tesco_unit_type,Prima_unit_step,Tesco_unit_step,Prima_base_price,Tesco_base_price,Prima_categories,Tesco_categories
3014260022839,db,-1009.5,-77.714,Oral-B 3 Effect Medium Manual Toothbrush x2,"Oral-B 3 Effect Medium Manuális Fogkefe, 2 Db",3014260022839,03014260022839,1299.0,579.0,db,db,1.0,2.0,1299.0,289.5,szajapolas-203,Drogéria|Szájápolás|Fogkefék|Fogkefék
3014260101473,db,-116.0,-13.41,Oral-B – OM026 123 Ragyogó Tisztaság Fogkefe 40 Közepes Keménységű Sörte – db,Oral-B Allrounder Black Manuális Fogkefe 1,3014260101473,03014260101473,865.0,749.0,db,db,1.0,1.0,865.0,749.0,szajapolas-203,Drogéria|Szájápolás|Fogkefék|Fogkefék
3014260214692,l,-8500.0,-56.686,"Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml","Gillette Series Nyugtató Hatású Borotvazselé Aloe Verával, 200ml",3014260214692,03014260214692,2999.0,1299.0,ml,ml,200.0,200.0,14995.0,6495.0,ferfi-kozmetikum-206,"Drogéria|Férfi borotválkozás|Borotvahabok, borotvazselék|Borotvahabok, borotvazselék"
3017760524797,kg,-2000.0,-27.397,"Dörmi tejes krémmel töltött puha piskóta, 30 g",Dörmi tejes krémmel töltött puha piskóta 30 g,3017760524797,03017760524797,219.0,159.0,g,g,30.0,30.0,7300.0,5300.0,piskota-croissant-162,"Alapvető élelmiszerek|Kekszek, piskóták, nápolyik|Édes kekszek|Kekszek gyerekeknek"
3017760524896,kg,-2000.0,-27.397,Dörmi csokoládés krémmel töltött puha piskóta 30 g,Dörmi csokoládés krémmel töltött puha piskóta 30 g,3017760524896,03017760524896,219.0,159.0,g,g,30.0,30.0,7300.0,5300.0,piskota-croissant-162,"Alapvető élelmiszerek|Kekszek, piskóták, nápolyik|Édes kekszek|Kekszek gyerekeknek"
3036810201280,kg,-930.233,-14.296,Maille Dijon Mustard 215 g,Maille dijoni mustár 215 g,3036810201280,03036810201280,1399.0,1199.0,g,g,215.0,215.0,6506.977,5576.744,mustar-110,"Alapvető élelmiszerek|Szószok, mártások, poralapok|Ketchup, mustár, torma, majonéz|Mustár"
3045200700005,l,-900.0,-32.166,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,Sanytol Eukaliptusz univerzális tisztítószer fertőtlenítő 500 ml,3045200700005,03045200700005,1399.0,949.0,ml,ml,500.0,500.0,2798.0,1898.0,tisztitoszer-223,"Háztartás|Tisztítószerek, takarítóeszközök|Fertőtlenítés|Fertőtlenítés"
3046920010047,kg,-2000.0,-6.454,Lindt Excellence extra keserű csokoládé 78% 100 g,Lindt Excellence extra keserű csokoládé 78% 100 g,3046920010047,03046920010047,3099.0,2899.0,g,g,100.0,100.0,30990.0,28990.0,csokolade-158,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
3046920020640,kg,-3000.0,-12.005,Lindt Excellence extra étcsokoládé málnával 100 g,Lindt Excellence extra étcsokoládé málnával 100 g,3046920020640,03046920020640,2499.0,2199.0,g,g,100.0,100.0,24990.0,21990.0,csokolade-158,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
3046920028370,kg,-3000.0,-12.005,"Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával, 100 g",Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával 100 g,3046920028370,03046920028370,2499.0,2199.0,g,g,100.0,100.0,24990.0,21990.0,csokolade-158,Alapvető élelmiszerek|Csokoládék|Táblás étcsokoládék|Prémium táblás étcsokoládék
3046920029759,kg,-2000.0,-6.454,Lindt Excellence finom keserű csokoládé 90% 100 g,Lindt Excellence finom keserű csokoládé 90% 100 g,3046920029759,03046920029759,3099.0,2899.0,g,g,100.0,100.0,30990.0,28990.0,csokolade-158,Alapvető élelmiszerek|Csokoládék|Táblás tejcsokoládék|Prémium táblás tejcsokoládék
3083680002875,kg,0.0,0.0,Bonduelle morzsolt csemegekukorica 340 g,Bonduelle morzsolt csemegekukorica 340 g,3083680002875,03083680002875,799.0,799.0,g,g,340.0,340.0,2350.0,2350.0,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083680004244,kg,-290.0,-13.257,Bonduelle zöldborsó 400 g,Bonduelle zöldborsó 400 g,3083680004244,03083680004244,875.0,759.0,g,g,400.0,400.0,2187.5,1897.5,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Borsó"
3083680004275,kg,-1642.052,-58.058,Bonduelle zöldborsó 800 g,Bonduelle zöldborsó 800 g,3083680004275,03083680004275,1499.0,949.0,g,g,530.0,800.0,2828.302,1186.25,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Borsó"
3083680009508,kg,-300.0,-13.058,Bonduelle vörösbab 400 g,Bonduelle vörösbab 400 g,3083680009508,03083680009508,919.0,799.0,g,g,400.0,400.0,2297.5,1997.5,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083680026154,kg,-1539.387,-46.621,Bonduelle bébirépa 400 g,Bonduelle bébirépa 400 g,3083680026154,03083680026154,875.0,705.0,g,g,265.0,400.0,3301.887,1762.5,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Egyéb zöldségek"
3083680053303,kg,-294.118,-10.01,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,3083680053303,03083680053303,999.0,899.0,g,g,340.0,340.0,2938.235,2644.118,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083680090742,kg,-3320.581,-66.478,Bonduelle Bon Menu Chili Red Bean in Hot Mexican Sauce 430 g,Bonduelle Bon Menu Chili vörösbab csípős mexikói mártásban 430 g,3083680090742,03083680090742,999.0,720.0,g,g,200.0,430.0,4995.0,1674.419,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083680483407,kg,-648.837,-27.928,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,3083680483407,03083680483407,999.0,720.0,g,g,430.0,430.0,2323.256,1674.419,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083680495882,kg,-3320.581,-66.478,Bonduelle Bon Menu Mexicana Red Bean with Corn in Mild Mexican Sauce 430 g,"Bonduelle Bon Menu Mexicana vörösbab kukoricával, enyhe mexikói mártásban 430 g",3083680495882,03083680495882,999.0,720.0,g,g,200.0,430.0,4995.0,1674.419,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083680498012,kg,-3652.703,-67.609,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,3083680498012,03083680498012,1999.0,1190.0,g,g,370.0,680.0,5402.703,1750.0,savanyusag-100,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka
3083680538404,kg,-1998.077,-45.174,Bonduelle zöldborsó 200 g,Bonduelle zöldborsó 200 g,3083680538404,03083680538404,575.0,485.0,g,g,130.0,200.0,4423.077,2425.0,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Borsó"
3083680579698,kg,-4499.697,-67.529,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,3083680579698,03083680579698,1999.0,1190.0,g,g,300.0,550.0,6663.333,2163.636,savanyusag-100,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka
3083680599900,kg,-250.0,-12.506,Bonduelle gyorsfagyasztott zöldborsó 1000 g,Bonduelle gyorsfagyasztott zöldborsó 1000 g,3083680599900,03083680599900,1999.0,1749.0,g,g,1000.0,1000.0,1999.0,1749.0,fagyasztott-zoldseg-136,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3083680613491,kg,-760.0,-33.058,Bonduelle Royal gyorsfagyasztott zöldségkeverék 1000 g,Bonduelle Royal gyorsfagyasztott zöldségkeverék 1000 g,3083680613491,03083680613491,2299.0,1539.0,g,g,1000.0,1000.0,2299.0,1539.0,fagyasztott-zoldseg-136,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3083680719025,kg,-2681.852,-61.937,Bonduelle szeletelt ecetes cékla 540 g,Bonduelle szeletelt ecetes cékla 540 g,3083680719025,03083680719025,1299.0,890.0,g,g,300.0,540.0,4330.0,1648.148,savanyusag-100,Zöldség és gyümölcs|Zöldségek|Savanyúság|Egyéb savanyúság
3083680973038,kg,-1247.143,-21.852,Bonduelle Gold bio morzsolt csemegekukorica 150 g,Bonduelle Gold bio morzsolt csemegekukorica 150 g,3083680973038,03083680973038,799.0,669.0,g,g,140.0,150.0,5707.143,4460.0,bio-es-novenyi-elelmiszer-35,"Speciális|BIO|Sütés, főzés|Sütés, főzés"
3083681003963,kg,-996.774,-30.931,Bonduelle gőzben párolt lencse 310 g,Bonduelle gőzben párolt lencse 310 g,3083681003963,03083681003963,999.0,690.0,g,g,310.0,310.0,3222.581,2225.806,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Egyéb zöldségek"
3083681010251,kg,-4430.462,-57.981,Bonduelle Prémium mini egész csiperkegomba 280 g,Bonduelle Prémium mini egész csiperkegomba 280 g,3083681010251,03083681010251,1299.0,899.0,g,g,170.0,280.0,7641.176,3210.714,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Gomba"
3083681024258,kg,-1388.845,-49.509,Bonduelle Gold szuperédes morzsolt kukorica 670 g,Bonduelle Gold szuperédes morzsolt kukorica 670 g,3083681024258,03083681024258,1599.0,949.0,g,g,570.0,670.0,2805.263,1416.418,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083681031157,kg,-648.837,-27.928,Bonduelle Bon Menu Barbeque vörösbab barbeque mártásban 430 g,Bonduelle Bon Menu Barbeque vörösbab barbeque mártásban 430 g,3083681031157,03083681031157,999.0,720.0,g,g,430.0,430.0,2323.256,1674.419,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083681031171,kg,-648.837,-27.928,Bonduelle Bon Menu Curry fehérbab currymártásban 430 g,Bonduelle Bon Menu Curry fehérbab currymártásban 430 g,3083681031171,03083681031171,999.0,720.0,g,g,430.0,430.0,2323.256,1674.419,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083681036770,kg,-325.0,-11.829,Bonduelle Vapeur gyorsfagyasztott brokkoli rózsák 400 g,Bonduelle Vapeur gyorsfagyasztott brokkoli rózsák 400 g,3083681036770,03083681036770,1099.0,969.0,g,g,400.0,400.0,2747.5,2422.5,fagyasztott-zoldseg-136,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3083681036800,kg,-375.0,-13.055,Bonduelle Vapeur gyorsfagyasztott zöldborsó 400 g,Bonduelle Vapeur gyorsfagyasztott zöldborsó 400 g,3083681036800,03083681036800,1149.0,999.0,g,g,400.0,400.0,2872.5,2497.5,fagyasztott-zoldseg-136,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3083681036831,kg,-325.0,-11.829,Bonduelle Vapeur gyorsfagyasztott zsenge vágott vajbab 400 g,Bonduelle Vapeur gyorsfagyasztott zsenge vágott vajbab 400 g,3083681036831,03083681036831,1099.0,969.0,g,g,400.0,400.0,2747.5,2422.5,fagyasztott-zoldseg-136,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3083681043716,kg,-996.774,-30.931,Bonduelle gőzben párolt vörösbab 310 g,Bonduelle gőzben párolt vörösbab 310 g,3083681043716,03083681043716,999.0,690.0,g,g,310.0,310.0,3222.581,2225.806,zoldseg-konzerv-99,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
