key,stores_present,base_unit,min_store,max_store,min_base_price,max_base_price,diff,pct_diff,names_by_store,barcodes_by_store,unit_prices_by_store,unit_steps_by_store,categories_by_store
zewa softis original illatmentes papír zsebkendő 4 rétegű 10 x 9 db,Spar;Tesco,db,Tesco,Spar,7.989,76.5,68.511,857.58,Spar=Zewa Softis Original illatmentes papír zsebkendő 4 rétegű 10 x 9 db; Tesco=Zewa Softis Original illatmentes papír zsebkendő 4 rétegű 10 x 9 db,Spar=7322541110776; Tesco=07322541110776,Spar=765.0; Tesco=719.0,Spar=10.0 db; Tesco=90.0 db,Spar=papirzsebkendo-269; Tesco=Háztartás|Háztartási papír|Papír zsebkendő|4 rétegű
thai chef instant tészta krémes garnélarák ízben 360 g,Prima;Tesco,kg,Tesco,Prima,625.0,4916.667,4291.667,686.667,Prima=Thai Chef instant tészta krémes garnélarák ízben 360 g; Tesco=Thai Chef instant tészta krémes garnélarák ízben 360 g,Prima=8852523206153; Tesco=08852523206153,Prima=295.0; Tesco=225.0,Prima=60.0 g; Tesco=360.0 g,"Prima=instant-teszta-es-leves-117; Tesco=Alapvető élelmiszerek|Nemzetközi konyha|Távol keleti konyha|Indiai, vietnámi és thai konyha"
pöttyös óriás túró rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g),Prima;Spar;Tesco,kg,Tesco,Prima,5552.288,39196.078,33643.791,605.945,Prima=Pöttyös Óriás Túró Rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g); Spar=Pöttyös Óriás Túró Rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g); Tesco=Pöttyös Óriás Túró Rudi natúr túródesszert kakaós étbevonóval 6 x 51 g (306 g),Prima=5998200752285; Spar=5998200752285; Tesco=05998200752285,Prima=1999.0; Spar=1835.0; Tesco=1699.0,Prima=51.0 g; Spar=51.0 g; Tesco=306.0 g,Prima=turodesszert-60; Spar=tejszeletek-turo-rudi-95; Tesco=Tejtermék-tojás|Tejdesszertek|Túródesszertek|Túródesszertek
knorr olaszos paradicsomleves 51 g,Spar;Tesco,kg,Tesco,Spar,9607.843,45933.333,36325.49,378.082,Spar=Knorr olaszos paradicsomleves 51 g; Tesco=Knorr olaszos paradicsomleves 51 g,Spar=8720182955999; Tesco=08720182955999,Spar=689.0; Tesco=490.0,Spar=15.0 g; Tesco=51.0 g,"Spar=levesek-tesztak-230; Tesco=Alapvető élelmiszerek|Instant ételalapok, levesporok|Instant levesporok|Instant krém- és zöldséglevesporok"
"kaija tonhal zöldség ágyon, mexikói módra 185 g",Spar;Tesco,kg,Tesco,Spar,8102.703,34869.565,26766.863,330.345,"Spar=Kaija tonhal zöldség ágyon, mexikói módra 185 g; Tesco=Kaija tonhal zöldség ágyon, mexikói módra 185 g",Spar=4751007733144; Tesco=04751007733144,Spar=1604.0; Tesco=1499.0,Spar=46.0 g; Tesco=185.0 g,"Spar=hal-127; Tesco=Alapvető élelmiszerek|Konzervek, olívabogyók|Halkonzervek, haltermékek|Tonhal"
roshen wafers kakaós krémmel töltött kakaós ostya 216 g,Prima;Tesco,kg,Tesco,Prima,3699.074,11490.0,7790.926,210.618,Prima=Roshen Wafers kakaós krémmel töltött kakaós ostya 216 g; Tesco=Roshen Wafers kakaós krémmel töltött kakaós ostya 216 g,Prima=4823077641312; Tesco=04823077641312,Prima=1149.0; Tesco=799.0,Prima=100.0 g; Tesco=216.0 g,"Prima=ostya-napolyi-161; Tesco=Alapvető élelmiszerek|Kekszek, piskóták, nápolyik|Ostyák, nápolyik|Ostyák, nápolyik"
bonduelle ecetes csemegeuborka 5-8 cm 680 g,Prima;Spar;Tesco,kg,Tesco,Prima,1750.0,5402.703,3652.703,208.726,Prima=Bonduelle ecetes csemegeuborka 5-8 cm 680 g; Spar=Bonduelle ecetes csemegeuborka 5-8 cm 680 g; Tesco=Bonduelle ecetes csemegeuborka 5-8 cm 680 g,Prima=3083680498012; Spar=3083680498012; Tesco=03083680498012,Prima=1999.0; Spar=1850.0; Tesco=1190.0,Prima=370.0 g; Spar=370.0 g; Tesco=680.0 g,Prima=savanyusag-100; Spar=savanyusag-222; Tesco=Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka
bonduelle ecetes csemegeuborka 3-6 cm 550 g,Prima;Spar;Tesco,kg,Tesco,Prima,2163.636,6663.333,4499.697,207.969,Prima=Bonduelle ecetes csemegeuborka 3-6 cm 550 g; Spar=Bonduelle ecetes csemegeuborka 3-6 cm 550 g; Tesco=Bonduelle ecetes csemegeuborka 3-6 cm 550 g,Prima=3083680579698; Spar=3083680579698; Tesco=03083680579698,Prima=1999.0; Spar=1850.0; Tesco=1190.0,Prima=300.0 g; Spar=300.0 g; Tesco=550.0 g,Prima=savanyusag-100; Spar=savanyusag-222; Tesco=Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka
hajdú krémfehér sajt 185 g,Prima;Spar;Tesco,kg,Tesco,Prima,2113.514,6210.811,4097.297,193.862,Prima=Hajdú krémfehér sajt 185 g; Spar=Hajdú krémfehér sajt 185 g; Tesco=Hajdú krémfehér sajt 185 g,Prima=5998067318341; Spar=5998067318341; Tesco=05998067318341,Prima=1149.0; Spar=974.0; Tesco=391.0,Prima=185.0 g; Spar=185.0 g; Tesco=185.0 g,"Prima=friss-sajt-66; Spar=lagy-sajtok-88; Tesco=Tejtermék-tojás|Sajtok és túró|Saláta, friss sajtok|Saláta, friss sajtok"
eva heringfilé paradicsommártásban 170 g,Prima;Spar;Tesco,kg,Tesco,Prima,4641.176,12929.412,8288.235,178.58,Prima=Eva heringfilé paradicsommártásban 170 g; Spar=Eva heringfilé paradicsommártásban 170 g; Tesco=Eva heringfilé paradicsommártásban 170 g,Prima=3850104042232; Spar=3850104042232; Tesco=03850104042232,Prima=1099.0; Spar=999.0; Tesco=789.0,Prima=85.0 g; Spar=85.0 g; Tesco=170.0 g,"Prima=hal-konzerv-102; Spar=halkonzerv-huskonzerv-melegszendvicskrem-212; Tesco=Alapvető élelmiszerek|Konzervek, olívabogyók|Halkonzervek, haltermékek|Hering"
