==== SHEET 1 (CSV 2400..2424) ====
 1 | Auchan | Master good grillkolbász csirkehúsból, medvehagymalevéllel és szárított zöldségekkel 370g | 370.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
 2 | Auchan | Master good grillkolbász csirkehúsból, sajtos 370g | 370.0 g | brand:Master Good | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
 3 | Auchan | Wiesbauer grillmix 360 g | 360.0 g | brand:Wiesbauer | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
 4 | Auchan | PICK Fresh Corner magyaros hot-dog kolbász 300 g | 300.0 g | brand:PICK | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
 5 | Auchan | PICK Fresh Corner sajtos hot-dog kolbász 300 g | 300.0 g | brand:PICK | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
 6 | Auchan | Wiesbauer party mini mix 300 g | 300.0 g | brand:Wiesbauer | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
 7 | Auchan | Pick Hot-Dog grillkolbász mozzarella-paradicsom 300g | 300.0 g | brand:PICK | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
 8 | Auchan | Kaiser grillkolbász mix 380 g | 380.0 g | brand:Kaiser | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
 9 | Auchan | Hegedűs füstölt kenyérszalonna 600g (darabolt) | 600.0 g | brand:Hegedűs | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
10 | Auchan | Sarudi Füstölt csemegeszalonna 600 g | 600.0 g | brand:Sarudi | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
11 | Auchan | Füstölt csemege szalonna 600 g | 600.0 g | brand:Hegedűs | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
12 | Auchan | Gierlinger frankfurti virsli 800 g | 800.0 g | brand:Gierlinger | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
13 | Auchan | Hegedűs sós mangalica szalonna 600g (darabolt) | 600.0 g | brand:Hegedűs | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
14 | Auchan | Kométa útravaló lecsókolbász | 1000.0 g | brand:KOMETA | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
15 | Auchan | Füstölt főtt császárszalonna 600 g | 600.0 g | brand:Sarudi | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
16 | Auchan | Sertés-marha csevapcsicsa 500g | 500.0 g | brand:Hízóföld | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
17 | Auchan | Auchan Prémium Grillkolbász MIX XXL 750g | 750.0 g | brand:Auchan | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
18 | Auchan | Füstölt Kolozsvári szalonna 600 g | 600.0 g | brand:Sarudi | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász
19 | Auchan | Privát Hús darabolt füstölt főtt császár szalonna | 1000.0 g | brand:Privát Hús | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász|Friss élelmiszer > Hús, felvágott, hal > Csomagolt felvágottak > Szalonna
20 | Auchan | Privát Hús füstölt bordázott kolozsvári szalonna | 1000.0 g | brand:Privát Hús | bolt: Grillezés mesterei > Grill világ > Grill élelmiszer termékek > Grillkolbász|Friss élelmiszer > Hús, felvágott, hal > Csomagolt felvágottak > Szalonna
