store_name,store_product_id,product_name,brand_name,unit_price,unit_type,unit_step,vegso_mennyiseg,vegso_egyseg,ledig,categories,local_image_paths,fo_kategoria,alkategoria,altipus,tulajdonsagok,besorolas_alapja,besorolva
Aldi,535243,"PRIMANA Sólet marhahússal, 400 g",,785.0,g,400.0,400.0,g,,"Alapvető élelmiszerek > Konzervek, savanyúságok > Konzerv Készételek",data/markets_data/product_images/aldi/2b03cb1f8c7b4132.jpg,Készétel,Konzerv készételek,,,bolti_kategoriaut,2026-06-13
Aldi,1054535,"CUCINA Olasz készételek, Spaghetti Bolognese, 350 g",,1039.0,g,350.0,350.0,g,,Alapvető élelmiszerek > Készételek > Kényelmi ételek,data/markets_data/product_images/aldi/0c2deb77ee9d3f12.jpg,Készétel,,,,bolti_kategoriaut,2026-06-13
Aldi,1054536,"CUCINA Olasz készételek, Spaghetti Carbonara, 350 g",,1039.0,g,350.0,350.0,g,,Alapvető élelmiszerek > Készételek > Kényelmi ételek,data/markets_data/product_images/aldi/f714f6d332ceff0e.jpg,Készétel,,,,bolti_kategoriaut,2026-06-13
Aldi,535329,"PRIMANA Mexikói bab egytálétel, 800 g",,1169.0,g,800.0,800.0,g,,"Alapvető élelmiszerek > Konzervek, savanyúságok > Konzerv Készételek",data/markets_data/product_images/aldi/c707658d3323ef43.jpg,Készétel,Konzerv készételek,,,bolti_kategoriaut,2026-06-13
Aldi,961227,"PRIMANA Tésztaétel bolognai lasagne, 400 g",,1469.0,g,400.0,400.0,g,,Alapvető élelmiszerek > Készételek > Kényelmi ételek,data/markets_data/product_images/aldi/c96fac3b220cd0bf.jpg,Készétel,Konzerv készételek,,,bolti_kategoriaut,2026-06-13
Aldi,1056299,"PRIMANA Tésztaétel zöldséges lasagne, 400 g",,1469.0,g,400.0,400.0,g,,Alapvető élelmiszerek > Készételek > Kényelmi ételek,data/markets_data/product_images/aldi/305944545b47de6d.jpg,Készétel,Konzerv készételek,,,bolti_kategoriaut,2026-06-13
Aldi,1056300,"PRIMANA Tésztaétel négysajtos cannelloni, 400 g",,1469.0,g,400.0,400.0,g,,Alapvető élelmiszerek > Készételek > Kényelmi ételek,data/markets_data/product_images/aldi/f9846ab2d95ee6e9.jpg,Készétel,Konzerv készételek,,,bolti_kategoriaut,2026-06-13
Aldi,4599622,"CUCINA Lasagne parajos-ricottás, 400 g",,1879.0,g,400.0,400.0,g,,Alapvető élelmiszerek > Készételek > Kényelmi ételek,data/markets_data/product_images/aldi/54c94454a354f3af.jpg,Készétel,,,,bolti_kategoriaut,2026-06-13
Aldi,4599623,"CUCINA Lasagne bolognai, 400 g",,1879.0,g,400.0,400.0,g,,Alapvető élelmiszerek > Készételek > Kényelmi ételek,data/markets_data/product_images/aldi/3f43f416151d56e3.jpg,Készétel,,,,bolti_kategoriaut,2026-06-13
Aldi,891079,"ASIA GREEN GARDEN Gyoza ázsiai töltött tészta csirkés, 150 g",,2229.0,g,150.0,150.0,g,,Alapvető élelmiszerek > Készételek > Kényelmi ételek,data/markets_data/product_images/aldi/6c7a14e9fd71c023.jpg,Készétel,,,,bolti_kategoriaut,2026-06-13
