store_name,store_product_id,product_name,unit_step,unit_type,tipus,javasolt_mennyiseg,javasolt_egyseg,bizonyossag,indok,local_image_paths
Aldi,997216,"LE GUSTO Ketchup hozzáadott cukor nélkül, 615 g",650.0,g,nev_elteres,615.0,g,review,"nev szerint 615 g, API szerint 650.0 g (elteres 5%)",data/markets_data/product_images/aldi/a7a4d1e35691754d.jpg
Aldi,566752,"TEEKANNE Teaválogatás Winter Time, 20 x 2,5 g",70.0,g,nev_elteres,50.0,g,review,"nev szerint 50 g, API szerint 70.0 g (elteres 29%)",data/markets_data/product_images/aldi/bdc060325439a980.jpg
Aldi,828557,"TEEKANNE Teaválogatás Zen Chai, 20 x 1,75 g",70.0,g,nev_elteres,35.0,g,review,"nev szerint 35 g, API szerint 70.0 g (elteres 50%)",data/markets_data/product_images/aldi/3f48b0cbfae6948f.jpg
Aldi,891126,"TEEKANNE Teaválogatás Italian Lemon, 20 x 2 g",70.0,g,nev_elteres,40.0,g,review,"nev szerint 40 g, API szerint 70.0 g (elteres 43%)",data/markets_data/product_images/aldi/06e67f685c0a18e9.jpg
Aldi,926142,"TEEKANNE Teaválogatás Caribbean Mango, 20 x 2.25 g",70.0,g,nev_elteres,45.0,g,review,"nev szerint 45 g, API szerint 70.0 g (elteres 36%)",data/markets_data/product_images/aldi/4e17284ab3e1910f.jpg
Aldi,926143,"TEEKANNE Teaválogatás Rooibos Vanilla, 20 x 1.75 g",70.0,g,nev_elteres,35.0,g,review,"nev szerint 35 g, API szerint 70.0 g (elteres 50%)",data/markets_data/product_images/aldi/85ba168d7d7fbecc.jpg
Aldi,958535,"KING'S CROWN Vörösbab, 400 g / 255 g",400.0,g,nev_elteres,255.0,g,review,"nev szerint 255 g, API szerint 400.0 g (elteres 36%)",data/markets_data/product_images/aldi/6316f0bf77b17c3c.jpg
Aldi,933522,"KNORR Alappor gyros, 40 g",53.0,g,nev_elteres,40.0,g,review,"nev szerint 40 g, API szerint 53.0 g (elteres 25%)",data/markets_data/product_images/aldi/69edf25d7939fc04.jpg
Aldi,1006778,"KNORR Alappor mexicói chilis bab, 50 g",53.0,g,nev_elteres,50.0,g,review,"nev szerint 50 g, API szerint 53.0 g (elteres 6%)",data/markets_data/product_images/aldi/7f2c2cf2d87b46a4.jpg
Aldi,4600068,"LE GUSTO Instant leves, bazsalikomos paradicsomleves, 4 x 18 g",66.0,g,nev_elteres,72.0,g,review,"nev szerint 72 g, API szerint 66.0 g (elteres 8%)",data/markets_data/product_images/aldi/7699f116da92794a.jpg
Aldi,4600228,"LE GUSTO Instant leves, erőleves, 4 x 14 g",66.0,g,nev_elteres,56.0,g,review,"nev szerint 56 g, API szerint 66.0 g (elteres 15%)",data/markets_data/product_images/aldi/ffaacdf5739f9214.jpg
Aldi,952003,"GOURMET FINEST CUISINE Pesto paradicsom, 190 g",311.0,g,nev_elteres,190.0,g,review,"nev szerint 190 g, API szerint 311.0 g (elteres 39%)",data/markets_data/product_images/aldi/95568ba6fabf191a.jpg
Aldi,952004,"GOURMET FINEST CUISINE Pesto ricotta és dió, 190 g",311.0,g,nev_elteres,190.0,g,review,"nev szerint 190 g, API szerint 311.0 g (elteres 39%)",data/markets_data/product_images/aldi/1d399e92b5d80b36.jpg
Aldi,771681,"LYTTOS Töltött olívabogyó mandulával töltve, 350 g / 200 g",350.0,g,nev_elteres,200.0,g,review,"nev szerint 200 g, API szerint 350.0 g (elteres 43%)",data/markets_data/product_images/aldi/0a04a87b1f422b07.jpg
