store_name,product_name,api_step,api_unit,jellemzo,jellemzo_unit,nev_parse,kategoria,kozelebb_nevhez
Metro,Vilsund Blue füstölt kagyló növényi olajban 200 g,120,g,200,g,200g,lecsopogtetett_konzerv,jellemzo
Metro,Gyorsfagyasztott Marha Hátszín Steak 220-240 g/szelet 920 g/doboz,880,g,920,g,920g,egyeb,jellemzo
Metro,Gyorsfagyasztott Marha Bélszín Steak 180-200 g/szelet 760 g,720,g,760,g,760g,egyeb,jellemzo
Metro,Gyorsfagyasztott Marha Rostélyos Steak 220-240 g/db 920 g,880,g,920,g,920g,egyeb,jellemzo
Metro,"METRO Chef Garnélarák 1,7 - 2 kg",1700,g,2000,g,2000g,egyeb,jellemzo
Metro,Seacon Norvég Homár 8-12 700-1000 g,700,g,1000,g,1000g,egyeb,jellemzo
Metro,METRO Chef Egész Gyorsfagyasztott Tarisznyarák 600–800 g,800,g,600,g,800g,egyeb,api
Metro,Seacon Gyorsfagyasztott PND Tisztított Garnélafarok 16-20 Glazing 20 % 1 kg,1000,g,800,g,1000g,egyeb,api
Metro,Seacon Black Tiger HOSO 21/30 Garnéla 20% Glazing 1 kg,1000,g,800,g,1000g,egyeb,api
Metro,Seacon Gyorsfagyasztott Garnélafarok Héjas 20% Glazing 16/20 1 kg,1000,g,800,g,1000g,egyeb,api
Metro,Gyorsfagyasztott Tisztított Nyers Garnélafarok 41/50 20% Glazing 1 kg,800,g,1000,g,1000g,egyeb,jellemzo
Metro,Seacon Koktélrák 100 / 200 20 % Glazúr 1 kg,1000,g,800,g,1000g,glazur_hal,api
Metro,Seacon 10 x 80 g Garnélanyárs 20% Glazing 800 g,800,g,1000,g,800g,egyeb,api
Metro,Seacon Gyorsfagyasztott Óriás Garnélarák 16/20 20% GL 1 kg,800,g,1000,g,1000g,glazur_hal,jellemzo
Metro,Seacon Black Tiger Garnéla 16-20 HOSO 20% Glazing 1 kg,1000,g,800,g,1000g,egyeb,api
Metro,Seacon Tintahal U5 Glazúr 30 % 1 kg,1000,g,700,g,1000g,glazur_hal,api
Metro,"METRO Chef Gyorsfagyasztott, Előfőzött Tenger Gyümölcsei 1,8 kg",1800,g,2000,g,1800g,egyeb,api
Metro,Abraline Tenger Gyümölcsei 1 kg,900,g,1000,g,1000g,egyeb,jellemzo
