index,name,slug,id,parent_slug,depth,subcategories
2,Jó áras termékek,jo-aras-termekek-2,a569f055bed5df707fe5cd8a,,0,27
3,"CBA PIROS - Alkoholmentes ital",cba-piros-alkoholmentes-ital-3,4246bcba9abc23d72e6a1d9d,jo-aras-termekek-2,1,0
4,"CBA PIROS - Állateledel",cba-piros-allateledel-4,54685817603e33abae34b644,jo-aras-termekek-2,1,0
5,"CBA PIROS - Baba",cba-piros-baba-5,9a95f0a3ee2411dca8fdfcb6,jo-aras-termekek-2,1,0
6,"CBA PIROS - Édesség",cba-piros-edesseg-6,ebb218607f62380db7c694bb,jo-aras-termekek-2,1,0
7,"CBA PIROS - Ételízesítés",cba-piros-etelizesites-7,13d74ae71ce30fceb87ea4f7,jo-aras-termekek-2,1,0
8,"CBA PIROS - Fagyasztott élelmiszer",cba-piros-fagyasztott-elelmiszer-8,e9849963e911ef63f6557981,jo-aras-termekek-2,1,0
9,"CBA PIROS - Háztartás",cba-piros-haztartas-9,b5c6d3576289f8d2ca1f6cf9,jo-aras-termekek-2,1,0
10,"CBA PIROS - Húskészítmény",cba-piros-huskeszitmeny-10,2d2c4121eba6125c93419f30,jo-aras-termekek-2,1,0
11,"CBA PIROS - Instant",cba-piros-instant-11,a068fdc29ccec8748ebf6f28,jo-aras-termekek-2,1,0
12,"CBA PIROS - Kávé, tea, kakaó",cba-piros-kave-tea-kakao-12,d14a2f9ccc889e1ce5a42eb7,jo-aras-termekek-2,1,0
13,"CBA PIROS - Konzerv, savanyú",cba-piros-konzerv-savanyu-13,7300bb47db9cdae5d1bc24d0,jo-aras-termekek-2,1,0
14,"CBA PIROS - Kozmetika",cba-piros-kozmetika-14,964176a98f13a50648b5242d,jo-aras-termekek-2,1,0
15,"CBA PIROS - Lekvár, méz, krém",cba-piros-lekvar-mez-krem-15,9a0a3987a00d31f04db7db01,jo-aras-termekek-2,1,0
16,"CBA PIROS - Mosogatószer",cba-piros-mosogatoszer-16,5ad7426709d638eff5aec85f,jo-aras-termekek-2,1,0
18,"CBA PIROS - Müzli, gabonapehely",cba-piros-muzli-gabonapehely-18,bace98fbc4687b89fe88b70c,jo-aras-termekek-2,1,0
19,"CBA PIROS - Pékáru",cba-piros-pekaru-19,693cced92c37aa27650e7eac,jo-aras-termekek-2,1,0
20,"CBA PIROS - Sajt",cba-piros-sajt-20,33e386ceea403b1e8f4d8418,jo-aras-termekek-2,1,0
21,"CBA PIROS - Sós rágcsálnivaló",cba-piros-sos-ragcsalnivalo-21,a2e83bec823e300b8805f64f,jo-aras-termekek-2,1,0
22,"CBA PIROS - Sütés-főzés",cba-piros-sutes-fozes-22,da3a7dc1a03593615b0f8302,jo-aras-termekek-2,1,0
23,"CBA PIROS - Szósz, mártás, öntet",cba-piros-szosz-martas-ontet-23,725748eadfcd755045682a06,jo-aras-termekek-2,1,0
24,"CBA PIROS - Takarítás",cba-piros-takaritas-24,c02b0a9ec0a57cbb6ffb4380,jo-aras-termekek-2,1,0
25,"CBA PIROS - Tej, tejital",cba-piros-tej-tejital-25,5f88c1e53d0840086ee54d36,jo-aras-termekek-2,1,0
26,"CBA PIROS - Tejdesszert",cba-piros-tejdesszert-26,3a42f1549865112cf0407dcb,jo-aras-termekek-2,1,0
