index,name,path,facet_code,facet,parent_path,depth,product_count
13,Alapvető élelmiszerek,Alapvető élelmiszerek,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVr,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVr,,0,3040
411,Baba,Baba,QmFiYQ==,b;QmFiYQ==,,0,435
426,Drogéria,Drogéria,RHJvZyVDMyVBOXJpYQ==,b;RHJvZyVDMyVBOXJpYQ==,,0,2366
197,Háztartás,Háztartás,SCVDMyVBMXp0YXJ0JUMzJUExcw==,b;SCVDMyVBMXp0YXJ0JUMzJUExcw==,,0,1320
7,Húsáru,Húsáru,SCVDMyVCQXMlQzMlQTFydQ==,b;SCVDMyVCQXMlQzMlQTFydQ==,,0,625
43,Italok,Italok,SXRhbG9r,b;SXRhbG9r,,0,2424
266,Kisállat,Kisállat,S2lzJUMzJUExbGxhdA==,b;S2lzJUMzJUExbGxhdA==,,0,586
257,Most ajánlott!,Most ajánlott!,TW9zdCUyMGFqJUMzJUExbmxvdHQlMjE=,b;TW9zdCUyMGFqJUMzJUExbmxvdHQlMjE=,,0,164
61,Mélyhűtött,Mélyhűtött,TSVDMyVBOWx5aCVDNSVCMXQlQzMlQjZ0dA==,b;TSVDMyVBOWx5aCVDNSVCMXQlQzMlQjZ0dA==,,0,590
495,Otthon-hobbi,Otthon-hobbi,T3R0aG9uLWhvYmJp,b;T3R0aG9uLWhvYmJp,,0,3818
53,Pékáru,Pékáru,UCVDMyVBOWslQzMlQTFydQ==,b;UCVDMyVBOWslQzMlQTFydQ==,,0,294
107,Speciális,Speciális,U3BlY2klQzMlQTFsaXM=,b;U3BlY2klQzMlQTFsaXM=,,0,986
17,Tejtermék-tojás,Tejtermék-tojás,VGVqdGVybSVDMyVBOWstdG9qJUMzJUExcw==,b;VGVqdGVybSVDMyVBOWstdG9qJUMzJUExcw==,,0,826
1,Zöldség és gyümölcs,Zöldség és gyümölcs,WiVDMyVCNmxkcyVDMyVBOWclMjAlQzMlQTlzJTIwZ3klQzMlQkNtJUMzJUI2bGNz,b;WiVDMyVCNmxkcyVDMyVBOWclMjAlQzMlQTlzJTIwZ3klQzMlQkNtJUMzJUI2bGNz,,0,456
1714,Újdonságok,Újdonságok,JUMzJTlBamRvbnMlQzMlQTFnb2s=,b;JUMzJTlBamRvbnMlQzMlQTFnb2s=,,0,7
973,Ajándékkosarak,Alapvető élelmiszerek|Ajándékkosarak,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDQWolQzMlQTFuZCVDMyVBOWtrb3NhcmFr,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDQWolQzMlQTFuZCVDMyVBOWtrb3NhcmFr,Alapvető élelmiszerek,1,5
903,Csokoládék,Alapvető élelmiszerek|Csokoládék,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDQ3Nva29sJUMzJUExZCVDMyVBOWs=,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDQ3Nva29sJUMzJUExZCVDMyVBOWs=,Alapvető élelmiszerek,1,310
917,"Cukorkák, rágógumik és egyéb édességek","Alapvető élelmiszerek|Cukorkák, rágógumik és egyéb édességek",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDQ3Vrb3JrJUMzJUExaywlMjByJUMzJUExZyVDMyVCM2d1bWlrJTIwJUMzJUE5cyUyMGVneSVDMyVBOWIlMjAlQzMlQTlkZXNzJUMzJUE5Z2Vr,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDQ3Vrb3JrJUMzJUExaywlMjByJUMzJUExZyVDMyVCM2d1bWlrJTIwJUMzJUE5cyUyMGVneSVDMyVBOWIlMjAlQzMlQTlkZXNzJUMzJUE5Z2Vr,Alapvető élelmiszerek,1,178
342,"Gabona- és kukoricapelyhek, müzli","Alapvető élelmiszerek|Gabona- és kukoricapelyhek, müzli",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDR2Fib25hLSUyMCVDMyVBOXMlMjBrdWtvcmljYXBlbHloZWssJTIwbSVDMyVCQ3psaQ==,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDR2Fib25hLSUyMCVDMyVBOXMlMjBrdWtvcmljYXBlbHloZWssJTIwbSVDMyVCQ3psaQ==,Alapvető élelmiszerek,1,190
240,"Instant ételalapok, levesporok","Alapvető élelmiszerek|Instant ételalapok, levesporok",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDSW5zdGFudCUyMCVDMyVBOXRlbGFsYXBvaywlMjBsZXZlc3Bvcm9r,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDSW5zdGFudCUyMCVDMyVBOXRlbGFsYXBvaywlMjBsZXZlc3Bvcm9r,Alapvető élelmiszerek,1,173
891,"Kekszek, piskóták, nápolyik","Alapvető élelmiszerek|Kekszek, piskóták, nápolyik",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDS2Vrc3playwlMjBwaXNrJUMzJUIzdCVDMyVBMWssJTIwbiVDMyVBMXBvbHlpaw==,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDS2Vrc3playwlMjBwaXNrJUMzJUIzdCVDMyVBMWssJTIwbiVDMyVBMXBvbHlpaw==,Alapvető élelmiszerek,1,187
85,"Konzervek, olívabogyók","Alapvető élelmiszerek|Konzervek, olívabogyók",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDS29uemVydmVrLCUyMG9sJUMzJUFEdmFib2d5JUMzJUIzaw==,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDS29uemVydmVrLCUyMG9sJUMzJUFEdmFib2d5JUMzJUIzaw==,Alapvető élelmiszerek,1,296
485,Készételek,Alapvető élelmiszerek|Készételek,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDSyVDMyVBOXN6JUMzJUE5dGVsZWs=,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDSyVDMyVBOXN6JUMzJUE5dGVsZWs=,Alapvető élelmiszerek,1,167
222,"Lekvár, méz és mogyorókrém","Alapvető élelmiszerek|Lekvár, méz és mogyorókrém",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDTGVrdiVDMyVBMXIsJTIwbSVDMyVBOXolMjAlQzMlQTlzJTIwbW9neW9yJUMzJUIza3IlQzMlQTlt,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDTGVrdiVDMyVBMXIsJTIwbSVDMyVBOXolMjAlQzMlQTlzJTIwbW9neW9yJUMzJUIza3IlQzMlQTlt,Alapvető élelmiszerek,1,69
35,Liszt,Alapvető élelmiszerek|Liszt,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDTGlzenQ=,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDTGlzenQ=,Alapvető élelmiszerek,1,27
365,Nemzetközi konyha,Alapvető élelmiszerek|Nemzetközi konyha,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDTmVtemV0ayVDMyVCNnppJTIwa29ueWhh,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDTmVtemV0ayVDMyVCNnppJTIwa29ueWhh,Alapvető élelmiszerek,1,142
73,"Olaj, ecet","Alapvető élelmiszerek|Olaj, ecet",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDT2xhaiwlMjBlY2V0,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDT2xhaiwlMjBlY2V0,Alapvető élelmiszerek,1,49
104,"Rizs, tészta, hüvelyesek, egyéb köretek","Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDUml6cywlMjB0JUMzJUE5c3p0YSwlMjBoJUMzJUJDdmVseWVzZWssJTIwZWd5JUMzJUE5YiUyMGslQzMlQjZyZXRlaw==,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDUml6cywlMjB0JUMzJUE5c3p0YSwlMjBoJUMzJUJDdmVseWVzZWssJTIwZWd5JUMzJUE5YiUyMGslQzMlQjZyZXRlaw==,Alapvető élelmiszerek,1,184
894,"Rágcsálnivalók, chips","Alapvető élelmiszerek|Rágcsálnivalók, chips",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDUiVDMyVBMWdjcyVDMyVBMWxuaXZhbCVDMyVCM2ssJTIwY2hpcHM=,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDUiVDMyVBMWdjcyVDMyVBMWxuaXZhbCVDMyVCM2ssJTIwY2hpcHM=,Alapvető élelmiszerek,1,319
204,"Szószok, mártások, poralapok","Alapvető élelmiszerek|Szószok, mártások, poralapok",QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDU3olQzMlQjNzem9rLCUyMG0lQzMlQTFydCVDMyVBMXNvaywlMjBwb3JhbGFwb2s=,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDU3olQzMlQjNzem9rLCUyMG0lQzMlQTFydCVDMyVBMXNvaywlMjBwb3JhbGFwb2s=,Alapvető élelmiszerek,1,222
14,Só és Cukor,Alapvető élelmiszerek|Só és Cukor,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDUyVDMyVCMyUyMCVDMyVBOXMlMjBDdWtvcg==,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDUyVDMyVCMyUyMCVDMyVBOXMlMjBDdWtvcg==,Alapvető élelmiszerek,1,25
77,Sütés-főzés hozzávalók,Alapvető élelmiszerek|Sütés-főzés hozzávalók,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDUyVDMyVCQ3QlQzMlQTlzLWYlQzUlOTF6JUMzJUE5cyUyMGhvenolQzMlQTF2YWwlQzMlQjNr,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDUyVDMyVCQ3QlQzMlQTlzLWYlQzUlOTF6JUMzJUE5cyUyMGhvenolQzMlQTF2YWwlQzMlQjNr,Alapvető élelmiszerek,1,206
278,Tesco Finest termékek,Alapvető élelmiszerek|Tesco Finest termékek,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDVGVzY28lMjBGaW5lc3QlMjB0ZXJtJUMzJUE5a2Vr,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDVGVzY28lMjBGaW5lc3QlMjB0ZXJtJUMzJUE5a2Vr,Alapvető élelmiszerek,1,37
146,Ételízesítés,Alapvető élelmiszerek|Ételízesítés,QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDJUMzJTg5dGVsJUMzJUFEemVzJUMzJUFEdCVDMyVBOXM=,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDJUMzJTg5dGVsJUMzJUFEemVzJUMzJUFEdCVDMyVBOXM=,Alapvető élelmiszerek,1,254
