aisleName,averageWeight,baseProductId,brandName,catchWeightList,defaultImageUrl,departmentName,description,details.__typename,details.additives,details.alcoholInfo,details.alcoholInfo.__typename,details.alcoholInfo.alcoholType,details.alcoholInfo.country,details.alcoholInfo.grapeVariety,details.alcoholInfo.percentageAlcohol,details.alcoholInfo.regionOfOrigin,details.alcoholInfo.regionalInformation,details.alcoholInfo.tasteCategory,details.alcoholInfo.wineColour,details.allergenInfo,details.components,details.directions,details.dosage,details.drainedWeight,details.features,details.healthClaims,details.ingredients,details.lowerAgeLimit,details.netContents,details.nutritionalClaims,details.originInformation,details.otherInformation,details.packSize,details.recyclingInfo,displayType,gtin,icons,id,isForSale,isNew,media.defaultImage.url,multiPackDetails,price.__typename,price.actual,price.unitOfMeasure,price.unitPrice,productType,promotions,restrictions,seller,sellers.__typename,sellers.results,sellers.totalCount,shelfId,shelfName,status,superDepartmentName,title,tpnb,tpnc
Aszalt gyümölcs,0.04,2005100630116,TESCO STANDARD,,https://digitalcontent.api.tesco.com/v2/media/ghs/40dc9e66-4052-4a54-b6c7-4cd56795f97b/f44046a5-547a-45a7-8624-5779aeb68d67_1490939323.jpeg?h=225&w=225,"Aszalványok, magvak és keverékek",[],ProductDetailsType,,,,,,,,,,,,"[{""name"": ""Other Allergen Info"", ""values"": [""A termék földimogyorót, csonthéjasokat, szezámot és kén-dioxidot tartalmazhat.""], ""__typename"": ""AllergenInfoItemType""}]","[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,,,[],,30g,,[],,"[{""value"": ""0.03"", ""units"": ""kg"", ""__typename"": ""PackSizeType""}]",,Quantity,08592459010294,"[{""id"": ""Green Dot"", ""caption"": ""Green Dot"", ""__typename"": ""IconsInfoType""}]",2005100630116,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/40dc9e66-4052-4a54-b6c7-4cd56795f97b/f44046a5-547a-45a7-8624-5779aeb68d67_1490939323.jpeg,,PriceType,1399,kg,46633.33,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2005100630116"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 1399, ""unitPrice"": 46633.33, ""unitOfMeasure"": ""kg""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;WiVDMyVCNmxkcyVDMyVBOWcuJTIwZ3klQzMlQkNtJUMzJUI2bGNzJTdDQXN6YWx2JUMzJUExbnlvaywlMjBtYWd2YWslMjAlQzMlQTlzJTIwa2V2ZXIlQzMlQTlrZWslN0NBc3phbHQlMjBneSVDMyVCQ20lQzMlQjZsY3MlN0NFZ3klQzMlQTliJTIwYXN6YWx0JTIwZ3klQzMlQkNtJUMzJUI2bGNz,Egyéb aszalt gyümölcs,AvailableForSale,Zöldség. gyümölcs,IBK Trade fagyasztva szárított szeletelt eper 30 g,2005100630116,2005100630116
Bébiital,0.35,2004121250176,Univer,,https://digitalcontent.api.tesco.com/v2/media/ghs/e13d5c77-cead-426a-af90-25965b29b367/c9958dc3-b8a7-4feb-9542-73cfc654fc29.jpeg?h=225&w=225,Bébiital,[],ProductDetailsType,,,,,,,,,,,,,"[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,,,"[""Víz"", ""Sárgarépa* 30%"", ""Almavelő* 20%"", ""Citromlé sűrítmény*"", ""Antioxidáns (aszkorbinsav)"", ""*Ellenőrzött ökológiai gazdálkodásból""]",4 Hó,200ml,"[""0% cukor hozzáadott"", ""Csak természetes módon előforduló cukrokat tartalmaz""]",[],"[""A Disney jóváhagyásával."", ""EU Organikus - Biokontroll HU-ÖKO-01, EU-/nem EU-mezőgazdaság""]","[{""value"": ""0.2"", ""units"": ""l"", ""__typename"": ""PackSizeType""}]",,Quantity,05997010314454,"[{""id"": ""Nem újrahasználható kötelezően visszaváltási díjas termék"", ""caption"": ""Nem újrahasználható kötelezően visszaváltási díjas termék"", ""__typename"": ""IconsInfoType""}, {""id"": ""EU Organikus"", ""caption"": ""EU Organikus"", ""__typename"": ""IconsInfoType""}]",2004121250176,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/e13d5c77-cead-426a-af90-25965b29b367/c9958dc3-b8a7-4feb-9542-73cfc654fc29.jpeg,,PriceType,579,l,2895,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004121250176"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 579, ""unitPrice"": 2895, ""unitOfMeasure"": ""l""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;QmFiYSU3Q0IlQzMlQTliaWl0YWwlN0NCJUMzJUE5YmlpdGFsJTdDQmFiYSUyMGd5JUMzJUJDbSVDMyVCNmxjc2l0YWw=,Baba gyümölcsital,AvailableForSale,Baba,Univer Disney Baby bio sárgarépa-alma bébiital 4 hónapos kortól 200 ml,2004121250176,2004121250176
Száraz fehérborok,1.23,2004121235454,Hilltop ,,https://digitalcontent.api.tesco.com/v2/media/ghs/037e5dea-84a6-492c-a762-55fed296241a/0422aba8-fd9c-4c4e-be91-a07a3eb20343_547858686.jpeg?h=225&w=225,Hazai fehérborok,"[""Neszmélyi védett eredetű száraz fehérbor""]",ProductDetailsType,,,AlcoholInfoItemType,Bor,Magyarország,Chardonnay,13.5,,"[""Neszmély""]",,Fehér,"[{""name"": ""Other Allergen Info"", ""values"": [""Kén-dioxidot tartalmaz""], ""__typename"": ""AllergenInfoItemType""}]","[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,"[""Érezd+"", ""100 ml = E 382 kJ/78 kcal"", ""Magyar termék""]",,[],,75cl ℮,,[],"[""Védőgázas csomagolásban palackozva"", ""NEBIH: LKPK""]","[{""value"": ""0.75"", ""units"": ""l"", ""__typename"": ""PackSizeType""}]",,Quantity,05998031152025,"[{""id"": ""Nem újrahasználható kötelezően visszaváltási díjas termék"", ""caption"": ""Nem újrahasználható kötelezően visszaváltási díjas termék"", ""__typename"": ""IconsInfoType""}]",2004121235454,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/037e5dea-84a6-492c-a762-55fed296241a/0422aba8-fd9c-4c4e-be91-a07a3eb20343_547858686.jpeg,,PriceType,2629,l,3505.33,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004121235454"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 2629, ""unitPrice"": 3505.33, ""unitOfMeasure"": ""l""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;SXRhbG9rJTdDSGF6YWklMjBmZWglQzMlQTlyYm9yb2slN0NTeiVDMyVBMXJheiUyMGZlaCVDMyVBOXJib3JvayU3Q0ZlbHMlQzUlOTEtUGFubm9u,Felső-Pannon,AvailableForSale,Italok,"Hilltop Kamocsay Prémium Neszmélyi Chardonnay száraz fehérbor 13,5% 75 cl",2004121235454,2004121235454
Specialitások,0.135,2004020220014,Kastélyosdombói Sajtműhely,,https://digitalcontent.api.tesco.com/v2/media/ghs/39970b81-73c0-4c23-b90d-be74baf9ed69/db20653d-ac27-4e9e-8f9b-51635c0772ee_1360783281.jpeg?h=225&w=225,Sajtok és túró,"[""Fokhagymás krémsajt. Zsíros, friss krémsajt fokhagymás fűszerkéregben""]",ProductDetailsType,,,,,,,,,,,,"[{""name"": ""Other Allergen Info"", ""values"": [""Allergén anyagok: lásd az összetevők között vastag betűvel kiemelve.""], ""__typename"": ""AllergenInfoItemType""}]","[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,"[""Szociális gazdaságból"", ""Magyar termék""]",,"[""Zsírtartalom a sajt szárazanyagában legalább 45% (m/m)"", ""Krémsajt 99"", ""0% (hőkezelt <strong>tej</strong>"", ""étkezési só"", ""oltóenzim"", ""tejsavbaktérium-kultúra)"", ""Fűszerkéreg 1"", ""0% (fokhagymás fűszerkeverék)""]",,0.125kg,,[],,"[{""value"": ""0.125"", ""units"": ""kg"", ""__typename"": ""PackSizeType""}]",,Quantity,05999887703133,[],2004020220014,False,False,https://digitalcontent.api.tesco.com/v2/media/ghs/39970b81-73c0-4c23-b90d-be74baf9ed69/db20653d-ac27-4e9e-8f9b-51635c0772ee_1360783281.jpeg,,PriceType,1249,kg,9992,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004020220014"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 1249, ""unitPrice"": 9992, ""unitOfMeasure"": ""kg""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""TemporaryUnavailable"", ""unavailabilityReasons"": null, ""isForSale"": false}]",1,b;VGVqdGVybSVDMyVBOWtlaywlMjB0b2olQzMlQTFzJTdDU2FqdG9rJTIwJUMzJUE5cyUyMHQlQzMlQkFyJUMzJUIzJTdDU3BlY2lhbGl0JUMzJUExc29rJTdDU3BlY2lhbGl0JUMzJUExc29r,Specialitások,TemporaryUnavailable,"Tejtermékek, tojás",Kastélyosdombói Sajtműhely fokhagymás krémsajt fűszerkéregben 125 g,2004020220014,2004020220014
Gyerek italok,0.22,2004010393556,Rauch,,https://digitalcontent.api.tesco.com/v2/media/ghs/7dbea191-2f41-4107-a9b0-7e0c8827e775/f6d1ec38-d696-4027-92dc-a2f257bd23d7_258890956.jpeg?h=225&w=225,Gyümölcs és zöldséglevek,"[""100% almalé almalésűrítményből.""]",ProductDetailsType,,,,,,,,,,,,,"[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,,,[],,0.2l ℮,,[],,"[{""value"": ""0.2"", ""units"": ""l"", ""__typename"": ""PackSizeType""}]",,Quantity,09008700112505,"[{""id"": ""FSC"", ""caption"": ""FSC"", ""__typename"": ""IconsInfoType""}, {""id"": ""Tetra Pak"", ""caption"": ""Tetra Pak"", ""__typename"": ""IconsInfoType""}]",2004010393556,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/7dbea191-2f41-4107-a9b0-7e0c8827e775/f6d1ec38-d696-4027-92dc-a2f257bd23d7_258890956.jpeg,,PriceType,299,l,1495,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004010393556"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 299, ""unitPrice"": 1495, ""unitOfMeasure"": ""l""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;SXRhbG9rJTdDR3klQzMlQkNtJUMzJUI2bGNzJTIwJUMzJUE5cyUyMHolQzMlQjZsZHMlQzMlQTlnbGV2ZWslN0NHeWVyZWslMjBpdGFsb2slN0NHeWVyZWslMjBpdGFsb2s=,Gyerek italok,AvailableForSale,Italok,"Rauch Happy Day 100% almalé 0,2 l",2004010393556,2004010393556
Táblás tejcsokoládék,0.313,2004020174854,Lindt,,https://digitalcontent.api.tesco.com/v2/media/ghs/f10980b1-73e4-4c8a-b275-5b980f96fa3a/9623e966-9840-4514-b605-29314cbf3177_18860871.jpeg?h=225&w=225,Csokoládék,[],ProductDetailsType,,,,,,,,,,,,"[{""name"": ""Other Allergen Info"", ""values"": [""Nyomokban mogyorót, mandulát és egyéb dióféléket tartalmazhat.""], ""__typename"": ""AllergenInfoItemType""}]","[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,,,"[""Cukor"", ""Kakaóvaj"", ""Teljes <strong>tejpor</strong>"", ""Kakaómassza"", ""<strong>Laktóz</strong>"", ""Sovány <strong>tejpor</strong>"", ""Emulgeálószer (<strong>szójalecitin</strong>)"", ""<strong>Árpamaláta</strong>-kivonat"", ""Aroma"", ""A tejcsokoládéban a kakaó-szárazanyag legalább 31%. A tejcsokoládéban a tejszárazanyag legalább 20%""]",,300g ℮,,[],,"[{""value"": ""0.3"", ""units"": ""kg"", ""__typename"": ""PackSizeType""}]",,Quantity,07610400094702,"[{""id"": ""Green Dot"", ""caption"": ""Green Dot"", ""__typename"": ""IconsInfoType""}]",2004020174854,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/f10980b1-73e4-4c8a-b275-5b980f96fa3a/9623e966-9840-4514-b605-29314cbf3177_18860871.jpeg,,PriceType,5890,kg,19633.33,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004020174854"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 5890, ""unitPrice"": 19633.33, ""unitOfMeasure"": ""kg""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDQ3Nva29sJUMzJUExZCVDMyVBOWslN0NUJUMzJUExYmwlQzMlQTFzJTIwdGVqY3Nva29sJUMzJUExZCVDMyVBOWslN0NQciVDMyVBOW1pdW0lMjB0JUMzJUExYmwlQzMlQTFzJTIwdGVqY3Nva29sJUMzJUExZCVDMyVBOWs=,Prémium táblás tejcsokoládék,AvailableForSale,Alapvető élelmiszerek,Lindt tejcsokoládé 300 g,2004020174854,2004020174854
Ecet,1.056,2004120601846,TESCO STANDARD,,https://digitalcontent.api.tesco.com/v2/media/ghs/e801061e-85ab-4d3f-b7c2-e65055e43cfc/86ff748c-1786-4196-96c1-cce98620bbe4_1572967896.jpeg?h=225&w=225,"Olaj, ecet","[""Ételecet.""]",ProductDetailsType,,,,,,,,,,,,,"[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,"[""Ideális ételek tartósítására""]",,"[""Ivóvíz"", ""Ételecet"", ""Ecetsavtartalom: 20 g/100 ml.""]",,1l ℮,,"[{""title"": ""Produce of"", ""value"": ""Származási ország: Lengyelország"", ""__typename"": ""OriginInformationType""}]",,"[{""value"": ""1"", ""units"": ""l"", ""__typename"": ""PackSizeType""}]",Palack. Újrahasznosítható,Quantity,05051007095778,[],2004120601846,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/e801061e-85ab-4d3f-b7c2-e65055e43cfc/86ff748c-1786-4196-96c1-cce98620bbe4_1572967896.jpeg,,PriceType,499,l,499,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004120601846"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 499, ""unitPrice"": 499, ""unitOfMeasure"": ""l""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDT2xhaiwlMjBlY2V0JTdDRWNldCU3Q0VjZXQ=,Ecet,AvailableForSale,Alapvető élelmiszerek,Tesco ételecet 20% 1 l,2004120601846,2004120601846
"Rántott zöldségek, rántott sajt",0.48,2004020292135,Natural Meat,,https://digitalcontent.api.tesco.com/v2/media/ghs/5a9bd756-aa16-455f-82ab-fc6c3c3453b0/94ea8d7c-b918-4100-a603-13182ecb2b09_1759845256.jpeg?h=225&w=225,Fagyasztott készételek és gombócok,"[""Rántott trappista sajt chili paprikával. Gyorsfagyasztott, elősütött, panírozott, formázott""]",ProductDetailsType,,,,,,,,,,,,"[{""name"": ""Other Allergen Info"", ""values"": [""Allergén információ: A termék glutént és tejet tartalmaz. Nyomokban szóját és tojást tartalmazhat.""], ""__typename"": ""AllergenInfoItemType""}]","[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,,,"[""42% trappista <strong>sajt</strong> (pasztőrözött <strong>tej</strong>"", ""sajtkultúra"", ""étkezési só"", ""szilárdító anyag: kalcium-klorid)"", ""Panírmorzsa (<strong>búzaliszt</strong>"", ""étkezési só"", ""élesztő"", ""kurkuma"", ""színezék: paprikakivonat)"", ""Ivóvíz"", ""Napraforgó-étolaj"", ""Panírpor (<strong>búzaliszt</strong>"", ""kukoricakeményítő"", ""étkezési só); chili paprika készítmény [dextróz"", ""chili paprika őrlemény (10%)"", ""fűszerkivonatok]"", ""Chili paprika őrlemény (10%)"", ""0"", ""5% szárított paprika dara""]",,450g,,"[{""title"": ""Produce of"", ""value"": ""Származási ország: Magyarország. Az elsődleges összetevő - trappista sajt eredetének helye: EU"", ""__typename"": ""OriginInformationType""}]",,"[{""value"": ""0.45"", ""units"": ""kg"", ""__typename"": ""PackSizeType""}]",,Quantity,05999564520107,"[{""id"": ""Green Dot"", ""caption"": ""Green Dot"", ""__typename"": ""IconsInfoType""}]",2004020292135,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/5a9bd756-aa16-455f-82ab-fc6c3c3453b0/94ea8d7c-b918-4100-a603-13182ecb2b09_1759845256.jpeg,,PriceType,1559,kg,3464.44,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004020292135"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 1559, ""unitPrice"": 3464.44, ""unitOfMeasure"": ""kg""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;RmFneWFzenRvdHQlMjAlQzMlQTFydWslN0NGYWd5YXN6dG90dCUyMGslQzMlQTlzeiVDMyVBOXRlbGVrJTIwJUMzJUE5cyUyMGdvbWIlQzMlQjNjb2slN0NSJUMzJUExbnRvdHQlMjB6JUMzJUI2bGRzJUMzJUE5Z2VrLCUyMHIlQzMlQTFudG90dCUyMHNhanQlN0NSJUMzJUExbnRvdHQlMjB6JUMzJUI2bGRzJUMzJUE5Z2VrLCUyMHIlQzMlQTFudG90dCUyMHNhanQ=,"Rántott zöldségek, rántott sajt",AvailableForSale,Fagyasztott áruk,Natural Meat gyorsfagyasztott rántott trappista sajt chili paprikával 450 g,2004020292135,2004020292135
"Sütés, főzés",0.255,2004020318971,Acapulco,,https://digitalcontent.api.tesco.com/v2/media/ghs/3f53b4c7-3819-4400-8999-73e0496ff805/5e530a7f-9b68-43eb-8e69-b31564fa5c82_1673943628.jpeg?h=225&w=225,BIO,[],ProductDetailsType,,,,,,,,,,,,"[{""name"": ""Tartalmaz"", ""values"": [""Búza""], ""__typename"": ""AllergenInfoItemType""}]","[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,,,"[""<strong>Búzaliszt</strong>* (57%)"", ""Ivóvíz"", ""<strong>Búzakorpa</strong>* (9%)"", ""Repceolaj*"", ""Nádcukor*"", ""Tengeri só"", ""Maltodextrin*"", ""Glükózszirup*"", ""Étkezési sаv: tejsav"", ""Rizskivonat*"", ""Térfogatnövelő szer: nátrium-hidrogén-karbonát"", ""Gyógynövények*"", ""* = ellenőrzött bio termény""]",,240g ℮,,[],"[""Védőgázas csomagolásban."", ""EU Organikus - BE-BIO-02""]","[{""value"": ""0.24"", ""units"": ""kg"", ""__typename"": ""PackSizeType""}]",,Quantity,05412514935306,"[{""id"": ""EU Organikus"", ""caption"": ""EU Organikus"", ""__typename"": ""IconsInfoType""}, {""id"": ""Green Dot"", ""caption"": ""Green Dot"", ""__typename"": ""IconsInfoType""}]",2004020318971,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/3f53b4c7-3819-4400-8999-73e0496ff805/5e530a7f-9b68-43eb-8e69-b31564fa5c82_1673943628.jpeg,,PriceType,1679,kg,6995.83,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004020318971"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 1679, ""unitPrice"": 6995.83, ""unitOfMeasure"": ""kg""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;U3BlY2klQzMlQTFsaXMlMjB0JUMzJUExcGwlQzMlQTFsa296JUMzJUExcyU3Q0JJTyU3Q1MlQzMlQkN0JUMzJUE5cywlMjBmJUM1JTkxeiVDMyVBOXMlN0NTJUMzJUJDdCVDMyVBOXMsJTIwZiVDNSU5MXolQzMlQTlz,"Sütés, főzés",AvailableForSale,Speciális táplálkozás,Acapulco búzalisztből készült tortillák búzakorpával 6 db 240 g,2004020318971,2004020318971
"Fűszerkeverékek, gyorspácok",0.03,2004010171925,Lucullus,,https://digitalcontent.api.tesco.com/v2/media/ghs/3ca1cdbe-4ec9-4690-926a-5e6bc1980285/68aab55e-caf8-484a-a004-8f61dae72366_1696299876.jpeg?h=225&w=225,Ételízesítés,"[""Füstöltsonka ízű sültkrumpli fűszersó"", ""Receptek, tippek, termékek:"", ""www.szilasfood.hu""]",ProductDetailsType,,,,,,,,,,,,"[{""name"": ""Other Allergen Info"", ""values"": [""Mustármagot és zellert is felhasználó üzemben készült.""], ""__typename"": ""AllergenInfoItemType""}]","[{""isLowEverydayPricing"": false, ""isLowPricePromise"": false, ""__typename"": ""AdditionalInfo""}]",,,,,,"[""Tengeri só"", ""Szárított fokhagyma"", ""Ízfokozó (nátrium-glutamát)"", ""Fűszerpaprika őrlemény"", ""Őrölt feketebors"", ""Sonkaízű füstaroma""]",,25g,,[],,"[{""value"": ""0.025"", ""units"": ""kg"", ""__typename"": ""PackSizeType""}]",,Quantity,05997359135581,[],2004010171925,True,False,https://digitalcontent.api.tesco.com/v2/media/ghs/3ca1cdbe-4ec9-4690-926a-5e6bc1980285/68aab55e-caf8-484a-a004-8f61dae72366_1696299876.jpeg,,PriceType,269,kg,10760,SingleProduct,[],[],,ProductSellers,"[{""id"": ""2004010171925"", ""__typename"": ""ProductType"", ""seller"": null, ""price"": {""actual"": 269, ""unitPrice"": 10760, ""unitOfMeasure"": ""kg""}, ""promotions"": [], ""returnDetails"": null, ""status"": ""AvailableForSale"", ""unavailabilityReasons"": null, ""isForSale"": true}]",1,b;QWxhcHZldCVDNSU5MSUyMCVDMyVBOWxlbG1pc3plcmVrJTdDJUMzJTg5dGVsJUMzJUFEemVzJUMzJUFEdCVDMyVBOXMlN0NGJUM1JUIxc3plcmtldmVyJUMzJUE5a2VrLCUyMGd5b3JzcCVDMyVBMWNvayU3Q1N0ZWFrJTIwYnVyZ29ueWElMjAlQzMlQTlzJTIwcyVDMyVCQ2x0a3J1bXBsaSUyMGYlQzUlQjFzemVycyVDMyVCM2s=,Steak burgonya és sültkrumpli fűszersók,AvailableForSale,Alapvető élelmiszerek,Lucullus füstöltsonka ízű sültkrumpli fűszersó 25 g,2004010171925,2004010171925
