barcode,name_file1,internal_conflict_file1,name_file2,internal_conflict_file2,status
2000269670059.0,Patisszon lédig,False,,,only_in_file1
2002269960024.0,Földimogyoró lédig,False,,,only_in_file1
2002630970010.0,REGNUM sertésoldalas tálcás,False,,,only_in_file1
2003460660034.0,S-Budget sertés comb csont nélkül tálcás,False,,,only_in_file1
2005015980017.0,"S-Budget félzsíros, félkemény darabolt trappista sajt",False,,,only_in_file1
3856021201332.0,"SPAR csokoládé, mogyoróízű, vanília, fehér csokoládé ízű jégkrém epres öntettel 1650 ml",False,,,only_in_file1
4000436506080.0,Ammerländer trappista sajt 700 g,False,,,only_in_file1
4000930511054.0,Ponnath fehér kolbász 300 g,False,,,only_in_file1
4025700001450.0,Milka Alpesi Tej Felhasználásával Készült Tejcsokoládé Joghurtos Krémtöltelékkel 100 G,False,,,only_in_file1
4046234835014.0,Tchibo Cafissimo Barista Espresso Brasil kávékapszula 10 db 80 g,False,,,only_in_file1
4061445292340.0,"Eduscho Crema Strong szemes, pörkölt kávé 1000 g",False,,,only_in_file1
4061445301745.0,"Eduscho Espresso Classic szemes, pörkölt kávé 1000 g",False,,,only_in_file1
5200103690756.0,"Bretas zöld magozott olajbogyó 3,90 kg",False,,,only_in_file1
5995535040100.0,Korona csiperke gombaszeletek 630 g,False,,,only_in_file1
5995757007394.0,Finlandia Redberry vodka és Kinley Pink Aromatic Berry szénsavas üdítőital,False,,,only_in_file1
5995885819197.0,Gallio pulyka darált hús 500 g,False,,,only_in_file1
5997264104016.0,Pepsi Zero colaízű energiamentes szénsavas üdítőital édesítőszerekkel lime ízesítéssel 1 l,False,,,only_in_file1
5997956705576.0,Kalifa Medjool szárított magos datolya 190 g,False,,,only_in_file1
5998207902850.0,Hajdú parenyica 105 g,False,,,only_in_file1
5998207904595.0,Hajdú füstölt grillenyica 200 g,False,,,only_in_file1
5998207923947.0,Hajdú füstölt sült hagymás grillenyica 200 g,False,,,only_in_file1
5998377308148.0,SPAR tepertős hatszög,False,,,only_in_file1
5999028603087.0,Kenyértár szeletelt parasztkenyér 500 g,False,,,only_in_file1
5999033865951.0,SPAR PREMIUM tejföl 25% 270 g,False,,,only_in_file1
5999033880947.0,SPAR Protein Pancake ízesítetlen palacsintapor 40 g,False,,,only_in_file1
5999033881555.0,"SPAR homogénezett, élőflórás tejföl 20% 450 g",False,,,only_in_file1
5999033886437.0,SPAR mélyalmos friss tojás M 10 db,False,,,only_in_file1
5999033891844.0,S-Budget félzsíros túró 500 g,False,,,only_in_file1
5999033893671.0,S-Budget Sülve-Főve Csirke friss csirke belső mellfilé 500 g,False,,,only_in_file1
5999138201388.0,"PINCEMESTER Dunántúli Merlot száraz rosébor 11,5% 750 ml",False,,,only_in_file1
5999509771007.0,"Nyakas Irsai Olivér száraz fehérbor 11,5% 750 ml",False,,,only_in_file1
5999562010846.0,Főzőtök lédig,False,,,only_in_file1
5999571054527.0,"XIXO Cherry Coke cseresznye- és kólaízű, szénsavas üdítőital cukorral és édesítőszerrel 250 ml",False,,,only_in_file1
5999860057000.0,Piros Mogyorós mogyorókrémmel töltött étcsokoládé egész mogyoróval 40 g,False,,,only_in_file1
5999860057031.0,Piros Mogyorós mogyorókrémmel töltött tejcsokoládé egész mogyoróval 40 g,False,,,only_in_file1
5999860057253.0,Piros Mogyorós tejcsokoládé egész mogyoróval 80 g,False,,,only_in_file1
5999860057697.0,Piros Mogyorós étcsokoládé egész mogyoróval 80 g,False,,,only_in_file1
5999880160100.0,"Jókenyér búzakenyér 0,5 kg",False,,,only_in_file1
5999880160117.0,Jókenyér búzakenyér 1 kg,False,,,only_in_file1
7622201457150.0,"Győri Édes vaníliás ízű, tejes keksz teljes kiőrlésű búzaliszttel és édesítőszerekkel 100 g",False,,,only_in_file1
7622201775322.0,Milka Favourites vegyes csokoládé válogatás 18 db 159 g,False,,,only_in_file1
7622202013188.0,Milka Creme Hazelnut Alpesi Tej Felhasználásával Készült Tejcsokoládé Mogyorós Krémtöltelékkel 85 G,False,,,only_in_file1
7622210690852.0,Milka Mmmax Triolade alpesi tejcsokoládé fehércsokoládéval és magas kakaótartalmú csokoládéval 280 g,False,,,only_in_file1
8001300243441.0,DESPAR extraszűz olívaolaj 1 l,False,,,only_in_file1
8008698001059.0,Schär gluténmentes édes kiflik 2 x 100 g  (200 g),False,,,only_in_file1
8584004061417.0,"Moments Mini kakaós bevonómasszába mártott, tejes krémmel töltött ostyaszelet 3 x 27 g",False,,,only_in_file1
8594071650353.0,Marlenka mézes torta dióval 100 g,False,,,only_in_file1
8606011898968.0,RiBella Hummus csicseriborsó krém karamellizált hagyma 200 g,False,,,only_in_file1
8719200254039.0,Rama növényi alapú vajalternatíva natúr 250 g,False,,,only_in_file1
