barcode,name
59920991.0,Akácméz 250 g
5998150510133.0,Akácméz 250 g
5998150512502.0,Akácméz 250 g
5998035100244.0,Akácméz 900 g
5998150510072.0,Akácméz 900 g
5411188112709.0,Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l
5411188122661.0,Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l
5998817312964.0,"Arany Ászok tradicionális világos sör 4,3% 0,5 l"
5998817312971.0,"Arany Ászok tradicionális világos sör 4,3% 0,5 l"
5998858706562.0,Biopont bio gluténmentes sóspálcika 45 g
5998858706579.0,Biopont bio gluténmentes sóspálcika 45 g
59969921.0,"Borsodi világos sör 4,5% 0,5 l"
5998817520567.0,"Borsodi világos sör 4,5% 0,5 l"
5098732000738.0,Chivers Olde English hagyományos angol narancsmarmelád 340 g
5098732004835.0,Chivers Olde English hagyományos angol narancsmarmelád 340 g
5998038316857.0,Cornexi sárgabarackos töltött zabrudi 30 g
5998038321325.0,Cornexi sárgabarackos töltött zabrudi 30 g
8001300223016.0,DESPAR paradicsompüré 690 g
8001300223078.0,DESPAR paradicsompüré 690 g
5997381373197.0,Dr. Oetker Vitalis csokoládés rizskása alappor 52 g
5997381376389.0,Dr. Oetker Vitalis csokoládés rizskása alappor 52 g
5998817312063.0,"Dreher Gold minőségi világos sör 5% 0,5 l"
5998817313015.0,"Dreher Gold minőségi világos sör 5% 0,5 l"
5999555260104.0,Félbarna kenyér 500 g
5999555260142.0,Félbarna kenyér 500 g
5997505321400.0,Gárdonyi Teaház gyümölcstea válogatás 20 filter 40 g
5997505321608.0,Gárdonyi Teaház gyümölcstea válogatás 20 filter 40 g
9008700179003.0,Hey-Ho almaital 1 l
9008700179102.0,Hey-Ho almaital 1 l
9008700179027.0,Hey-Ho őszibarackital 1 l
9008700179140.0,Hey-Ho őszibarackital 1 l
5999881815269.0,Juhász Egri Bikavér száraz vörösbor 13% 750 ml
5999881815740.0,Juhász Egri Bikavér száraz vörösbor 13% 750 ml
40084107.0,"Kinder Meglepetés belső tejes réteggel bevont tejcsokoládé figura, belsejében meglepetéssel 20 g"
54088191.0,"Kinder Meglepetés belső tejes réteggel bevont tejcsokoládé figura, belsejében meglepetéssel 20 g"
4012200222102.0,Kühne enyhén csípős mustár 255 g
40122342.0,Kühne enyhén csípős mustár 255 g
5998817313404.0,"Kőbányai világos sör 4,3% 0,5 l"
5998817313442.0,"Kőbányai világos sör 4,3% 0,5 l"
4000539397240.0,Lindt Lindor tejcsokoládé lágyan olvadó töltelékkel 38 g
4000539397585.0,Lindt Lindor tejcsokoládé lágyan olvadó töltelékkel 38 g
5998003124043.0,PICK szeletelt eredeti téliszalámi 70 g
5998003124104.0,PICK szeletelt eredeti téliszalámi 70 g
8594404023380.0,"Pilsner Urquell minőségi világos sör 4,4% 0,5 l"
8594404110110.0,"Pilsner Urquell minőségi világos sör 4,4% 0,5 l"
5999033873536.0,REGNUM szeletelt prágai sonka 100 g
5999033899598.0,REGNUM szeletelt prágai sonka 100 g
8004030352513.0,Rio Mare Insalatissime zöldséges készétel tonhallal 2 x 160 g
8004030352612.0,Rio Mare Insalatissime zöldséges készétel tonhallal 2 x 160 g
5999033800402.0,S-Budget sertés darálthús 900 g
5999033810241.0,S-Budget sertés darálthús 900 g
