name,barcode_file1,internal_conflict_file1,barcode_file2,internal_conflict_file2,status
Ammerländer trappista sajt 700 g,4000436506080.0,False,4000435605807.0,False,conflict
Chivers Olde English hagyományos angol narancsmarmelád 340 g,5098732004835.0,False,5098732000738.0,True,conflict
Cornexi sárgabarackos töltött zabrudi 30 g,5998038321325.0,False,5998038316857.0,True,conflict
DESPAR extraszűz olívaolaj 1 l,8001300243441.0,False,8001300241690.0,False,conflict
Gallio pulyka darált hús 500 g,5995885819197.0,False,5995885135914.0,False,conflict
Hajdú parenyica 105 g,5998207902850.0,False,5998207925590.0,False,conflict
REGNUM sertésoldalas tálcás,2002630970010.0,False,2002630970072.0,False,conflict
Rama növényi alapú vajalternatíva natúr 250 g,8719200254039.0,False,8719200250208.0,False,conflict
S-Budget félzsíros túró 500 g,5999033891844.0,False,5999033883450.0,False,conflict
"S-Budget félzsíros, félkemény darabolt trappista sajt",2005015980017.0,False,2005015980062.0,False,conflict
S-Budget sertés comb csont nélkül tálcás,2003460660034.0,False,2003460660058.0,False,conflict
SPAR PREMIUM tejföl 25% 270 g,5999033865951.0,False,5998202942097.0,False,conflict
"SPAR homogénezett, élőflórás tejföl 20% 450 g",5999033881555.0,False,5999033867511.0,False,conflict
SPAR mélyalmos friss tojás M 10 db,5999033886437.0,False,5999033892391.0,False,conflict
