name,barcode_file1,internal_conflict_file1,barcode_file2,internal_conflict_file2,status
"1664 Blanc búzasör 5% 0,33 l",8600331002470.0,False,8600331002470.0,False,match
"1664 Blanc búzasör 5,0% 0,5 l",8600331002487.0,False,8600331002487.0,False,match
"1664 Rosé málna ízű ízesített búzasör, bodza és málna gyümölcslével 4,5% 330 ml",5901594001921.0,False,5901594001921.0,False,match
"1664 Rosé málna ízű ízesített búzasör, bodza és málna gyümölcslével 4,5% 500 ml",5901594001914.0,False,5901594001914.0,False,match
1x1 Vitamin C-vitamin 1000 mg narancsízű étrend-kiegészítő rágótabletta 60 x 1800 mg (108 g),5999883354667.0,False,5999883354667.0,False,match
1x1 Vitamin Multivitamin +cink & vas erdei gyümölcsös étrend-kiegészítő tabletta 60 db 60 g,5999883354933.0,False,5999883354933.0,False,match
1x1 Vitamin multivitamin narancs ízű étrend-kiegészítő rágótabletta 90 x 800 mg (72 g),5999561573236.0,False,5999561573236.0,False,match
24 Ice Mojito jégkoktél 5% 5 x 65 ml (325 ml),8718868983008.0,False,8718868983008.0,False,match
24 Ice epres Daiquiri alkoholmentes jégkoktél 0% 5 x 65 ml (325 ml),8718868983329.0,False,8718868983329.0,False,match
24 Ice jégkoktél 5% 5 x 65 ml (325 ml),8721082201056.0,False,8721082201056.0,False,match
24/7 Hot Dog 1000 g,5995663972892.0,False,5995663972892.0,False,match
24/7 füstölt virsli 500 g,5995663973486.0,False,5995663973486.0,False,match
3Bit tejcsokoládéval bevont keksz szelet tejes töltelékkel 46 g,7622210416407.0,False,7622210416407.0,False,match
7001 jódozott párolt finom só 1 kg,5999860299059.0,False,5999860299059.0,False,match
7001 jódozott párolt finom só 200 g,9001880931676.0,False,9001880931676.0,False,match
7001 párolt finom só 1 kg,5999860299042.0,False,5999860299042.0,False,match
7DAYS Bake Rolls bacon ízű kétszersült 80 g,5201360112265.0,False,5201360112265.0,False,match
7DAYS Bake Rolls fokhagymás kétszersült 80 g,5201360639205.0,False,5201360639205.0,False,match
7DAYS Bake Rolls hagymás és tejföl ízű kétszersült 80 g,5201360674503.0,False,5201360674503.0,False,match
7DAYS Bake Rolls pizza ízű kétszersült 80 g,5201360671069.0,False,5201360671069.0,False,match
7DAYS Bake Rolls sós kétszersült 80 g,5201360639007.0,False,5201360639007.0,False,match
7DAYS Double Coconut Max croissant kakaós töltelékkel és kókuszos töltelékkel 80 g,7622201391997.0,False,7622201391997.0,False,match
7DAYS Double Max croissant vanília ízű és meggyes töltelékkel 80 g,5201360501571.0,False,5201360501571.0,False,match
7DAYS Double Max croissant vaníliaízű töltelékkel és epres töltelékkel 80 g,7622201391812.0,False,7622201391812.0,False,match
7DAYS Max croissant kakaós töltelékkel 80 g,7622201388386.0,False,7622201388386.0,False,match
7DAYS croissant mogyorós töltelékkel 60 g,7622201390648.0,False,7622201390648.0,False,match
7DAYS croissant pezsgő ízű töltelékkel 60 g,7622201391737.0,False,7622201391737.0,False,match
7DAYS croissant sárgabarackos töltelékkel 60 g,7622202244186.0,False,7622202244186.0,False,match
"7UP energiamentes citrom és lime aromákkal ízesített szénsavas üdítőital édesítőszerekkel 0,5 l",5997264103354.0,False,5997264103354.0,False,match
7UP energiamentes citrom és lime aromákkal ízesített szénsavas üdítőital édesítőszerekkel 2 l,5997264104658.0,False,5997264104658.0,False,match
ALGIDA Multipack Donut Pálcikás Jégkrém Fehér csokoládés 4 x 62 ml,8711327678620.0,False,8711327678620.0,False,match
ALGIDA Multipack Donut Pálcikás Jégkrém Kekszes Kakaós 4 x 62 ml,8711327678057.0,False,8711327678057.0,False,match
ALGIDA SMILE Jégkrém Eper 900 ml,8711327625655.0,False,8711327625655.0,False,match
ALGIDA SMILE Jégkrém Exotic & Vanília 900 ml,8711327681057.0,False,8711327681057.0,False,match
ALGIDA SMILE Jégkrém Sós karamell 900 ml,8711327625600.0,False,8711327625600.0,False,match
ALL IN natural food cseresznye élőflórás kókusztej 150 ml,5999886615727.0,False,5999886615727.0,False,match
ALL IN natural food natúr kókuszgurt 7 féle élő és aktív kultúrával és prebiotikumokkal 150 g,5999886615697.0,False,5999886615697.0,False,match
ALPRO cukormentes kókuszital 1 l,5411188128311.0,False,5411188128311.0,False,match
ALPRO epres szójagurt joghurt kultúrával 150 g,5411188128700.0,False,5411188128700.0,False,match
ALPRO krémes karamellás desszert 125 g,5997536303109.0,False,5997536303109.0,False,match
ALPRO kókusz-mandulaital 1 l,5411188118732.0,False,5411188118732.0,False,match
ALPRO kókuszital 1 l,5411188116592.0,False,5411188116592.0,False,match
ALPRO málnás-vörösáfonyás szójagurt joghurt kultúrával 150 g,5411188126430.0,False,5411188126430.0,False,match
ALPRO rizs főzőkrém 250 ml,5411188120988.0,False,5411188120988.0,False,match
ALPRO rizsital 1 l,5411188112549.0,False,5411188112549.0,False,match
ALPRO vanília ízű mandulaital 1 l,5411188120742.0,False,5411188120742.0,False,match
ALPRO vanília ízű szójadesszert 125 g,5997536302546.0,False,5997536302546.0,False,match
ALPRO ördögien sötét étcsokoládés desszert 125 g,5997536302539.0,False,5997536302539.0,False,match
ALPRO őszibarackos szójagurt joghurt kultúrával 150 g,5411188126393.0,False,5411188126393.0,False,match
Abaco Pomace Blend olívapogácsa-olaj és napraforgóolaj keveréke 1000 ml,8410352006162.0,False,8410352006162.0,False,match
Abonett Classic natúr extrudált kenyér 100 g,5997148701881.0,False,5997148701881.0,False,match
Abonett Classic rozsos extrudált kenyér 100 g,5997148701904.0,False,5997148701904.0,False,match
Abonett gluténmentes extrudált kenyér quinoával 100 g,5997148703601.0,False,5997148703601.0,False,match
Abonett gluténmentes kukoricás extrudált kenyér 100 g,5997148702352.0,False,5997148702352.0,False,match
Abonett gluténmentes sajtos-snidlinges szendvics 26 g,5997148703649.0,False,5997148703649.0,False,match
"Abonett gluténmentes, törökmogyorós szendvics édesítőszerrel, hozzáadott cukor nélkül 26 g",5997148703700.0,False,5997148703700.0,False,match
Absolut természetes málna ízesítésű vodka 38% 700 ml,5998829900371.0,False,5998829900371.0,False,match
Absolut vodka 40% 700 ml,5998829900425.0,False,5998829900425.0,False,match
Absolute LifeStyle Amino Mix energiamentes ananász-mangó-papaya ízű szénsavmentes üdítőital 600 ml,5998835908019.0,False,5998835908019.0,False,match
Absolute LifeStyle Fat Burner grapefruit-papaya-kaktuszfüge ízű szénsavmentes üdítőital 600 ml,5998835908002.0,False,5998835908002.0,False,match
Adrenalin Classic tutti-frutti ízű szénsavas energiaital 250 ml,5999862309459.0,False,5999862309459.0,False,match
Adrenalin görögdinnye ízű szénsavas energiaital 250 ml,5999862309466.0,False,5999862309466.0,False,match
Adrenalin kaktusz-guavaízű szénsavas energiaital 250 ml,5999862309473.0,False,5999862309473.0,False,match
Adrenalin sárkánygyümölcsízű szénsavas energiaital 250 ml,5999862309480.0,False,5999862309480.0,False,match
After Eight étcsokoládéval mártott mentolízű fondant lapocskák 200 g,7613032596668.0,False,7613032596668.0,False,match
Agárdi Chameleon gin 43% 500 ml,5999545372114.0,False,5999545372114.0,False,match
"Aha! Lager világos lager sör 4,5% 330 ml",5999138200367.0,False,5999138200367.0,False,match
"Aha! Sour Cherry szűrt lager sör és szénsavas meggy ízű üdítőital keveréke 4,3% 330 ml",5999138200374.0,False,5999138200374.0,False,match
"Aha! Witbier kisüzemi, szűretlen, pasztörizált, ízesített világos búzasör 5% 330 ml",5999138201531.0,False,5999138201531.0,False,match
"Aha! kisüzemi, pasztörizált, szűretlen, világos IPA sör 5% 330 ml",5999138201517.0,False,5999138201517.0,False,match
Airwaves Black Mint mentol- és ánizsízű cukormentes rágógumi édesítőszerrel 14 g,42101925.0,False,42101925.0,False,match
Airwaves Cool Cassis mentol- és feketeribizli-ízű cukormentes rágógumi édesítőszerrel 14 g,42070047.0,False,42070047.0,False,match
Airwaves Cool Cassis mentol- és feketeribizli-ízű cukormentes rágógumi édesítőszerrel 64 g,4009900426121.0,False,4009900426121.0,False,match
Airwaves Extreme erős mentol- és eukaliptuszízű cukormentes rágógumi édesítőszerrel 14 g,42189633.0,False,42189633.0,False,match
Airwaves Extreme erős mentol- és eukaliptuszízű cukormentes rágógumi édesítőszerrel 29 g,4009900453349.0,False,4009900453349.0,False,match
Airwaves Extreme erős mentol- és eukaliptuszízű cukormentes rágógumi édesítőszerrel 64 g,4009900509992.0,False,4009900509992.0,False,match
Airwaves Menthol & Eucalyptus mentol- és eukaliptuszízű cukormentes rágógumi édesítőszerrel 14 g,50173167.0,False,50173167.0,False,match
Airwaves lime- és gyömbér-ízű cukormentes rágógumi édesítőszerrel 14 g,40099569.0,False,40099569.0,False,match
Akácméz 150 g,5998150510065.0,False,5998150510065.0,False,match
Akácméz 250 g,5998150512502.0,True,5998150512502.0,True,match
Akácméz 500 g,5998150510027.0,False,5998150510027.0,False,match
Akácméz 900 g,5998150510072.0,True,5998150510072.0,True,match
Akácméz propolisszal 250 g,5999547655802.0,False,5999547655802.0,False,match
"Alaska vodka 37,5% 0,1 l",5995267101124.0,False,5995267101124.0,False,match
Albatross gyümölcssaláta cukrozott lében 230 g,5999538341226.0,False,5999538341226.0,False,match
"Albatross hámozott, darabolt őszibarack 230 g",5999538341219.0,False,5999538341219.0,False,match
"Albatross hámozott, felezett őszibarack cukrozott lében 700 g",3800016701055.0,False,3800016701055.0,False,match
"Albatross hámozott, felezett őszibarack cukrozott lében 820 g",5999538341028.0,False,5999538341028.0,False,match
Algida Kids Mix Multipack jégkrém 398 ml,8711327592469.0,False,8711327592469.0,False,match
Alpro Barista karamell ízű zab- és szójaital hozzáadott kalciummal és vitaminokkal 750 ml,5411188140863.0,False,5411188140863.0,False,match
Alpro Barista kókuszital szójával és hozzáadott kalciummal 750 ml,5411188139843.0,False,5411188139843.0,False,match
Alpro Barista mandulaital hozzáadott kalciummal 750 ml,5411188139409.0,False,5411188139409.0,False,match
Alpro Barista vaníliaízű zab- és szójaital hozzáadott kalciummal és vitaminokkal 750 ml,5411188140887.0,False,5411188140887.0,False,match
