product_name,old_image,new_image,old_barcode,new_barcode,old_price,new_price
"1664 Blanc búzasör 5% 0,33 l",https://imageproxy.wolt.com/assets/689bb723f18c6aaa8030d947,https://imageproxy.wolt.com/assets/68e7aafa76f0377a07cb985a,8600331002470.0,8600331002470.0,509.0,564.0
"1664 Rosé málna ízű ízesített búzasör, bodza és málna gyümölcslével 4,5% 330 ml",https://imageproxy.wolt.com/assets/689bb7219bbcfa1dc39bee6e,https://imageproxy.wolt.com/assets/68e7aaf676f0377a07cb984e,5901594001921.0,5901594001921.0,539.0,605.0
"1664 Rosé málna ízű ízesített búzasör, bodza és málna gyümölcslével 4,5% 500 ml",https://imageproxy.wolt.com/assets/689bb7229bbcfa1dc39bee71,https://imageproxy.wolt.com/assets/68e7aaf676f0377a07cb984f,5901594001914.0,5901594001914.0,589.0,659.0
3Bit tejcsokoládéval bevont keksz szelet tejes töltelékkel 46 g,https://imageproxy.wolt.com/assets/689b9eb187a8f04a4a7db00f,https://imageproxy.wolt.com/assets/692845033c7e8f4c5cace635,7622210416407.0,7622210416407.0,299.0,314.0
7DAYS croissant epres töltelékkel 60 g,https://imageproxy.wolt.com/assets/68de7176b16814eaa0e5a321,https://imageproxy.wolt.com/assets/69429b8d00ceffc5bd9b57a1,7622201392215.0,7622201392215.0,299.0,324.0
7DAYS croissant kakaós töltelékkel 60 g,https://imageproxy.wolt.com/assets/68de715eb16814eaa0e5a305,https://imageproxy.wolt.com/assets/6970c7757e37809df6dec467,7622201388409.0,7622201388409.0,299.0,324.0
7DAYS croissant mogyorós töltelékkel 60 g,https://imageproxy.wolt.com/assets/689b9e7b87a8f04a4a7dafc1,https://imageproxy.wolt.com/assets/69833500b0f91b500888e10e,7622201390648.0,7622201390648.0,299.0,324.0
7DAYS croissant pezsgő ízű töltelékkel 60 g,https://imageproxy.wolt.com/assets/689b9e7b87a8f04a4a7dafc3,https://imageproxy.wolt.com/assets/69ca6658882f03cf986b61c9,7622201391737.0,7622201391737.0,299.0,324.0
7DAYS croissant sárgabarackos töltelékkel 60 g,https://imageproxy.wolt.com/assets/689b9e9c87a8f04a4a7daff2,https://imageproxy.wolt.com/assets/68fb6b233548256996250f38,7622202244186.0,7622202244186.0,299.0,324.0
7DAYS Double Coconut Max croissant kakaós töltelékkel és kókuszos töltelékkel 80 g,https://imageproxy.wolt.com/assets/689b9e7cf18c6aaa8030c74b,https://imageproxy.wolt.com/assets/69b7f16e4bb2a79c7993507f,7622201391997.0,7622201391997.0,369.0,379.0
7DAYS Double Max croissant kakaós töltelékkel és vaníliaízű töltelékkel 80 g,https://imageproxy.wolt.com/assets/68de715fb16814eaa0e5a307,https://imageproxy.wolt.com/assets/69147e1c43a2bd3cfbf46133,7622201389420.0,7622201389420.0,369.0,379.0
7DAYS Double Max croissant vaníliaízű töltelékkel és epres töltelékkel 80 g,https://imageproxy.wolt.com/assets/689b9e7cf18c6aaa8030c748,https://imageproxy.wolt.com/assets/6970c7417e37809df6dec3f5,7622201391812.0,7622201391812.0,369.0,379.0
7DAYS Max croissant kakaós töltelékkel 80 g,https://imageproxy.wolt.com/assets/689b9e78f18c6aaa8030c743,https://imageproxy.wolt.com/assets/699c48e233fb99da5472fb55,7622201388386.0,7622201388386.0,369.0,379.0
Algida Smile Jégkrém Sós karamell 900 ml,https://imageproxy.wolt.com/assets/689bb3c887a8f04a4a7ddb6a,https://imageproxy.wolt.com/assets/69147e4143a2bd3cfbf4615b,8711327625600.0,8711327625600.0,1699.0,1804.0
Alpesi tej felhasználásával készült tejcsokoládé karamellizált kekszdarabkákkal 90g,https://imageproxy.wolt.com/assets/68dd1fa7e4991e9d3ee0b053,https://imageproxy.wolt.com/assets/6936c54db0f2d0c0d8d5a0d6,7622202295133.0,7622202295133.0,699.0,734.0
Asahi Super Dry világos sör 5% 330 ml,https://imageproxy.wolt.com/assets/689ba09087a8f04a4a7db2fc,https://imageproxy.wolt.com/assets/69d93ac260461b960942b805,8008440249340.0,8008440249340.0,519.0,574.0
Asahi Super Dry világos sör 5% 500 ml,https://imageproxy.wolt.com/assets/689ba09087a8f04a4a7db2fb,https://imageproxy.wolt.com/assets/69d93ac160461b960942b804,8008440449252.0,8008440449252.0,579.0,639.0
Athena olívapogácsa olaj 1 l,https://imageproxy.wolt.com/assets/689b97309bbcfa1dc39bcdfa,https://imageproxy.wolt.com/assets/69b1ae06649ecdda9f3fe12a,5999538341943.0,5999538341943.0,3399.0,3149.0
Balaton Expressz étcsokoládéval mártott pisztácia ízű szelet karamellel 35 g,https://imageproxy.wolt.com/assets/689ba407f18c6aaa8030d073,https://imageproxy.wolt.com/assets/6908a0ad5a64760b236620e7,8593893785298.0,8593893785298.0,279.0,294.0
"Balaton kakaós tejbevonómasszával mártott, kakaós krémmel töltött ostya 27 g",https://imageproxy.wolt.com/assets/68a6f0a1c36a14b170314e52,https://imageproxy.wolt.com/assets/689ba26af18c6aaa8030cde2,8445291866980.0,8445290859440.0,199.0,189.0
"Balaton kakaós étbevonómasszával mártott, kakaós krémmel töltött ostya 27 g",https://imageproxy.wolt.com/assets/68a6f0a1c36a14b170314e53,https://imageproxy.wolt.com/assets/689ba26c87a8f04a4a7db5c1,8445291867543.0,8445290860668.0,199.0,189.0
Balaton Újhullám kókuszos krémmel töltött ostya fehér masszával mártva 30 g,https://imageproxy.wolt.com/assets/689ba29af18c6aaa8030ce1b,https://imageproxy.wolt.com/assets/69132c9ae9eb908bf84ef7c1,8445291660212.0,8445291660212.0,229.0,240.0
Berger ropogós sonka 150 g,https://imageproxy.wolt.com/assets/689ba8579bbcfa1dc39bdeac,https://imageproxy.wolt.com/assets/6953c618648e3fc82646368c,9001455013226.0,9001455013226.0,1399.0,1469.0
Berger tökéletes sonka tál variáció 240 g,https://imageproxy.wolt.com/assets/689ba85a87a8f04a4a7dbbf1,https://imageproxy.wolt.com/assets/6953c61a648e3fc82646368e,9001455034016.0,9001455034016.0,2199.0,2309.0
