product_name,barcode,old_image,new_image,old_price,new_price
"KitKat ropogós ostya tejcsokoládéban 41,5 g",40052489.0,mageproxy.wolt.com/assets/689b76d487a8f04a4a7d80e2,mageproxy.wolt.com/assets/69833c54879d20d22ae7f1df,349.0,369.0
"Halls mentol-eukaliptuszízű, töltetlen keménycukorka 33,5 g",50985081.0,mageproxy.wolt.com/assets/68de716db16814eaa0e5a317,mageproxy.wolt.com/assets/69833c41879d20d22ae7f1b1,259.0,284.0
"Halls extra erős mentol-eukaliptuszízű töltetlen keménycukorka 33,5 g",50985098.0,mageproxy.wolt.com/assets/68dd1faae4991e9d3ee0b05b,mageproxy.wolt.com/assets/68fb6af43548256996250efa,259.0,284.0
"Halls citromízű, mézes, töltetlen keménycukorka 33,5 g",50985104.0,mageproxy.wolt.com/assets/689b72cd87a8f04a4a7d7b6e,mageproxy.wolt.com/assets/6970c7527e37809df6dec426,259.0,284.0
Danonino epres és sárgabarackos tejkészítmény hozzáadott kalciummal és D-vitaminnal 4 x 50 g (200 g),59003854.0,mageproxy.wolt.com/assets/68afd6b533032d93f0a51541,mageproxy.wolt.com/assets/6989d3d4df12ec286094ac33,589.0,649.0
Danonino banános és málnás tejkészítmény hozzáadott kalciummal és D-vitaminnal 4 x 50 g (200 g),59441199.0,mageproxy.wolt.com/assets/68afd6b533032d93f0a51542,mageproxy.wolt.com/assets/6989d3d3df12ec286094ac32,589.0,649.0
Milka Tender piskótatekercs tejes krémtöltelékkel tejcsokoládéval mártva 37 g,76222498.0,mageproxy.wolt.com/assets/68de7173b16814eaa0e5a31d,mageproxy.wolt.com/assets/6970c7487e37809df6dec408,339.0,359.0
Nutella & Go! kenhető kakaós mogyorókrém és ropogós pálcikák 52 g,80050100.0,mageproxy.wolt.com/assets/689b6e3ff18c6aaa80308f9e,mageproxy.wolt.com/assets/69ceaee1d236006518ff41ce,659.0,694.0
Twinings Earl Grey Black Tea 25 Tea Bags 50 g,70177077563.0,mageproxy.wolt.com/assets/66793c08ad16d3049c1bb3b1,mageproxy.wolt.com/assets/689b77ed87a8f04a4a7d83c1,1799.0,1909.0
Földimogyoró lédig,2002269960024.0,1e3865c-5975-11ef-a637-16959674595e_image__24_.jpg,mageproxy.wolt.com/assets/678e0e244b2b7137a212e3c4,229.9,246.0
"Tolle zsíros, félkemény trappista sajt",2004840540014.0,11960068-954a-11f0-b421-f2163dc07fd5_484054001.jpg,mageproxy.wolt.com/assets/69bbd7cc94e8ba0fb797db70,648.0,584.0
"Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal 250 g",3387390122473.0,mageproxy.wolt.com/assets/689bb1a1f18c6aaa8030d421,mageproxy.wolt.com/assets/69c2d13fe24f4a9d75093a85,1199.0,1379.0
