superDepartmentName	departmentName	aisleName	shelfName
Alapvető élelmiszerek	Csokoládék	Táblás tejcsokoládék	Prémium táblás tejcsokoládék
Alapvető élelmiszerek	Olaj, ecet	Ecet	Ecet
Alapvető élelmiszerek	Ételízesítés	Fűszerkeverékek, gyorspácok	Steak burgonya és sültkrumpli fűszersók
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Ostyák, nápolyik	Ostyák, nápolyik
Alapvető élelmiszerek	Lekvár, méz és mogyorókrém	Méz	Méz
Alapvető élelmiszerek	Szószok, mártások, poralapok	Szószok, mártások	Egyéb szószok
Alapvető élelmiszerek	Instant ételalapok, levesporok	Zacskós levesek	Zacskós húslevesek
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Levestészták	Egyéb
Alapvető élelmiszerek	Szószok, mártások, poralapok	Ketchup, mustár, torma, majonéz	Ketchup
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Édes kekszek	Egyéb édes kekszek
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Piskóták	Piskóták
Alapvető élelmiszerek	Cukorkák, rágógumik és egyéb édességek	Cukorkák, rágógumik	Gumicukor
Alapvető élelmiszerek	Lekvár, méz és mogyorókrém	Lekvárok	Baracklekvárok
Alapvető élelmiszerek	Csokoládék	Desszert csokoládék	Desszert csokoládék
Alapvető élelmiszerek	Szószok, mártások, poralapok	Poralapok	Poralapok tésztákhoz
Alapvető élelmiszerek	Csokoládék	Táblás tejcsokoládék	Töltött táblás csokoládék
Alapvető élelmiszerek	Szószok, mártások, poralapok	Ketchup, mustár, torma, majonéz	Torma
Alapvető élelmiszerek	Cukorkák, rágógumik és egyéb édességek	Cukorkák, rágógumik	Kemény cukorkák
Alapvető élelmiszerek	Rágcsálnivalók, chips	Chips és burgonyaszirom	Burgonyachips
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Befőzés
Alapvető élelmiszerek	Csokoládék	Csokoládészeletek	Tejcsokoládészeletek
Alapvető élelmiszerek	Liszt	Liszt	Liszt
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Édes kekszek	Édes teasütemények
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Torta- és süteményalapok
Alapvető élelmiszerek	Instant ételalapok, levesporok	Leveskockák	Halászlé- és húsleveskockák
Alapvető élelmiszerek	Instant ételalapok, levesporok	Zacskós levesek	Zacskós krém- és gyümölcslevesek
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Hüvelyesek és egyéb köretek	Hüvelyesek és egyéb köretek
Alapvető élelmiszerek	Szószok, mártások, poralapok	Ketchup, mustár, torma, majonéz	Mustár
Alapvető élelmiszerek	Nemzetközi konyha	Tesco Finest termékek	Tesco Finest termékek
Alapvető élelmiszerek	Csokoládék	Csokoládészeletek	Ostyaszeletek
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Édes kekszek	Töltött kekszek
Alapvető élelmiszerek	Cukorkák, rágógumik és egyéb édességek	Édességek gyerekeknek	Édességek gyerekeknek
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Egyéb
Alapvető élelmiszerek	Rágcsálnivalók, chips	Sós kekszek, sós pálcikák és krékerek	Krékerek
Alapvető élelmiszerek	Csokoládék	Táblás tejcsokoládék	Mogyorós tejcsokoládék
Alapvető élelmiszerek	Instant ételalapok, levesporok	Instant ételalapok	Instant szószos tészták
Alapvető élelmiszerek	Só és Cukor	Só és Cukor	Cukor
Alapvető élelmiszerek	Cukorkák, rágógumik és egyéb édességek	Cukorkák, rágógumik	Rágógumik
Alapvető élelmiszerek	Rágcsálnivalók, chips	Sós kekszek, sós pálcikák és krékerek	Sós pálcikák, perecek
Alapvető élelmiszerek	Szószok, mártások, poralapok	Ketchup, mustár, torma, majonéz	Majonéz
Alapvető élelmiszerek	Instant ételalapok, levesporok	Instant levesporok	Instant hús-és gulyáslevesporok
Alapvető élelmiszerek	Csokoládék	Csokoládészeletek	Családi csomagok
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Aroma
Alapvető élelmiszerek	Csokoládék	Táblás fehércsokoládék	Táblás fehércsokoládék
Alapvető élelmiszerek	Olaj, ecet	Olaj	Egyéb olajok
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Puding- és fagylaltporok	Egyéb ízű puding- és fagylaltporok
Alapvető élelmiszerek	Szószok, mártások, poralapok	Poralapok	Poralapok húsokhoz, mártásokhoz
Alapvető élelmiszerek	Ételízesítés	Fűszerkeverékek, gyorspácok	Gyorspácok
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Rizs	Különleges rizs
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Puding- és fagylaltporok	Puncs ízű puding- és fagylaltporok
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Puding- és fagylaltporok	Csokoládé ízű puding- és fagylaltporok
Alapvető élelmiszerek	Cukorkák, rágógumik és egyéb édességek	Cukorkák, rágógumik	Drazsék
Alapvető élelmiszerek	Cukorkák, rágógumik és egyéb édességek	Cukorkák, rágógumik	Leheletfrissítő, légúttisztító cukorkák
Alapvető élelmiszerek	Ételízesítés	Folyékony fűszerek	Paprikakrém és üveges paprika
Alapvető élelmiszerek	Nemzetközi konyha	Távol keleti konyha	Indiai, vietnámi és thai konyha
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Lisztek, panírmorzsák	Egyéb liszt
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Puding- és fagylaltporok	Vanília ízű puding- és fagylaltporok
Alapvető élelmiszerek	Lekvár, méz és mogyorókrém	Lekvárok	Bogyós gyümölcslekvárok
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Édes kekszek	Prémium kekszek
Alapvető élelmiszerek	Rágcsálnivalók, chips	Popcorn	Popcorn
Alapvető élelmiszerek	Olaj, ecet	Olaj	Olívaolajok
Alapvető élelmiszerek	Só és Cukor	Só és Cukor	Só
Alapvető élelmiszerek	Rágcsálnivalók, chips	Olajos magvak	Kesudió, pisztácia, mandula
Alapvető élelmiszerek	Rágcsálnivalók, chips	Chips és burgonyaszirom	Tortilla chips és mártogatós
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Reszelt és darált magvak sütéshez
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Levestészták	Cérnametélt
Alapvető élelmiszerek	Lekvár, méz és mogyorókrém	Mogyorókrémek	Mogyorókrémek
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Lisztek, panírmorzsák	Panírmorzsák
Alapvető élelmiszerek	Nemzetközi konyha	Nyugati konyha	Nyugati konyha
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Édes paprika
Alapvető élelmiszerek	Rágcsálnivalók, chips	Chips és burgonyaszirom	Puffasztott snackek és krékerek
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Durumtészták	Durumtészták
Alapvető élelmiszerek	Rágcsálnivalók, chips	Olajos magvak	Mag mix
Alapvető élelmiszerek	Konzervek, olívabogyók	Zöldségkonzervek	Paradicsom
Alapvető élelmiszerek	Nemzetközi konyha	Olasz konyha	Olasz konyha
Alapvető élelmiszerek	Nemzetközi konyha	Távol keleti konyha	Japán, kínai konyha
Alapvető élelmiszerek	Ételízesítés	Ételízesítők	Ételízesítők
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Nem durum tészták	Tojásos tészták
Alapvető élelmiszerek	Szószok, mártások, poralapok	Szószok, mártások	Barbecue, Chili és Worchester szószok
Alapvető élelmiszerek	Rágcsálnivalók, chips	Olajos magvak	Napraforgómag és tökmag
Alapvető élelmiszerek	Szószok, mártások, poralapok	Szószok, mártások	Édes-savanyú mártások
Alapvető élelmiszerek	Cukorkák, rágógumik és egyéb édességek	Cukorkák, rágógumik	Egyéb cukorkák
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Rizs	Hosszúszemű rizs
Alapvető élelmiszerek	Csokoládék	Táblás étcsokoládék	Prémium táblás étcsokoládék
Alapvető élelmiszerek	Ételízesítés	Folyékony fűszerek	Gulyás- és pörköltkrém
Alapvető élelmiszerek	Rágcsálnivalók, chips	Sós kekszek, sós pálcikák és krékerek	Kétszersült snackek
Alapvető élelmiszerek	Rágcsálnivalók, chips	Olajos magvak	Földimogyoró
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Rizs	Kerekszemű rizs
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Édes kekszek	Mártott kekszek
Alapvető élelmiszerek	Ételízesítés	Fűszerkeverékek, gyorspácok	Grill fűszermixek
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Gyógynövény fűszerek
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Mazsola, cukrozott vagy aszalt gyümölcsök
Alapvető élelmiszerek	Rágcsálnivalók, chips	Olajos magvak	Egyéb magvak
Alapvető élelmiszerek	Szószok, mártások, poralapok	Salátaöntetek	Salátaöntetek
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Marcipán
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Tortadekoráció
Alapvető élelmiszerek	Rágcsálnivalók, chips	Olajos magvak	Olajos magvak bundában
Alapvető élelmiszerek	Ételízesítés	Fűszerkeverékek, gyorspácok	Fűszerkeverékek szárnyasokhoz
Alapvető élelmiszerek	Csokoládék	Táblás tejcsokoládék	Egyéb táblás tejcsokoládék
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Levestészták	Csigatészta
Alapvető élelmiszerek	Instant ételalapok, levesporok	Instant levesporok	Instant krém- és zöldséglevesporok
Alapvető élelmiszerek	Olaj, ecet	Olaj	Étolajok
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Vaniliás cukor
Alapvető élelmiszerek	Instant ételalapok, levesporok	Leveskockák	Gulyásleveskocka és pörköltalap
Alapvető élelmiszerek	Csokoládék	Csokoládészeletek	Étcsokoládészeletek
Alapvető élelmiszerek	Nemzetközi konyha	Mexikói és amerikai konyha	Mexikói és amerikai konyha
Alapvető élelmiszerek	Szószok, mártások, poralapok	Alaplevek	Alaplevek
Alapvető élelmiszerek	Csokoládék	Csokoládészeletek	Kókuszos szeletek
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Paprika
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Sütőpor, élesztő
Alapvető élelmiszerek	Instant ételalapok, levesporok	Instant ételalapok	Egyéb instant ételalapok
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Lisztek, panírmorzsák	Kenyérliszt
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Zselatin
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Bors
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Ostyák, nápolyik	Parány
Alapvető élelmiszerek	Ételízesítés	Fűszerkeverékek, gyorspácok	Egyéb fűszerkeverékek
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Durumtészták	Lasagne és teljes kiörlésű tészták
Alapvető élelmiszerek	Lekvár, méz és mogyorókrém	Lekvárok	Egyéb lekvárok
Alapvető élelmiszerek	Cukorkák, rágógumik és egyéb édességek	Ajándékkosarak	Ajándékkosarak
Alapvető élelmiszerek	Sütés-főzés hozzávalók	Sütés, befőzés alapanyagok	Cukormázak, tortabevonók
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Egyéb fűszerek
Alapvető élelmiszerek	Ételízesítés	Fűszerkeverékek, gyorspácok	Fűszerkeverékek sertéshúshoz
Alapvető élelmiszerek	Instant ételalapok, levesporok	Instant ételalapok	Instant krumplipürék
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Rizs	Főzőtasakos, hosszúszemű rizs
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Levestészták	Kruton
Alapvető élelmiszerek	Instant ételalapok, levesporok	Instant ételalapok	Instant tészta leveshez
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Fahéj
Alapvető élelmiszerek	Nemzetközi konyha	Távol keleti konyha	Távol keleti konyha
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Babérlevél
Alapvető élelmiszerek	Ételízesítés	Fűszerkeverékek, gyorspácok	Nemzetközi konyha fűszerkeverékei
Alapvető élelmiszerek	Ételízesítés	Klasszikus fűszerek	Kömény
Alapvető élelmiszerek	Ételízesítés	Folyékony fűszerek	Fokhagyma-, hagyma- és grillkrémek
Alapvető élelmiszerek	Gabona- és kukoricapelyhek, müzli	Gabonapehely- és müzliszeletek	Müzliszeletek
Alapvető élelmiszerek	Csokoládék	Táblás étcsokoládék	Egyéb táblás étcsokoládék
Alapvető élelmiszerek	Csokoládék	Csokoládészeletek	Mogyorós tejcsokoládészeletek
Alapvető élelmiszerek	Kekszek, piskóták, nápolyik	Édes kekszek	Kekszek gyerekeknek
Alapvető élelmiszerek	Rizs, tészta, hüvelyesek, egyéb köretek	Nem durum tészták	Tojás nélküli tészták
