index,id,name,prog_id,parent_id,level,path,path_ids,is_leaf,is_root,status,product_count,child_count
0,614,Alapvető élelmiszerek,alapveto-elelmiszerek,,1,Alapvető élelmiszerek,614,False,True,y,552,13
1,553,Alkoholos italok,alkoholos-italok,,1,Alkoholos italok,553,False,True,y,133,8
2,694,Baba,baba,,1,Baba,694,False,True,y,34,2
3,560,Fagyasztott élelmiszer,fagyasztott-elelmiszer,,1,Fagyasztott élelmiszer,560,False,True,y,221,6
4,587,Háztartás,haztartas,,1,Háztartás,587,False,True,y,200,10
5,771,"Hús, hal, felvágott",hus-hal-felvagott,,1,"Hús, hal, felvágott",771,False,True,y,239,3
6,745,Italok,italok,,1,Italok,745,False,True,y,154,9
7,1127,Középső sor,kozepso-sor,,1,Középső sor,1127,True,True,y,71,0
8,790,Nassolnivalók,nassolnivalok,,1,Nassolnivalók,790,False,True,y,375,6
9,532,Pékáru,pekaru,,1,Pékáru,532,False,True,y,119,5
10,708,"Szépség, egészség",szepseg-egeszseg,,1,"Szépség, egészség",708,False,True,y,184,9
11,505,"Tejtermék, tojás",tejtermek-tojas,,1,"Tejtermék, tojás",505,False,True,y,394,11
12,1234,Vegetáriánus & vegán,vegetarianus-vegan,,1,Vegetáriánus & vegán,1234,False,True,y,32,2
13,541,"Zöldség, gyümölcs",zoldseg-gyumolcs,,1,"Zöldség, gyümölcs",541,False,True,y,128,6
14,604,Állateledel és felszerelés,allateledel-es-felszereles,,1,Állateledel és felszerelés,604,False,True,y,89,4
15,615,Cukor és édesítőszerek,cukor-es-edesitoszerek,614,2,Alapvető élelmiszerek > Cukor és édesítőszerek,614|615,False,False,y,8,4
16,668,Instant ételek,instant-etelek,614,2,Alapvető élelmiszerek > Instant ételek,614|668,False,False,y,40,4
17,653,"Konzervek, savanyúságok",konzervek,614,2,"Alapvető élelmiszerek > Konzervek, savanyúságok",614|653,False,False,y,88,7
18,688,"Kávé, tea, italpor",kave-tea-italpor,614,2,"Alapvető élelmiszerek > Kávé, tea, italpor",614|688,False,False,y,78,8
19,843,Készételek,keszetelek4,614,2,Alapvető élelmiszerek > Készételek,614|843,False,False,y,75,2
20,634,"Köretek, tészták",koretek-tesztak,614,2,"Alapvető élelmiszerek > Köretek, tészták",614|634,False,False,y,35,7
21,659,"Lekvár, méz, krém",lekvar-mez-krem,614,2,"Alapvető élelmiszerek > Lekvár, méz, krém",614|659,False,False,y,22,3
22,620,"Liszt, dara, panírmorzsa",liszt-dara-panirmorzsa,614,2,"Alapvető élelmiszerek > Liszt, dara, panírmorzsa",614|620,False,False,y,12,7
23,641,Olaj és ecet,olaj-es-ecet,614,2,Alapvető élelmiszerek > Olaj és ecet,614|641,False,False,y,14,11
24,848,"Reggeliző- pehely, müzli",reggelizo-pehely-muzli,614,2,"Alapvető élelmiszerek > Reggeliző- pehely, müzli",614|848,False,False,y,65,5
25,681,"Szószok, mártások",szoszok-martasok,614,2,"Alapvető élelmiszerek > Szószok, mártások",614|681,False,False,y,48,8
26,673,"Só, fűszer, ételízesítők",etelizesites,614,2,"Alapvető élelmiszerek > Só, fűszer, ételízesítők",614|673,False,False,y,40,6
27,926,Sütés-főzés,sutes-fozes,614,2,Alapvető élelmiszerek > Sütés-főzés,614|926,False,False,y,27,7
28,977,Egyéb alkoholos italok,egyeb-alkoholos-italok,553,2,Alkoholos italok > Egyéb alkoholos italok,553|977,True,False,y,3,0
29,554,Fehér bor,feher-bor,553,2,Alkoholos italok > Fehér bor,553|554,False,False,y,33,4
30,871,Likőr,likor,553,2,Alkoholos italok > Likőr,553|871,True,False,y,7,0
31,559,"Pezsgő, és habzó bor",pezsgoes-habzo-bor,553,2,"Alkoholos italok > Pezsgő, és habzó bor",553|559,False,False,y,8,3
32,555,Rosé bor,rose-bor,553,2,Alkoholos italok > Rosé bor,553|555,False,False,y,9,4
33,557,"Sör, koktél, gyümölcsbor",sor-koktel-gyumolcsbor,553,2,"Alkoholos italok > Sör, koktél, gyümölcsbor",553|557,False,False,y,30,5
34,558,Tömény,tomeny,553,2,Alkoholos italok > Tömény,553|558,False,False,y,22,9
35,556,Vörös bor,voros-bor,553,2,Alkoholos italok > Vörös bor,553|556,False,False,y,21,4
36,701,Babaápolás,babaapolas,694,2,Baba > Babaápolás,694|701,False,False,y,10,4
37,695,"Babaétel, ital",babaetel-ital,694,2,"Baba > Babaétel, ital",694|695,False,False,y,24,5
38,568,Hal,hal,560,2,Fagyasztott élelmiszer > Hal,560|568,False,False,y,13,4
39,564,Hús,hus,560,2,Fagyasztott élelmiszer > Hús,560|564,False,False,y,20,4
40,579,"Jégkrémek, desszertek",jegkremek-desszertek,560,2,"Fagyasztott élelmiszer > Jégkrémek, desszertek",560|579,False,False,y,94,4
41,576,Készételek,keszetelek,560,2,Fagyasztott élelmiszer > Készételek,560|576,False,False,y,26,3
42,573,"Pizzák, sütemények",pizzak-sutemenyek,560,2,"Fagyasztott élelmiszer > Pizzák, sütemények",560|573,False,False,y,28,3
43,561,"Zöldségek, gyümölcsök",zoldsegek-gyumolcsok,560,2,"Fagyasztott élelmiszer > Zöldségek, gyümölcsök",560|561,False,False,y,40,4
44,1124,Egyéb háztartási cikkek,egyeb-haztartasi-cikkek-,587,2,Háztartás > Egyéb háztartási cikkek,587|1124,True,False,y,25,0
45,912,Háztartási csomagolók,haztartasi-csomagolok,587,2,Háztartás > Háztartási csomagolók,587|912,True,False,y,10,0
46,1036,Háztartási papíráru,haztartasi-papiraru,587,2,Háztartás > Háztartási papíráru,587|1036,False,False,y,28,3
47,914,Légfrissítők,legfrissitok,587,2,Háztartás > Légfrissítők,587|914,False,False,y,21,3
48,593,Mosogatószer,mosogatoszer,587,2,Háztartás > Mosogatószer,587|593,False,False,y,19,2
49,588,Mosószerek,mososzerek,587,2,Háztartás > Mosószerek,587|588,False,False,y,31,5
