index,id,name,slug,parent_id,level,product_count,discounted_count,child_count,is_leaf,path,path_ids,thumbnail_url,mobile_image_url
0,0,root,,,-1,36811,531,24,false,,0,,
1,15638,Auchan Madárka Fanshop,auchan-madarka-fanshop,0,0,40,0,1,false,Auchan Madárka Fanshop,0|15638,,
2,15641,Madárka Világa,madarka-vilaga,15638,1,40,0,2,false,Auchan Madárka Fanshop > Madárka Világa,0|15638|15641,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_thumbnail/category/35217026/Frame%201452.png,
3,15644,Auchan Madárka ruházati kollekció,auchan-madarka-ruhazati-kollekcio,15641,2,35,0,2,false,Auchan Madárka Fanshop > Madárka Világa > Auchan Madárka ruházati kollekció,0|15638|15641|15644,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_thumbnail/category/35217029/Frame%201453.png,
4,15650,Felnőtt ruházat,felnott-ruhazat,15644,3,10,0,0,true,Auchan Madárka Fanshop > Madárka Világa > Auchan Madárka ruházati kollekció > Felnőtt ruházat,0|15638|15641|15644|15650,,
5,15653,Gyermek ruházat,gyermek-ruhazat,15644,3,25,0,0,true,Auchan Madárka Fanshop > Madárka Világa > Auchan Madárka ruházati kollekció > Gyermek ruházat,0|15638|15641|15644|15653,,
6,15647,Auchan Madárka otthon kollekció,auchan-madarka-otthon-kollekcio,15641,2,5,0,2,false,Auchan Madárka Fanshop > Madárka Világa > Auchan Madárka otthon kollekció,0|15638|15641|15647,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_thumbnail/category/35217032/Frame%201454.png,
7,15656,Bögre,bogre,15647,3,3,0,0,true,Auchan Madárka Fanshop > Madárka Világa > Auchan Madárka otthon kollekció > Bögre,0|15638|15641|15647|15656,,
8,15659,Otthon melege,otthon-melege,15647,3,2,0,0,true,Auchan Madárka Fanshop > Madárka Világa > Auchan Madárka otthon kollekció > Otthon melege,0|15638|15641|15647|15659,,
9,14276,Medence és kiegészítők,medence-es-kiegeszitok,0,0,281,3,1,false,Medence és kiegészítők,0|14276,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/17610833/Kert%2C%20szabadido%CC%8B%2C%20medence.png
10,10743,"Medence, strandjáték",medence-strandjatek,14276,1,281,3,2,false,"Medence és kiegészítők > Medence, strandjáték",0|14276|10743,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_thumbnail/category/28660226/Medence%2C%20strandj%C3%A1t%C3%A9k.webp,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/28660223/Medence%2C%20strandj%C3%A1t%C3%A9k.webp
11,9480,Medence és kiegészítők,medence-es-kiegeszitok,10743,2,171,3,8,false,"Medence és kiegészítők > Medence, strandjáték > Medence és kiegészítők",0|14276|10743|9480,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_thumbnail/category/28660295/Medence%20%C3%A9s%20kieg%C3%A9sz%C3%ADt%C5%91k.webp,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/28660298/Medence%20%C3%A9s%20kieg%C3%A9sz%C3%ADt%C5%91k.webp
12,7593,Merev falú családi medencék,merev-falu-csaladi-medencek,9480,3,17,1,0,true,"Medence és kiegészítők > Medence, strandjáték > Medence és kiegészítők > Merev falú családi medencék",0|14276|10743|9480|7593,,
13,9207,"Masszázsmedencék, jakuzzi",masszazsmedencek-jakuzzi,9480,3,23,1,0,true,"Medence és kiegészítők > Medence, strandjáték > Medence és kiegészítők > Masszázsmedencék, jakuzzi",0|14276|10743|9480|9207,,
14,14272,Masszázsmedence kiegészítők,masszazsmedence-kiegeszitok,9480,3,11,1,0,true,"Medence és kiegészítők > Medence, strandjáték > Medence és kiegészítők > Masszázsmedence kiegészítők",0|14276|10743|9480|14272,,
15,12098,Puhafalú medencék,puhafalu-medencek,9480,3,5,0,0,true,"Medence és kiegészítők > Medence, strandjáték > Medence és kiegészítők > Puhafalú medencék",0|14276|10743|9480|12098,,
16,9474,"Családi medencék, pancsolók",csaladi-medencek-pancsolok,9480,3,26,0,0,true,"Medence és kiegészítők > Medence, strandjáték > Medence és kiegészítők > Családi medencék, pancsolók",0|14276|10743|9480|9474,,
17,11596,Medence alátét és takarók,medence-alatet-es-takarok,9480,3,19,0,0,true,"Medence és kiegészítők > Medence, strandjáték > Medence és kiegészítők > Medence alátét és takarók",0|14276|10743|9480|11596,,
18,11599,Szűrők és karbantartási eszközök,szurok-es-karbantartasi-eszkozok,9480,3,42,0,0,true,"Medence és kiegészítők > Medence, strandjáték > Medence és kiegészítők > Szűrők és karbantartási eszközök",0|14276|10743|9480|11599,,
