index,category_id,name,display_name,url_category_path,parent_category_id,parent_url_category_path,depth,amounts,child_count,is_leaf,path,path_ids,image_url
0,Élelmiszer,Élelmiszer,Élelmiszer,élelmiszer,,,0,9890,9,false,Élelmiszer,Élelmiszer,https://cdn.metro-group.com/hu/food.png
1,húsHal,"Hús, hal","Hús, hal",élelmiszer/hús-hal,Élelmiszer,élelmiszer,1,705,4,false,"Élelmiszer > Hús, hal",Élelmiszer|húsHal,https://cdn.metro-group.com/hu/50210_kreati%CC%81vok_-_mshop_terme%CC%81kkatego%CC%81ria_-_hu%CC%81s_hal_-_1000x1000_v1.png
2,frissHús,Friss hús,Friss hús,élelmiszer/hús-hal/friss-hús,húsHal,élelmiszer/hús-hal,2,298,7,false,"Élelmiszer > Hús, hal > Friss hús",Élelmiszer|húsHal|frissHús,https://cdn.metro-group.com/hu/hu_pim_163283001001_01.png
3,frissCsirkehús,Friss csirke,Friss csirke,élelmiszer/hús-hal/friss-hús/friss-csirke,frissHús,élelmiszer/hús-hal/friss-hús,3,47,0,true,"Élelmiszer > Hús, hal > Friss hús > Friss csirke",Élelmiszer|húsHal|frissHús|frissCsirkehús,https://cdn.metro-group.com/hu/hu_pim_43357001001_05.png
4,frissBaromfihús,Friss baromfi,Friss baromfi,élelmiszer/hús-hal/friss-hús/friss-baromfi,frissHús,élelmiszer/hús-hal/friss-hús,3,44,0,true,"Élelmiszer > Hús, hal > Friss hús > Friss baromfi",Élelmiszer|húsHal|frissHús|frissBaromfihús,https://cdn.metro-group.com/hu/hu_pim_43341001001_01.png
5,frissSertes,Friss sertés,Friss sertés,élelmiszer/hús-hal/friss-hús/friss-sertés,frissHús,élelmiszer/hús-hal/friss-hús,3,88,0,true,"Élelmiszer > Hús, hal > Friss hús > Friss sertés",Élelmiszer|húsHal|frissHús|frissSertes,https://cdn.metro-group.com/hu/hu_pim_36574001001_01.png
6,frissMarha,Friss marha,Friss marha,élelmiszer/hús-hal/friss-hús/friss-marha,frissHús,élelmiszer/hús-hal/friss-hús,3,93,0,true,"Élelmiszer > Hús, hal > Friss hús > Friss marha",Élelmiszer|húsHal|frissHús|frissMarha,https://cdn.metro-group.com/hu/hu_pim_158694001001_02.png
7,frissBorjúhús,Friss borjú,Friss borjú,élelmiszer/hús-hal/friss-hús/friss-borjú,frissHús,élelmiszer/hús-hal/friss-hús,3,19,0,true,"Élelmiszer > Hús, hal > Friss hús > Friss borjú",Élelmiszer|húsHal|frissHús|frissBorjúhús,https://cdn.metro-group.com/hu/hu_pim_78340001001_01.png
8,frissBárányJuhKecskehús,"Friss bárány, juh, kecske","Friss bárány, juh, kecske",élelmiszer/hús-hal/friss-hús/friss-bárány-juh-kecske,frissHús,élelmiszer/hús-hal/friss-hús,3,3,0,true,"Élelmiszer > Hús, hal > Friss hús > Friss bárány, juh, kecske",Élelmiszer|húsHal|frissHús|frissBárányJuhKecskehús,https://cdn.metro-group.com/hu/hu_pim_157959001001_02.png
9,frissVadhús,Friss vadhús,Friss vadhús,élelmiszer/hús-hal/friss-hús/friss-vadhús,frissHús,élelmiszer/hús-hal/friss-hús,3,4,0,true,"Élelmiszer > Hús, hal > Friss hús > Friss vadhús",Élelmiszer|húsHal|frissHús|frissVadhús,https://cdn.metro-group.com/hu/hu_pim_5737001001_02.png
