index,name,slug,id,parent_slug,depth,subcategories
2,Grill,grill-2,ea1df165239e7886615ade8b,,0,6
3,Hús,hus-3,2f79badb73df40e9fd056359,grill-2,1,0
4,"Zöldség, savanyúság",zoldseg-savanyusag-4,38e27de01d47369708784433,grill-2,1,0
5,"Grillsajtok, tofu",grillsajtok-tofu-5,10e703d83f9c882749e8659f,grill-2,1,0
6,"Szószok, öntetek",szoszok-ontetek-6,ea4fae1647fd7b65b286567f,grill-2,1,0
7,Fűszerezés,fuszerezes-7,b303bdd25e2eba5f276cee77,grill-2,1,0
8,Pékáru,pekaru-8,e5da3275f5031b4775ef9bb7,grill-2,1,0
9,Fánk,fank-9,5835e62f83cbf2db56cc7225,,0,0
50,Gyümölcs,gyumolcs-50,8ad263c0229fa9e2632d291f,,0,9
51,Alma és körte,alma-es-korte-51,21b6170a38ef491c05eb0698,gyumolcs-50,1,0
52,Szőlő és bogyós gyümölcsök,szolo-es-bogyos-gyumolcsok-52,664533e9b8af9fcd4ff168ed,gyumolcs-50,1,0
53,Dinnyék,dinnyek-53,8bba9478e0a4f19ddbf1a6d7,gyumolcs-50,1,0
54,Egzotikus és déligyümölcs,egzotikus-es-deligyumolcs-54,5d28daac5c195efdb0a41c82,gyumolcs-50,1,0
55,Citrusfélék,citrusfelek-55,ea09f01d74f6587e1e46a264,gyumolcs-50,1,0
56,Csonthéjas gyümölcsök,csonthejas-gyumolcsok-56,bd593bd92367619b38d5b3fc,gyumolcs-50,1,0
57,Aszalt gyümölcs,aszalt-gyumolcs-57,2138ff57e1ddbda880e03bc8,gyumolcs-50,1,0
58,Magvak,magvak-58,60cd12318f0b23cc1344404d,gyumolcs-50,1,0
59,Friss gyümölcslevek,friss-gyumolcslevek-59,4a2d3e04c0db954595308f6e,gyumolcs-50,1,0
60,Zöldség,zoldseg-60,340845b5bee109e640f6084e,,0,11
61,Paradicsom,paradicsom-61,0a067159e86748cbe794767a,zoldseg-60,1,0
