name,barcode_file1,internal_conflict_file1,barcode_file2,internal_conflict_file2,status
1x1 Vitamin C-vitamin 500 mg narancsízű étrend-kiegészítő rágótabletta 60 x 1250 mg (75 g),,,5999883354650.0,False,only_in_file2
"1x1 Vitamin D3-vitamin 4000 NE Forte lime ízű étrend-kiegészítő rágótabletta 100 x 0,6 g (60 g)",,,5999561572888.0,False,only_in_file2
"1x1 Vitamin D₃-vitamin 400 NE narancs ízű étrend-kiegészítő rágótabletta 90 x 850 mg (76,5 g)",,,5999561573243.0,False,only_in_file2
"1x1 Vitamin MultiKid gyümölcsízű étrend-kiegészítő gumivitamin 50 x 4,5 g (225 g)",,,5999561571553.0,False,only_in_file2
3Bit tejcsokoládéval bevont keksz szelet mogyoróízű töltelékkel 46 g,,,7622201692568.0,False,only_in_file2
7001 jódozott párolt finom só 500 g,,,9001880931751.0,False,only_in_file2
7DAYS Double Max croissant kakaós töltelékkel és vanília ízű töltelékkel 80 g,,,7622201389420.0,False,only_in_file2
7DAYS Family Pack croissant kakaós töltelékkel 5 x 37 g (185 g),,,7622201393564.0,False,only_in_file2
7DAYS Max croissant karamellízű töltelékkel 80 g,,,7622202039713.0,False,only_in_file2
7DAYS croissant epres töltelékkel 60 g,,,7622201392215.0,False,only_in_file2
7DAYS croissant kakaós töltelékkel 60 g,,,7622201388409.0,False,only_in_file2
ALL IN natural food Piemont 60 csokoládés mogyorókrém 180 g,,,5999886615635.0,False,only_in_file2
ALPRO mogyoróital 1 l,,,5411188110842.0,False,only_in_file2
Acqua Panna Toscana szénsavmentes természetes ásványvíz 1 l,,,8000815245278.0,False,only_in_file2
After Eight étcsokoládés lapocskák mentol- és narancsízű töltelékkel 200 g,,,7613036912488.0,False,only_in_file2
Alpro Barista gluténmentes zabital hozzáadott vitaminokkal 750 ml,,,5411188139720.0,False,only_in_file2
"Alpro Plant Protein UHT csokoládéízű szójaital hozzáadott kalciummal, B2- és D2-vitaminnal 1 l",,,5411188130055.0,False,only_in_file2
"Alpro Plant Protein UHT vaníliaízű szójaital hozzáadott kalciummal, B2-, B12- és D2-vitaminnal 1 l",,,5411188140368.0,False,only_in_file2
Alpro Plant Protein csokoládéízű szójaital hozzáadott kalciummal és vitaminokkal 750 ml,,,5411188139362.0,False,only_in_file2
Alpro UHT piros gyümölcsös szójaital hozzáadott kalciummal és vitaminokkal 1 l,,,5411188116844.0,False,only_in_file2
Alpro cukormentes zabital kalciummal és vitaminokkal 1 l,,,5411188124689.0,False,only_in_file2
Alpro szójaital hozzáadott kalciummal és vitaminokkal 1 l,,,5411188543381.0,False,only_in_file2
Alpro vaníliaízű szójaital hozzáadott kalciummal és vitaminokkal 1 l,,,5411188081852.0,False,only_in_file2
Amanda Tradicional Yerba Mate 500 g,,,7792710000182.0,False,only_in_file2
Andante kerek piskóta 130 g,,,8588000001767.0,False,only_in_file2
Andante mini piskóta 120 g,,,8588000001637.0,False,only_in_file2
Andante tejes-kakaós bevonómasszába félig mártott keksz 100 g,,,8584004130267.0,False,only_in_file2
"Angyal Borászat Csoda 5 Puttonyos Tokaji Aszú édes fehér borkülönlegesség 12,5% 0,5 l",,,5999861381623.0,False,only_in_file2
"Angyal Borászat Csoda Tokaji Aszú 6 puttonyos édes fehér tokaji borkülönlegesség 9,5% 0,5 l",,,5999861381364.0,False,only_in_file2
