barcode,name_file1,internal_conflict_file1,name_file2,internal_conflict_file2,status
11210006508.0,,,Tabasco Habanero csípős szósz 60 ml,False,only_in_file2
15999033890974.0,,,SPAR krémtúró 90 g,False,only_in_file2
2002630970072.0,,,REGNUM sertésoldalas tálcás,False,only_in_file2
2003123710038.0,,,REGNUM sertéscomb 4 szelet tálcás,False,only_in_file2
2003123720006.0,,,REGNUM sertéstarja 4 szelet tálcás,False,only_in_file2
2003156140086.0,,,REGNUM sertéskaraj 4 szelet tálcás,False,only_in_file2
2003192590074.0,,,REGNUM sertéscomb tálcás,False,only_in_file2
2003460660058.0,,,S-Budget sertés comb csont nélkül tálcás,False,only_in_file2
2003572050044.0,,,Prémium sertés karaj csont nélkül 4 szelet tálcás,False,only_in_file2
2003603650090.0,,,REGNUM csevapcsicsi 400 g,False,only_in_file2
2003614720034.0,,,REGNUM sertés csontos karaj szűzpecsenye nélkül,False,only_in_file2
2005015980062.0,,,"S-Budget félzsíros, félkemény darabolt trappista sajt",False,only_in_file2
2006027830017.0,,,"KICK THE RULES Eper likőr 15% 0,7 l",False,only_in_file2
3033491917141.0,,,Danette pisztácia- és csokoládéízű puding 4 x 125 g (500 g),False,only_in_file2
3046920010047.0,,,Lindt Excellence extra keserű csokoládé 78% 100 g,False,only_in_file2
3046920010382.0,,,Lindt Excellence tejcsokoládé karamelldarabokkal és tengeri sóval 100 g,False,only_in_file2
3046920020657.0,,,Lindt Excellence étcsokoládé karamellizált mogyoróval és karamell darabokkal 100 g,False,only_in_file2
3046920020763.0,,,Lindt Excellence étcsokoládé karamell darabokkal és tengeri sóval 100 g,False,only_in_file2
3046920021142.0,,,Lindt Smooth 51% kakaótartalmú főzőcsokoládé 200 g,False,only_in_file2
3046920022118.0,,,Lindt Excellence étcsokoládé ropogós ostya darabokkal 100 g,False,only_in_file2
3046920022125.0,,,Lindt Excellence étcsokoládé ropogós ostya darabokkal és karamell darabokkal 100 g,False,only_in_file2
3046920045315.0,,,Lindt Sensation Fruit Raspberry & Cranberry gyümölcsdarabokkal töltött keserű csokoládébonbon 150 g,False,only_in_file2
3046920047852.0,,,Lindt finom tejcsokoládé ropogós töltelékkel 140 g,False,only_in_file2
