name,barcode_file1,internal_conflict_file1,barcode_file2,internal_conflict_file2,status
3bit Tejcsokoládéval Bevont Keksz Szelet Mogyoróízű Töltelékkel 46 G,7622201692568.0,False,,,only_in_file1
7days Croissant Epres Töltelékkel 60 G,7622201392215.0,False,,,only_in_file1
7days Croissant Kakaós Töltelékkel 60 G,7622201388409.0,False,,,only_in_file1
7days Double Max Croissant Kakaós Töltelékkel és Vaníliaízű Töltelékkel 80 G,7622201389420.0,False,,,only_in_file1
7days Max Croissant Karamellízű Töltelékkel 80 G,7622202039713.0,False,,,only_in_file1
Alpesi tej felhasználásával készült tejcsokoládé karamellizált kekszdarabkákkal 90g,7622202295133.0,False,,,only_in_file1
"Belvita Erdei Gyümölcsös, Gabonás Keksz 6 X 50 G (300 G)",7622210346735.0,False,,,only_in_file1
"Belvita Kakaós, Gabonás Keksz Csokoládédarabokkal 6 X 50 G (300 G)",7622300443269.0,False,,,only_in_file1
"Bretas zöld magozott olajbogyó 3,90 kg",5200103690756.0,False,,,only_in_file1
Dörmi Csokoládés Krémmel Töltött Puha Piskóta 30 G,3017760524896.0,False,,,only_in_file1
Dörmi Csokoládés Krémmel Töltött Puha Piskóta 5 X 30 G (150 G),7622300731571.0,False,,,only_in_file1
Dörmi Tejes Krémmel Töltött Puha Piskóta 30 G,3017760524797.0,False,,,only_in_file1
"Eduscho Crema Strong szemes, pörkölt kávé 1000 g",4061445292340.0,False,,,only_in_file1
"Eduscho Espresso Classic szemes, pörkölt kávé 1000 g",4061445301745.0,False,,,only_in_file1
Finlandia Redberry vodka és Kinley Pink Aromatic Berry szénsavas üdítőital,5995757007394.0,False,,,only_in_file1
"Fuze Tea szénsavmentes őszibarack és rózsaízű üdítőital fekete tea kivonattal 1,5 l",5000112682465.0,False,,,only_in_file1
Földimogyoró lédig,2002269960024.0,False,,,only_in_file1
Főzőtök lédig,5999562010846.0,False,,,only_in_file1
Győri Pilóta Vaníliás ízű Karika 300 G,7622210079008.0,False,,,only_in_file1
"Győri Édes Csokidarabos Omlós, Mézes Keksz Csokoládédarabokkal 150 G",5998711304522.0,False,,,only_in_file1
"Győri Édes vaníliás ízű, tejes keksz teljes kiőrlésű búzaliszttel és édesítőszerekkel 100 g",7622201457150.0,False,,,only_in_file1
HERZ füstölt-főtt szeletelt csirkemell sonka 90 g,5998003165824.0,False,,,only_in_file1
HERZ szeletelt csemege karaj 90 g,5998003150806.0,False,,,only_in_file1
HERZ szeletelt sült karaj 90 g,5998003135643.0,False,,,only_in_file1
HERZ szeletelt sült sonka 90 g,5998003150790.0,False,,,only_in_file1
Hajdú füstölt grillenyica 200 g,5998207904595.0,False,,,only_in_file1
Hajdú füstölt sült hagymás grillenyica 200 g,5998207923947.0,False,,,only_in_file1
Halls Energy Vitab6 Colaízű Töltetlen Keménycukorka 32 G,57031712.0,False,,,only_in_file1
"Halls Mentol-eukaliptuszízű, Töltetlen Keménycukorka 33,5 G",50985081.0,False,,,only_in_file1
"Jókenyér búzakenyér 0,5 kg",5999880160100.0,False,,,only_in_file1
Jókenyér búzakenyér 1 kg,5999880160117.0,False,,,only_in_file1
Kalifa Medjool szárított magos datolya 190 g,5997956705576.0,False,,,only_in_file1
Kenyértár szeletelt parasztkenyér 500 g,5999028603087.0,False,,,only_in_file1
Korona csiperke gombaszeletek 630 g,5995535040100.0,False,,,only_in_file1
"Lipton Ice Tea Zero csökkentett energiatartalmú, őszibarack ízű szénsavmentes üdítőital 500 ml",5997264103439.0,False,,,only_in_file1
"Lipton Ice Tea csökkentett energiatartalmú, őszibarack ízű szénsavmentes üdítőital 1,5 l",5997264103156.0,False,,,only_in_file1
"Loyd Grog tea málna, méz és szilva ízesítéssel 3 x 30 g (90 g)",5900396032010.0,False,,,only_in_file1
MILKA HAZELNUTS TÁBLÁS CSOKOLÁDÉ 45 g,7622202328961.0,False,,,only_in_file1
MILKA TEJES TÁBLÁS CSOKOLÁDÉ 45 g,7622202323102.0,False,,,only_in_file1
Marlenka mézes torta dióval 100 g,8594071650353.0,False,,,only_in_file1
Milka Alpesi Tej Felhasználásával Készült Tejcsokoládé 90 G,7622202257124.0,False,,,only_in_file1
Milka Alpesi Tej Felhasználásával Készült Tejcsokoládé Eperízű Krémmel Töltve 100 G,7622300291785.0,False,,,only_in_file1
Milka Alpesi Tej Felhasználásával Készült Tejcsokoládé Joghurtos Krémtöltelékkel 100 G,4025700001450.0,False,,,only_in_file1
Milka Alpesi Tej Felhasználásával Készült Tejcsokoládé Tejes Krémtöltelékkel 100 G,7622400719066.0,False,,,only_in_file1
Milka Alpesi Tejcsokoládé Karamellízű Tejes Krémtöltelékkel és Karamellás Töltelékkel 100 G,5998711723491.0,False,,,only_in_file1
Milka Alpesi Tejcsokoládé Meggyízű Tejes Krémtöltelékkel és Meggyes Gyümölcskrémmel 100 G,7622210623317.0,False,,,only_in_file1
Milka Bubbly Cappucino Táblás Csokoládé 97 g,7622202206245.0,False,,,only_in_file1
Milka Bubbly Kókuszos Táblás Csokoládé 97 g,7622202206283.0,False,,,only_in_file1
Milka Choco Brownie Sütemény Alpesi Tejcsokoládéval és Tejcsokoládé Darabokkal 6 Db 150 G,7622210669315.0,False,,,only_in_file1
Milka Choco Wafer Alpesi Tejcsokoládéval Bevont Ostya Kakaós Töltelékkel 5 X 30 G (150 G),7622210818553.0,False,,,only_in_file1
Milka Coconut Waffelini Alpesi Tej Felhasználásával Készült Tejcsokoládéval Töltött Ostya 31 G,7622201421922.0,False,,,only_in_file1
Milka Creme Hazelnut Alpesi Tej Felhasználásával Készült Tejcsokoládé Mogyorós Krémtöltelékkel 85 G,7622202013188.0,False,,,only_in_file1
Milka Favourites vegyes csokoládé válogatás 18 db 159 g,7622201775322.0,False,,,only_in_file1
Milka Happy Birthday Alpesi Tejcsokoládé Praliné Tejes Krémtöltelékkel 20 Db 110 G,7622210597342.0,False,,,only_in_file1
Milka Közepén Puha Kakaós Keksz Alpesi Tej Felhasználásával Készült Tejcsokoládé Darabokkal 156 G,7622210635785.0,False,,,only_in_file1
"Milka Milkinis Alpesi Tejcsokoládé Tejes Krémmel Töltve 8 X 10,94 G (87,5 G)",7622200003938.0,False,,,only_in_file1
Milka Mmmax Alpesi Tej Felhasználásával Készült Tejcsokoládé Egész Mogyoróval 250 G,7622202258077.0,False,,,only_in_file1
Milka Mmmax Oreo Alpesi Tejcsokoládé Vanília ízű Tejes Krémtöltelékkel és Kakaós Keksszel 300 G,7622210277503.0,False,,,only_in_file1
Milka Mmmax Triolade alpesi tejcsokoládé fehércsokoládéval és magas kakaótartalmú csokoládéval 280 g,7622210690852.0,False,,,only_in_file1
Milka Oreo Alpesi Tejcsokoládé Kakaós Kekszdarabokkal és Vaníliaízű Tejes Krémtöltelékkel 100 G,7622300617820.0,False,,,only_in_file1
"Milka Oreo Sandwich Kakaós Kekszek Vaníliaízű, Tejes Krémtöltelékkel Alpesi Tejcsokoládén 92 G",7622210826251.0,False,,,only_in_file1
Milka Singles Mix Alpesi Tejcsokoládé Válogatás 138 G,7622210711472.0,False,,,only_in_file1
Milka Tender Piskótatekercs Tejes Krémtöltelékkel Tejcsokoládéval Mártva 37 G,76222498.0,False,,,only_in_file1
Milka Thank You Alpesi Tejcsokoládé Praliné Kakaós Krémtöltelékkel 110 G,7622210594723.0,False,,,only_in_file1
Milka Tuc Alpesi Tej Felhasználásával Készült Tejcsokoládé Sós Krékerrel 35 G,7622202346354.0,False,,,only_in_file1
Milka Tuc Alpesi Tejcsokoládé Sós Krékerrel 87 G,7622210007476.0,False,,,only_in_file1
Milka Wafelini Tejes Tejcsokoládé 31.5 g,7622202287923.0,False,,,only_in_file1
Milka à La Dessert Au Chocolat Alpesi Tejcsokoládé Habosított Kakaós Töltelékkel 100 G,7622300026752.0,False,,,only_in_file1
"Moments Mini kakaós bevonómasszába mártott, tejes krémmel töltött ostyaszelet 3 x 27 g",8584004061417.0,False,,,only_in_file1
"Nyakas Irsai Olivér száraz fehérbor 11,5% 750 ml",5999509771007.0,False,,,only_in_file1
Oreo Double Creme Vanília ízű Töltelékkel Töltött Kakaós Keksz 157 G,7622210137258.0,False,,,only_in_file1
Oreo Double Creme Vanília ízű Töltelékkel Töltött Kakaós Keksz 170 G,7622210137234.0,False,,,only_in_file1
Oreo Original Vaníliaízű Töltelékkel Töltött Kakaós Keksz 154 G,7622210018922.0,False,,,only_in_file1
Oreo Original Vaníliaízű Töltelékkel Töltött Kakaós Keksz 176 G,7622300444181.0,False,,,only_in_file1
Oreo Original Vaníliaízű Töltelékkel Töltött Kakaós Keksz 44 G,7622210411679.0,False,,,only_in_file1
Oreo Remix Vaníliaízű és Tiramisuízű Töltelékkel Töltött Kakaós Keksz 157 G,7622201388515.0,False,,,only_in_file1
"PINCEMESTER Dunántúli Merlot száraz rosébor 11,5% 750 ml",5999138201388.0,False,,,only_in_file1
Patisszon lédig,2000269670059.0,False,,,only_in_file1
Pepsi Zero colaízű energiamentes szénsavas üdítőital édesítőszerekkel lime ízesítéssel 1 l,5997264104016.0,False,,,only_in_file1
Piros Mogyorós mogyorókrémmel töltött tejcsokoládé egész mogyoróval 40 g,5999860057031.0,False,,,only_in_file1
Piros Mogyorós mogyorókrémmel töltött étcsokoládé egész mogyoróval 40 g,5999860057000.0,False,,,only_in_file1
Piros Mogyorós tejcsokoládé egész mogyoróval 80 g,5999860057253.0,False,,,only_in_file1
Piros Mogyorós étcsokoládé egész mogyoróval 80 g,5999860057697.0,False,,,only_in_file1
Ponnath fehér kolbász 300 g,4000930511054.0,False,,,only_in_file1
RiBella Hummus csicseriborsó krém karamellizált hagyma 200 g,8606011898968.0,False,,,only_in_file1
S-Budget Sülve-Főve Csirke friss csirke belső mellfilé 500 g,5999033893671.0,False,,False,only_in_file1
SPAR Protein Pancake ízesítetlen palacsintapor 40 g,5999033880947.0,False,,,only_in_file1
"SPAR csokoládé, mogyoróízű, vanília, fehér csokoládé ízű jégkrém epres öntettel 1650 ml",3856021201332.0,False,,,only_in_file1
SPAR tepertős hatszög,5998377308148.0,False,,,only_in_file1
Schär gluténmentes édes kiflik 2 x 100 g  (200 g),8008698001059.0,False,,,only_in_file1
Tchibo Cafissimo Barista Espresso Brasil kávékapszula 10 db 80 g,4046234835014.0,False,,,only_in_file1
