barcode,name_file1,internal_conflict_file1,name_file2,internal_conflict_file2,status
11210000018.0,Tabasco csípős chilipaprika szósz 60 ml,False,Tabasco csípős chilipaprika szósz 60 ml,False,match
11210009387.0,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,False,Tabasco mérsékelten csípős Jalapeno zöldpaprikás szósz 60 ml,False,match
11210694002.0,"Tabasco édes, csípős szósz 315 g",False,"Tabasco édes, csípős szósz 315 g",False,match
11210697003.0,Tabasco Sriracha csípős szósz 256 ml,False,Tabasco Sriracha csípős szósz 256 ml,False,match
15999033886984.0,"S-Budget félzsíros, félkemény trappista sajt",False,"S-Budget félzsíros, félkemény trappista sajt",False,match
15999033890455.0,SPAR PREMIUM norvég lazacfilé,False,SPAR PREMIUM norvég lazacfilé,False,match
15999033890462.0,SPAR PREMIUM lazacpisztráng filé,False,SPAR PREMIUM lazacpisztráng filé,False,match
15999033890486.0,SPAR PREMIUM aranydurbincs filé,False,SPAR PREMIUM aranydurbincs filé,False,match
15999033890493.0,SPAR PREMIUM vörös tonhalfilé,False,SPAR PREMIUM vörös tonhalfilé,False,match
15999139403238.0,"SPAR Hazai Szeretem füstölt, nyers, gyorspácolt, kötözött bőrös csont nélküli sertéslapocka",False,"SPAR Hazai Szeretem füstölt, nyers, gyorspácolt, kötözött bőrös csont nélküli sertéslapocka",False,match
16229000653.0,Aroy-D mangó szeletek cukrozott lében 425 g,False,Aroy-D mangó szeletek cukrozott lében 425 g,False,match
2000269670059.0,Patisszon lédig,False,Patisszon lédig,False,match
2002141120010.0,Gallicoop pulykanyak,False,Gallicoop pulykanyak,False,match
2002321340016.0,Friss hízott libamáj,False,Friss hízott libamáj,False,match
2002427820016.0,Friss hízott liba mell,False,Friss hízott liba mell,False,match
2002630970010.0,REGNUM sertésoldalas tálcás,False,REGNUM sertésoldalas tálcás,False,match
2003138860018.0,"SPAR BBQ darabolt sertés oldalas, pikáns fűszerezésű olajos marinádban",False,"SPAR BBQ darabolt sertés oldalas, pikáns fűszerezésű olajos marinádban",False,match
2003460630037.0,S-Budget sertés lapocka csont nélkül tálcás,False,S-Budget sertés lapocka csont nélkül tálcás,False,match
2003460660034.0,S-Budget sertés comb csont nélkül tálcás,False,S-Budget sertés comb csont nélkül tálcás,False,match
2003556140013.0,REGNUM sertéscsülök csont nélkül,False,REGNUM sertéscsülök csont nélkül,False,match
2003556150012.0,"SPAR BBQ szeletelt sertés tarja, gyorspácolt, csont nélkül, magyaros fűszerezésű olajos marinádban",False,"SPAR BBQ szeletelt sertés tarja, gyorspácolt, csont nélkül, magyaros fűszerezésű olajos marinádban",False,match
2003572090019.0,REGNUM natúr marha steak tálcás,False,REGNUM natúr marha steak tálcás,False,match
2003572140011.0,REGNUM marha gulyáshús tálcás,False,REGNUM marha gulyáshús tálcás,False,match
2003572180017.0,REGNUM szeletelt marhalábszár,False,REGNUM szeletelt marhalábszár,False,match
2003603600019.0,SPAR BBQ gyros csíkozott sertéshús fűszeres olajos marinádban,False,SPAR BBQ gyros csíkozott sertéshús fűszeres olajos marinádban,False,match
2003611150018.0,Édesburgonya lédig,False,Édesburgonya lédig,False,match
2003611170016.0,Gyömbér lédig,False,Gyömbér lédig,False,match
2003650030012.0,S-Budget bogrács csomag,False,S-Budget bogrács csomag,False,match
2003785510014.0,"SPAR BBQ szeletelt mester sertés tarja, csont nélkül, pikáns fűszerezésű olajos marinádban",False,"SPAR BBQ szeletelt mester sertés tarja, csont nélkül, pikáns fűszerezésű olajos marinádban",False,match
2003947950016.0,"SPAR BBQ szeletelt sertés tarja, csont nélkül, hagymás fűszerezésű olajos marinádban",False,"SPAR BBQ szeletelt sertés tarja, csont nélkül, hagymás fűszerezésű olajos marinádban",False,match
2003947960015.0,"SPAR BBQ szeletelt sertés tarja, csont nélkül, fokhagymás fűszerezésű olajos marinádban",False,"SPAR BBQ szeletelt sertés tarja, csont nélkül, fokhagymás fűszerezésű olajos marinádban",False,match
2003963030013.0,REGNUM sertés pörkölthús tálcás,False,REGNUM sertés pörkölthús tálcás,False,match
2004000650010.0,REGNUM T-Bone steak tálcás,False,REGNUM T-Bone steak tálcás,False,match
2004000660019.0,REGNUM Rib-eye steak tálcás,False,REGNUM Rib-eye steak tálcás,False,match
2004053700021.0,S-Budget füstölt-főtt császárszalonna,False,S-Budget füstölt-főtt császárszalonna,False,match
2004097440013.0,"SPAR Hazai Szeretem füstölt, főtt gyorspácolt bőrös, csont nélküli darabolt sertés lapocka",False,"SPAR Hazai Szeretem füstölt, főtt gyorspácolt bőrös, csont nélküli darabolt sertés lapocka",False,match
2004261270026.0,S-Budget sertés kocsonya csomag,False,S-Budget sertés kocsonya csomag,False,match
2004266090025.0,REGNUM marha bélszín steak csont nélkül,False,REGNUM marha bélszín steak csont nélkül,False,match
2004266260022.0,REGNUM marha hátszín steak csont nélkül,False,REGNUM marha hátszín steak csont nélkül,False,match
2004266390026.0,REGNUM marha tatár bifsztek,False,REGNUM marha tatár bifsztek,False,match
2004687810080.0,Tolle light trappista sajt,False,Tolle light trappista sajt,False,match
2004787390017.0,"SPAR BBQ szeletelt sertés tarja, csont nélkül, juharszirup ízesítésű olajos marinádban",False,"SPAR BBQ szeletelt sertés tarja, csont nélkül, juharszirup ízesítésű olajos marinádban",False,match
2004840540014.0,"Tolle zsíros, félkemény trappista sajt egész",False,"Tolle zsíros, félkemény trappista sajt egész",False,match
2004911530012.0,Terra Pannonia érlelt Angus marha T-Bone steak,False,Terra Pannonia érlelt Angus marha T-Bone steak,False,match
2004942460012.0,BIO banán lédig,False,BIO banán lédig,False,match
2005015980017.0,"S-Budget félzsíros, félkemény darabolt trappista sajt",False,"S-Budget félzsíros, félkemény darabolt trappista sajt",False,match
2005428770014.0,Gallicoop pulyka mellszirom,False,Gallicoop pulyka mellszirom,False,match
3017760524797.0,Dörmi Tejes Krémmel Töltött Puha Piskóta 30 G,False,Dörmi Tejes Krémmel Töltött Puha Piskóta 30 G,False,match
3017760524896.0,Dörmi Csokoládés Krémmel Töltött Puha Piskóta 30 G,False,Dörmi Csokoládés Krémmel Töltött Puha Piskóta 30 G,False,match
3036810201280.0,Maille Dijon Mustard 215 g,False,Maille Dijon Mustard 215 g,False,match
3036810204014.0,Maille Mustard with Honey 230 g,False,Maille Mustard with Honey 230 g,False,match
3036810207589.0,Maille egészmagos mustár 210 g,False,Maille egészmagos mustár 210 g,False,match
3038354210803.0,"Panzani Bolognese paradicsomszósz hússal, ízesítve 425 g",False,"Panzani Bolognese paradicsomszósz hússal, ízesítve 425 g",False,match
3038354251103.0,"Panzani Olive & Basilico paradicsomszósz olajbogyóval és bazsalikommal, ízesítve 400 g",False,"Panzani Olive & Basilico paradicsomszósz olajbogyóval és bazsalikommal, ízesítve 400 g",False,match
3038354256207.0,"Panzani Originale paradicsomszósz szezonális paradicsommal, ízesítve 400 g",False,"Panzani Originale paradicsomszósz szezonális paradicsommal, ízesítve 400 g",False,match
3038359911965.0,Panzani négysajtos-tejszínes tésztaszósz 370 g,False,Panzani négysajtos-tejszínes tésztaszósz 370 g,False,match
3038359911972.0,Panzani tejszínes-baconos carbonara tésztaszósz 370 g,False,Panzani tejszínes-baconos carbonara tésztaszósz 370 g,False,match
3046920011013.0,Lindt Excellence extra finom tejcsokoládé 100 g,False,Lindt Excellence extra finom tejcsokoládé 100 g,False,match
3046920016377.0,Lindt Excellence 100% kakaós tábla 50 g,False,Lindt Excellence 100% kakaós tábla 50 g,False,match
3046920020633.0,"Lindt Excellence étcsokoládé mandulával, mogyoróval és áfonyával 100 g",False,"Lindt Excellence étcsokoládé mandulával, mogyoróval és áfonyával 100 g",False,match
3046920020640.0,Lindt Excellence extra étcsokoládé málnával 100 g,False,Lindt Excellence extra étcsokoládé málnával 100 g,False,match
3046920023306.0,Lindt Classic Recipe tejcsokoládé 100 g,False,Lindt Classic Recipe tejcsokoládé 100 g,False,match
3046920023313.0,Lindt Classic Recipe mogyorós tejcsokoládé 100 g,False,Lindt Classic Recipe mogyorós tejcsokoládé 100 g,False,match
3046920023320.0,Lindt Classic Recipe tejcsokoládé ropogós rizspehellyel 100 g,False,Lindt Classic Recipe tejcsokoládé ropogós rizspehellyel 100 g,False,match
3046920024136.0,Lindt Excellence étcsokoládé karamellizált pisztáciával és tengeri sóval 100 g,False,Lindt Excellence étcsokoládé karamellizált pisztáciával és tengeri sóval 100 g,False,match
3046920024143.0,Lindt Excellence étcsokoládé ropogós ostya darabokkal és narancslé-zselé darabokkal 100 g,False,Lindt Excellence étcsokoládé ropogós ostya darabokkal és narancslé-zselé darabokkal 100 g,False,match
3046920028004.0,Lindt Excellence extra keserű csokoládé 70% 100 g,False,Lindt Excellence extra keserű csokoládé 70% 100 g,False,match
3046920028363.0,Lindt Excellence extra keserű csokoládé 85% 100 g,False,Lindt Excellence extra keserű csokoládé 85% 100 g,False,match
3046920028370.0,Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával 100 g,False,Lindt Excellence Intense Orange étcsokoládé narancslével és mandulával 100 g,False,match
3046920029674.0,Lindt Excellence A Touch of Sea Salt finom keserű csokoládé tengeri sóval 100 g,False,Lindt Excellence A Touch of Sea Salt finom keserű csokoládé tengeri sóval 100 g,False,match
3046920029759.0,Lindt Excellence finom keserű csokoládé 90% 100 g,False,Lindt Excellence finom keserű csokoládé 90% 100 g,False,match
3073781179712.0,Babybel Mini Original zsíros félkemény sajt viaszbevonatban 3 x 20 g (60 g),False,Babybel Mini Original zsíros félkemény sajt viaszbevonatban 3 x 20 g (60 g),False,match
3083680002875.0,Bonduelle morzsolt csemegekukorica 340 g,False,Bonduelle morzsolt csemegekukorica 340 g,False,match
3083680003629.0,Bonduelle Vapeur gőzben párolt csicseriborsó 310 g,False,Bonduelle Vapeur gőzben párolt csicseriborsó 310 g,False,match
3083680004244.0,Bonduelle zöldborsó 400 g,False,Bonduelle zöldborsó 400 g,False,match
3083680004275.0,Bonduelle zöldborsó 800 g,False,Bonduelle zöldborsó 800 g,False,match
3083680009508.0,Bonduelle vörösbab 400 g,False,Bonduelle vörösbab 400 g,False,match
3083680015424.0,Bonduelle szuperédes és ropogós csemegekukorica 530 g,False,Bonduelle szuperédes és ropogós csemegekukorica 530 g,False,match
3083680053303.0,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,False,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,False,match
3083680090742.0,Bonduelle Bon Menu Chili Red Bean in Hot Mexican Sauce 430 g,False,Bonduelle Bon Menu Chili Red Bean in Hot Mexican Sauce 430 g,False,match
3083680466950.0,Bonduelle zöldborsó 530 g,False,Bonduelle zöldborsó 530 g,False,match
3083680483407.0,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,False,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,False,match
3083680495882.0,Bonduelle Bon Menu Mexicana Red Bean with Corn in Mild Mexican Sauce 430 g,False,Bonduelle Bon Menu Mexicana Red Bean with Corn in Mild Mexican Sauce 430 g,False,match
3083680498012.0,Bonduelle csemegeuborka 5-8 cm 680 g,False,Bonduelle csemegeuborka 5-8 cm 680 g,False,match
3083680510233.0,Bonduelle vörösbab 800 g,False,Bonduelle vörösbab 800 g,False,match
3083680538404.0,Bonduelle zöldborsó 200 g,False,Bonduelle zöldborsó 200 g,False,match
3083680579698.0,Bonduelle csemegeuborka 3-6 cm 550g,False,Bonduelle csemegeuborka 3-6 cm 550g,False,match
3083680583442.0,Bonduelle gyorsfagyasztott borsó-bébirépa zöldségkeverék 400 g,False,Bonduelle gyorsfagyasztott borsó-bébirépa zöldségkeverék 400 g,False,match
3083680599900.0,Bonduelle gyorsfagyasztott zöldborsó 1000 g,False,Bonduelle gyorsfagyasztott zöldborsó 1000 g,False,match
3083680713696.0,Bonduelle Créatif Florida zöldségkeverék 340 g,False,Bonduelle Créatif Florida zöldségkeverék 340 g,False,match
3083680715409.0,Bonduelle Créatif Sombrero Vegetable Mix 340 g,False,Bonduelle Créatif Sombrero Vegetable Mix 340 g,False,match
3083680719025.0,Bonduelle szeletelt ecetes cékla 540 g,False,Bonduelle szeletelt ecetes cékla 540 g,False,match
3083680996082.0,Bonduelle Gold szuperédes morzsolt csemegekukorica 2 x 170 g (340 g),False,Bonduelle Gold szuperédes morzsolt csemegekukorica 2 x 170 g (340 g),False,match
3083681003963.0,Bonduelle Vapeur gőzben párolt lencse 310 g,False,Bonduelle Vapeur gőzben párolt lencse 310 g,False,match
3083681007657.0,Bonduelle Prémium szeletelt csiperkegomba 280 g,False,Bonduelle Prémium szeletelt csiperkegomba 280 g,False,match
3083681009835.0,Bonduelle szeletelt csiperkegomba 390 g,False,Bonduelle szeletelt csiperkegomba 390 g,False,match
3083681021950.0,Bonduelle Gold morzsolt csemegekukorica 170 g,False,Bonduelle Gold morzsolt csemegekukorica 170 g,False,match
3083681024258.0,Bonduelle Gold szuperédes morzsolt kukorica 670 g,False,Bonduelle Gold szuperédes morzsolt kukorica 670 g,False,match
3083681031157.0,Bonduelle Bon Menu Barbeque vörösbab barbeque mártásban 430 g,False,Bonduelle Bon Menu Barbeque vörösbab barbeque mártásban 430 g,False,match
3083681032413.0,Bonduelle Vapeur gőzben párolt egész zöldbab 295 g,False,Bonduelle Vapeur gőzben párolt egész zöldbab 295 g,False,match
3083681036770.0,Bonduelle Vapeur gyorsfagyasztott brokkoli rózsák 400 g,False,Bonduelle Vapeur gyorsfagyasztott brokkoli rózsák 400 g,False,match
3083681036800.0,Bonduelle Vapeur gyorsfagyasztott zöldborsó 400 g,False,Bonduelle Vapeur gyorsfagyasztott zöldborsó 400 g,False,match
