APPEARANCE	NAME	HITPOINTS	SHIELD	CREDITS	URIDIUM
	Streuner	800	400	400 	1 
	Recruit Streuner	600	800	500 	2 
	Aider Streuner	1.500	1.000	700 	2 
	Boss Streuner	3.200	1.600	1.600 	4 
	Uber Streuner	6.400	3.200	3.200 	4 
	Lordakia	2.000	2.000	800 	2 
	Lordakium Spore	4.000	4.000	800 	3 
	Boss Lordakia	8.000	8.000	3.200 	8 
	Uber Lordakia	16.000	16.000	6.400 	16 
	Saimon	6.000	6.000	1.600 	4 
	Boss Saimon	24.000	12.000	6.400 	16 
	Uber Saimon	48.000	24.000	12.800 	16 
	Mordon	20.000	10.000	6.400 	8 
	Boss Mordon	80.000	40.000	25.600 	32 
	Uber Mordon	160.000	80.000	51.200 	64 
	Devolarium	100.000	100.000	51.200 	16 
	Boss Devolarium	400.000	400.000	204.800 	64 
	Uber Devolarium	800.000	800.000	409.600 	128 
	Sibelon	200.000	200.000	102.400 	32 
	Boss Sibelon	800.000	800.000	409.600 	128 
	Uber Sibelon	1.600.000	1.600.000	819.200 	256 
	Sibelonit	40.000	40.000	12.800 	12 
	Boss Sibelonit	160.000	160.000	102.400 	48 
	Uber Sibelonit	320.000	320.000	204.800 	96 
	Lordakium	300.000	200.000	204.800 	64 
	Boss Lordakium	1.200.000	800.000	819.200 	256 
	Uber Lordakium	2.400.000	1.600.000	1.638.400 	512 
	Kristallin	50.000	40.000	12.800 	16 
	Boss Kristallin	200.000	160.000	51.200 	64 
	Uber Kristallin	400.000	320.000	102.400 	128 
	Kristallon	400.000	300.000	409.600 	128 
	Boss Kristallon	1.600.000	1.200.000	1.638.400 	512 
	Uber Kristallon	3.200.000	2.400.000	3.276.800 	1.024 
	StreuneR	40.000	30.000	12.000 	15 
	Boss StreuneR	80.000	40.000	25.600 	32 
	Uber Streuner	320.000	240.000	96.000 	120 
	Protegit	50.000	40.000	12.800 	16 
	Uber Protegit	400.000	320.000	102.400 	128 
	Cubikon	1.600.000	1.200.000	1.638.400 	1.024 
	Impulse II	1.200.000	750.000	200.000 	45 
	Attend IX	9.000.000	4.800.000	1.000.000 	275 
	Invoke XVI	36.000.000	0	9.500.000 	2.000 
	Mindfire Behemoth	135.000.000	0	200.000.000 	5.000 
	Strokelight Barrage	4.500.000	500.000	6.500.000 	4.000 
	Abide I	600.000	0	55.000 	10 
	Steadfast III	300.000	300.000	55.000 	10 
	Purpose XXI	800.000	0	200.000 	5 
	Urge IV	1.000.000	0	2.000.000 	5.000 
	Regard CXI	1.000.000	0	2.000.000 	5.000 
	Attitude XIII	1.000.000	0	2.000.000 	5.000 
	Observe X	1.000.000	0	2.000.000 	5.000 
	Capital I	?	0	4.000.000 	50.000 
	Find VII	?	0	4.000.000 	50.000 
	Interceptor	60.000	40.000	25.000 	20 
	Uber Interceptor	480.000	320.000	100.000 	80 
	Barracuda	180.000	100.000	90.000 	25 
	Uber Barracuda	1.440.000	800.000	360.000 	80 
	Saboteur	200.000	150.000	125.000 	45 
	Uber Saboteur	1.600.000	1.200.000	500.000 	150 
	Annihilator	300.000	200.000	250.000 	65 
	Uber Annihilator	2.400.000	1.600.000	1.000.000 	220 
	Battleray	330.000	260.000	1.160.000 	116 
	Deadly Battleray	750.000	600.000	2.625.000 	265 
